,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question
0,"There are essentially three types of computers onboard the International Space Station (ISS) and each type has its specific purpose.Vehicle Management ComputersThere are two, or six, main computers, depending on how you want to think about it.The US segment has a computer called the C&C MDM (Command and Control Multiplexer DeMultiplexer).  Well, it's actually three nearly identical computers.  They all run at the same time, and at any one time, one of them will be considered the primary, another the backup, and the third a standby.  There are an additional forty or so lower level MDMs responThere are essentially three types of computers onboard the International Space Station (ISS) and each type has its specific purpose.Vehicle Management ComputersThere are two, or six, main computers, depending on how you want to think about it.The US segment has a computer called the C&C MDM (Command and Control Multiplexer DeMultiplexer).  Well, it's actually three nearly identical computers.  They all run at the same time, and at any one time, one of them will be considered the primary, another the backup, and the third a standby.  There are an additional forty or so lower level MDMs responsible for systems or hardware.The Russian segment has a computer called the ЦВМ (Центральная вычислительная машина) (central computing machine).  Well, it's actually three nearly identical computers, too.  They operate a little differently, though.  They operate simultaneously and tasks may be assigned to the different lanes.The C&C runs the US segment and the ЦВМ runs the Russian segment.  The two computers are connected to each other via 1553 control buses.  The C&C is the bus controller.These computers are built into the vehicle and, through the tiered network of MDMs, are physically connected to all of the integrated vehicle hardware.  They run the flight software.Telemetry and Command Interface ComputersThe crew do not directly interface with the vehicle management computers - they have no displays or keyboards.  On the US segment, commanding to the vehicle is done using laptops called PCS (Portable Computer System).  They run on a Linux operating system and are connected to the vehicle 1553 system as remote terminals.  There are usually seven PCS laptops deployed throughout the vehicle.On the Russian Segment there are about seven equivalent laptops called, simply, ""Russian Laptops"".  They, too, are Linux based, and are used to command the Russian elements.Both the PCS and Russian Laptop use their own graphical interfaces that depict the ISS and the crew click on the module they wish to interact with and the system, and then the specific piece of hardware.Here's an example of a system page (my old system, Motion Control):This screen gives a health and status overview of the Motion Control Group (combined US MCS and RS СУДН).  Starting from this screen, the crew can access and control any piece of guidance, navigation, control, and propulsion hardware and software on the vehicle (well, Russian hardware commanding would need to be done from their laptop).Support ComputersMost of the remaining laptops are part of the Ops Lan network.  They are called SSC (Station Support Computers).  They are Windows based and are not connected to the ISS 1553 system.  They are used for everything from viewing procedures, performing supply inventory, recording notes, sending e-mail, video conferencing, on down to Twitter.In the above picture, three laptop screens are visible.  The closest to Shannon's head is being used to view the procedure for the robotics activity she is performing.  The one above and to the right of that is current displaying the SSC desktop.  She is likely using that one to view the mission timeline.  In the bottom right corner of the picture is a PCS.  It looks like she has navigated to the US Airlock page, and while nothing is currently in alarm, it looks like she has a caution message to acknowledge and there was a brief loss of comm with a power supply.We can also see a few of the built-in ISS interfaces, in this picture.  Over the hatch is the Caution & Warning Panel and directly to the right of Shannon's face is the ATU (Audio Terminal Unit) (radio/intercom).  And, of course, the big panel in front of her is to control the robotic arm and external cameras.",UNKNOWN,Robert Frost,900,9.4K,195.4M,https://www.quora.com/What-are-computers-used-for-on-the-ISS
1,"It’s funny you should ask that, as three space travelers just arrived back on Earth from the ISS on Tuesday, February 27 (check out their picture)! Normally, six people are aboard the station at any time, but that number is currently sitting at just three occupants.NASA astronauts Mark Vande Hei and Joe Acaba, together with Russian cosmonaut Alexander Misurkin, are now back on our home planet, leaving Commander Anton Shkaplerov of Roscosmos, American Scott Tingle and Norishige Kanai of Japan on board the vessel.On March 21, NASA astronauts Ricky Arnold and Drew Feustel of NASA, along with OlegIt’s funny you should ask that, as three space travelers just arrived back on Earth from the ISS on Tuesday, February 27 (check out their picture)! Normally, six people are aboard the station at any time, but that number is currently sitting at just three occupants.NASA astronauts Mark Vande Hei and Joe Acaba, together with Russian cosmonaut Alexander Misurkin, are now back on our home planet, leaving Commander Anton Shkaplerov of Roscosmos, American Scott Tingle and Norishige Kanai of Japan on board the vessel.On March 21, NASA astronauts Ricky Arnold and Drew Feustel of NASA, along with Oleg Artemyev of Roscosmos, will launch to the ISS, arriving at the station two days later. This will bring the crew compliment back to six.I hope that helps!","35,118 followers",C Stuart Hardwick,588,12.3K,142.5M,https://www.quora.com/What-are-computers-used-for-on-the-ISS
2,"There are, last time I checked, about 80 laptops deployed throughout the ISS.  Most of them are Lenovo T61P laptops, but there are still a few old Lenovo A31p Thinkpads floating around.The formatting of the laptop depends on its assigned purpose.  On the US segment, commanding to the vehicle is done using laptops called PCS (Portable Computer System).  They run on a linux operating system and are connected to the vehicle 1553 system as remote terminals.  There are usually seven PCS laptops deployed throughout the vehicle.On the Russian Segment there are about seven equivalent laptops called, sThere are, last time I checked, about 80 laptops deployed throughout the ISS.  Most of them are Lenovo T61P laptops, but there are still a few old Lenovo A31p Thinkpads floating around.The formatting of the laptop depends on its assigned purpose.  On the US segment, commanding to the vehicle is done using laptops called PCS (Portable Computer System).  They run on a linux operating system and are connected to the vehicle 1553 system as remote terminals.  There are usually seven PCS laptops deployed throughout the vehicle.On the Russian Segment there are about seven equivalent laptops called, simply, ""Russian Laptops"".  They, too, are linux based, and are used to command the Russian elements.Both the PCS and Russian Laptop use their own graphical interfaces that depict the ISS and the crew click on the module they wish to interact with and the system, and then the specific piece of hardware.There are eight laptops in the Japanese modules that are provided by JAXA and use their own interface and there are two in the European modules that use their interface.  There are about a dozen laptops used for payloads operations.The remaining laptops are part of the Ops Lan network.  They are called SSC (Station Support Computers).  They are Windows based and are not connected to the ISS 1553 system.  They are used for everything from viewing procedures, performing supply inventory, recording notes, sending e-mail, video conferencing, on down to Twitter.",UNKNOWN,Robert Frost,5.5K,9.4K,195.4M,https://www.quora.com/What-are-computers-used-for-on-the-ISS
3,"When the ISS was being designed, they wisely concluded that installing physical interfaces into the structure of the ISS was not a good idea.  It's very hard to upgrade and/or repair interfaces that are part of the vehicle, whereas if laptop computers are used, upgrading/repair is as simple as launching a CD-ROM, uploading a file, or replacing the laptop.  So, with the exception of emergency hardware (e.g. ventilation valves), comm panels, and a limited set of other hardware, almost all vehicle commanding is done via a laptop interface.There are, last time I checked, about 80 laptops deployedWhen the ISS was being designed, they wisely concluded that installing physical interfaces into the structure of the ISS was not a good idea.  It's very hard to upgrade and/or repair interfaces that are part of the vehicle, whereas if laptop computers are used, upgrading/repair is as simple as launching a CD-ROM, uploading a file, or replacing the laptop.  So, with the exception of emergency hardware (e.g. ventilation valves), comm panels, and a limited set of other hardware, almost all vehicle commanding is done via a laptop interface.There are, last time I checked, about 80 laptops deployed throughout the ISS.  Most of them are Lenovo T61P laptops, but there are still a few old Lenovo A31p Thinkpads floating around.The formatting of the laptop depends on its assigned purpose.  On the US segment, commanding to the vehicle is done using laptops called PCS (Portable Computer System).  They run on a linux operating system and are connected to the vehicle 1553 system as remote terminals.  There are usually seven PCS laptops deployed throughout the vehicle.On the Russian Segment there are about seven equivalent laptops called, simply, ""Russian Laptops"".  They, too, are linux based, and are used to command the Russian elements.Both the PCS and Russian Laptop use their own graphical interfaces that depict the ISS and the crew click on the module they wish to interact with and the system, and then the specific piece of hardware.There are eight laptops in the Japanese modules that are provided by JAXA and use their own interface and there are two in the European modules that use their interface.  There are about a dozen laptops used for payloads operations.The remaining laptops are part of the Ops Lan network.  They are called SSC (Station Support Computers).  They are Windows based and are not connected to the ISS 1553 system.  They are used for everything from viewing procedures, performing supply inventory, recording notes, sending e-mail, video conferencing, on down to Twitter.In the above picture, three laptop screens are visible.  The closest to Shannon's head is being used to view the procedure for the robotics activity she is performing.  The one above and to the right of that is current displaying the SSC desktop.  She is likely using that one to view the mission timeline.  In the bottom right corner of the picture is a PCS.  It looks like she has navigated to the US Airlock page, and while nothing is currently in alarm, it looks like she has a caution message to acknowledge.  It looks like there was a brief loss of comm with a power supply.In the above picture, three laptop screens are visible.  The closest to Shannon's head is being used to view the procedure for the robotics activity she is performing.  The one above and to the right of that is current displaying the SSC desktop.  She is likely using that one to view the mission timeline.  In the bottom right corner of the picture is a PCS.  It looks like she has navigated to the US Airlock page, and while nothing is currently in alarm, it looks like she has a caution message to acknowledge.  It looks like there was a brief loss of comm with a power supply.We can also see a few of the built-in ISS interfaces, in this picture.  Over the hatch is the Caution & Warning Panel and directly to the right of Shannon's face is the ATU (Audio Terminal Unit) (radio/intercom).  And, of course, the big panel in front of her is to control the robotic arm and external cameras.Here's an example of a system page (my system, Motion Control):This screen gives a health and status overview of the Motion Control Group (combined US MCS and RS СУДН).  Starting from this screen, the crew can access and control any piece of guidance, navigation, control, and propulsion hardware and software on the vehicle (well, Russian hardware commanding would need to be done from their laptop).",UNKNOWN,Robert Frost,536,9.4K,195.4M,https://www.quora.com/What-are-computers-used-for-on-the-ISS
4,"There are, last time I checked, about 80 laptops deployed throughout the ISS.  Most of them are Lenovo T61P laptops, but there are still a few old Lenovo A31p Thinkpads floating around.The formatting of the laptop depends on its assigned purpose.  On the US segment, commanding to the vehicle is done using laptops called PCS (Portable Computer System).  They run on a linux operating system and are connected to the vehicle 1553 system as remote terminals.  There are usually seven PCS laptops deployed throughout the vehicle.On the Russian Segment there are about seven equivalent laptops called, sThere are, last time I checked, about 80 laptops deployed throughout the ISS.  Most of them are Lenovo T61P laptops, but there are still a few old Lenovo A31p Thinkpads floating around.The formatting of the laptop depends on its assigned purpose.  On the US segment, commanding to the vehicle is done using laptops called PCS (Portable Computer System).  They run on a linux operating system and are connected to the vehicle 1553 system as remote terminals.  There are usually seven PCS laptops deployed throughout the vehicle.On the Russian Segment there are about seven equivalent laptops called, simply, ""Russian Laptops"".  They, too, are linux based, and are used to command the Russian elements.Both the PCS and Russian Laptop use their own graphical interfaces that depict the ISS and the crew click on the module they wish to interact with and the system, and then the specific piece of hardware.There are eight laptops in the Japanese modules that are provided by JAXA and use their own interface and there are two in the European modules that use their interface.  There are about a dozen laptops used for payloads operations.The remaining laptops are part of the Ops Lan network.  They are called SSC (Station Support Computers).  They are Windows based and are not connected to the ISS 1553 system.  They are used for everything from viewing procedures, performing supply inventory, recording notes, sending e-mail, video conferencing, on down to Twitter.",UNKNOWN,Clayton C. Anderson,2.7K,1.3K,25.2M,https://www.quora.com/What-are-computers-used-for-on-the-ISS
5,"Eight or nine times a year - so about once every 40–45 days - although they aren’t evenly spaced. For example, HTV-7 (Kountori) just arrived and by the end of the year, we expect to also receive 71P (Progress), NG-10 (Cygnus), and SpX-16 (Dragon).The HTV is provided by the Japanese space agency (JAXA). The Progress is Russian. Cygnus and Dragon are the commercial cargo providers for NASA and are provided by Northrop Grumman and SpaceX, respectively.Each of these vehicles provides not only supplies for the crew, such as food, water, and air, but also replacement parts for the ISS, upgrades, andEight or nine times a year - so about once every 40–45 days - although they aren’t evenly spaced. For example, HTV-7 (Kountori) just arrived and by the end of the year, we expect to also receive 71P (Progress), NG-10 (Cygnus), and SpX-16 (Dragon).The HTV is provided by the Japanese space agency (JAXA). The Progress is Russian. Cygnus and Dragon are the commercial cargo providers for NASA and are provided by Northrop Grumman and SpaceX, respectively.Each of these vehicles provides not only supplies for the crew, such as food, water, and air, but also replacement parts for the ISS, upgrades, and experiment payloads.",UNKNOWN,Robert Frost,759,9.4K,195.4M,https://www.quora.com/What-are-computers-used-for-on-the-ISS
6,The Airbus A380–800 diagram in DH’s post (below) is aThe Airbus A380–800 diagram in DH’s post (below) is a,73 followers,Lukas Pheiffer,3.1K,0,0,https://www.quora.com/What-are-computers-used-for-on-the-ISS
7,"Airbus and Boeing had seen the market totally differently when each designing their new planes at the time.Airbus saw the market for larger capacity aircraft and envisioned that traffic would boom meaning the need for a large aircraft to operate from hubs to other hubs. The idea being that a passenger would fly from a local airport to a larger airport and join the A380 to travel onwards to another large airport, ending their journey there or travelling onwards to another local airportBoeing on the other hand, envisioned that passengers would want to go direct from their local airport to theirAirbus and Boeing had seen the market totally differently when each designing their new planes at the time.Airbus saw the market for larger capacity aircraft and envisioned that traffic would boom meaning the need for a large aircraft to operate from hubs to other hubs. The idea being that a passenger would fly from a local airport to a larger airport and join the A380 to travel onwards to another large airport, ending their journey there or travelling onwards to another local airportBoeing on the other hand, envisioned that passengers would want to go direct from their local airport to their destination. They also had ideas that due to rising fuel prices and the worries around the damage to the climate, that making a fuel efficient aircraft would be the way to go.The A380 due to its size needs additional infrastructure, and as such needs the space that 2 aircraft needs. Meaning that airports had to make special gates or merge gates to cope with a specific type of aircraft. The A380 therefore can only operate to a limited number of destinations. For example, there are only 5 Airports in the U.K. that can accept an A380, and only 14 in the US. This wouldn’t be an issue if Airbus’ idea of Hub to Hub travel had taken off.The reality is that the opposite happened. Airlines didn’t want to spend so much on a giant plane that they could only use on certain routes when passengers wanted to fly direct from their home airport to their destination. The A380s that are flying today are rarely full, the only operators that are truly making a profit from them are the Middle East carriers, such as Emirates, as their location means they are perfect for transcontinental travel. Other airlines, like Virgin Atlantic and Qantas are cancelling their A380 orders as they can’t make it work. Their customers want point to point travel, rather than the hassle of stopping over at other airports.I hope this has explained how the A380 flopped. I was a little nervous at answering your question as it’s my first answer",281 followers,Luca Mino,3.5K,84,2M,https://www.quora.com/What-are-computers-used-for-on-the-ISS
8,"Of course it is.They have the largest A380 fleet and…it works.Their A380 strategy seems to be working. In May,That’s a lot of money, especially considering how many airlines are failing around the globe.Why does the A380 makes them so much money, while other airlines and haters call it a “huge money-loser whale”?According to Sir Tim Clark (Emirates CEO), the A380 allows Emirates to get ahead of congestion issues at major airport around the world.Of course it is.They have the largest A380 fleet and…it works.Their A380 strategy seems to be working. In May,That’s a lot of money, especially considering how many airlines are failing around the globe.Why does the A380 makes them so much money, while other airlines and haters call it a “huge money-loser whale”?According to Sir Tim Clark (Emirates CEO), the A380 allows Emirates to get ahead of congestion issues at major airport around the world.And this is NOW. Imagine how worse this congestion is going to get in 5–10 years.Proof of how succeful their A380 business model is?Emirates flies 9 A380s into London each day. 9 A380s. That’s a total of 4400 seats.On top of the successful business model for how Emirates works with big hubs and big passengers numbers, the A380 is also a huge selling point.This was from vice president for operations Hubert Frach:The superjumbo has a strong appeal. Super spacious and airy cabin, monumental staircase, the size of the plane itself…Also consider the appeal for Business & First class. Airlines make money mainly out of their top-end product. And the A380 gives Emirates the ability to offer the best premium classes. And again, that is strong selling point.“I’m flying first, who do I go with? Oh, Emirates hasIn the end, Emirates fully understood how to make money out of the A380, how to exploit it and get the max out of it. They built their business model on it, and it’s rewarding them with colossal profits, despite huge investments being done at the same time!And if 142 A380s weren’t enough, they’re ready to order another 50 if Airbus just strips on them the latest fuel-efficient Rolls Royce Trent engine.Emirates nailed it with the A380.In the end, quoting Sir. Tim Clark again, “It’s not Airbus fault if airlines can’t make money out of this plane. It’s the airlines fault, due to their old & failing business model”—- And this one is for all the A380 haters and critics—How can you not",0 followers,Lou Wild,3.6K,263,1.2M,https://www.quora.com/What-are-computers-used-for-on-the-ISS
9,"I’m one of the 50% who’ve returned.I was in Sydney for nearly 3 decades. For most of this time I loved it: the weather, the beaches, the being able to leave the house in sandals and a sleeveless top, no worries about having to take a jacket with me for 6 months of the year, well paying work, etc etc.The downsides were that I never felt Australian. Being there made me feel my Englishness very much. I missed the British wordplay and humour, local pubs and real ale, and the ease of being able to make new friends in my local area (I had a ton of actor friends, but they were spread out all over NSWI’m one of the 50% who’ve returned.I was in Sydney for nearly 3 decades. For most of this time I loved it: the weather, the beaches, the being able to leave the house in sandals and a sleeveless top, no worries about having to take a jacket with me for 6 months of the year, well paying work, etc etc.The downsides were that I never felt Australian. Being there made me feel my Englishness very much. I missed the British wordplay and humour, local pubs and real ale, and the ease of being able to make new friends in my local area (I had a ton of actor friends, but they were spread out all over NSW as well as being very busy, so no good for a quick pint!). My suburb had NO pub - only an RSL club that was so ugly inside and out I’d regret going there the instant I got there.While out on the streets I’d chat to neighbours, but it was only the English ones that would morph from acquaintances into friends. The Aussies always seemed so wrapped up in their work and family lives.While I had no plans to return, I found myself buying thick winter coats and the like, “just in case.”When my mother moved into a retirement flat and then discovered she hated it, I started coming back more and more. While that was horrendously expensive and not sustainable, it was more the realisation that each time I got on the plane to go back to Sydney, I didn’t want to go, that helped make the decision for me.I don’t regret either decision.",71 followers,Murray Giles,614,179,648.7K,https://www.quora.com/What-are-computers-used-for-on-the-ISS
