source,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,1.0,
Augmented reality,,,,,,1.0,,,
Carbon sequestration,,,,,,,1.0,,
Cloud computing,,,,,,,,,1.0
Cryptocurrency,,,,,,1.0,2.0,,
Flexible electronics,,,,,,,,1.0,
Gasification,,,,1.0,,,,,
Mobile learning,1.0,1.0,1.0,,,,,,
Precision agriculture,,,,,,,,1.0,
Regenerative Medicine,,,,,,,2.0,,
Smartphone,,1.0,,,,,,,
Zeolite,,,1.0,,1.0,,1.0,,
closed ecological system,1.0,,,,,,,,
hydroponics,,,,,,,,,1.0
