source,2010-01-01T00:00:00Z,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,2010-04-01T00:00:00Z,2010-05-01T00:00:00Z,2010-06-01T00:00:00Z,2010-08-01T00:00:00Z,2010-09-01T00:00:00Z,2010-10-01T00:00:00Z,2010-11-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-03-01T00:00:00Z,2011-04-01T00:00:00Z,2011-08-01T00:00:00Z,2011-10-01T00:00:00Z,2011-12-01T00:00:00Z,2012-01-01T00:00:00Z,2012-02-01T00:00:00Z,2012-03-01T00:00:00Z,2012-04-01T00:00:00Z,2012-05-01T00:00:00Z,2012-06-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-02-01T00:00:00Z,2013-03-01T00:00:00Z,2013-04-01T00:00:00Z,2013-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-07-01T00:00:00Z,2013-08-01T00:00:00Z,2013-09-01T00:00:00Z,2013-10-01T00:00:00Z,2013-11-01T00:00:00Z,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,8.0,,,,1.0,,,,,,,2.0,,1.0,,3.0,,3.0,9.0,1.0,3.0,1.0,,2.0,,1.0,1.0,5.0,8.0,1.0,4.0,12.0,3.0,2.0,,3.0,5.0,1.0,3.0,9.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,4.0,,,1.0,1.0,,3.0,,,1.0,2.0,,2.0,1.0
Flexible display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,1.0,,,,1.0,,,,1.0,2.0,1.0,2.0,,,,,,3.0,,,1.0,,,,1.0,,,3.0,,,2.0,1.0,,1.0,,,4.0,,,1.0,,,,,,,,,,,,,,,,1.0,
Flexible electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,1.0,7.0,,,,2.0,,7.0,,1.0,1.0,,,,,,1.0,8.0,1.0,1.0,2.0,,,1.0,,,,,2.0,,,1.0,,,,2.0,,,,,2.0,,,,,,,,,,,
Floating Liquefied Natural Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Flywheel energy storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Fuel cell,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,1.0,,,3.0,1.0,,,1.0,7.0,18.0,33.0,12.0,29.0,34.0,46.0,10.0,22.0,21.0,20.0,16.0,8.0,11.0,29.0,18.0,4.0,7.0,9.0,4.0,12.0,1.0,11.0,8.0,5.0,6.0,4.0,14.0,1.0,12.0,2.0,5.0,6.0,8.0,7.0,61.0,22.0,17.0,7.0,23.0,26.0,7.0,8.0,12.0,7.0,9.0,3.0,12.0,9.0,19.0,20.0,26.0,20.0,15.0,14.0,11.0,5.0,7.0,4.0,4.0,1.0,6.0,9.0,8.0,3.0,1.0,11.0,8.0,5.0,6.0,4.0,1.0,11.0
Fuel cell vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,5.0,2.0,2.0,,,,3.0,,2.0,2.0,,1.0,,1.0,,,,2.0,1.0,,,,,,4.0,,3.0,,,1.0,2.0,,,,,2.0,,,2.0,,2.0,3.0,1.0,3.0,1.0,4.0,,1.0,,,,,,,6.0,,1.0,4.0,1.0,5.0,,1.0,,
Fullerene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,2.0,2.0,,,,,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,2.0
Fusion power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,3.0,5.0,1.0,,5.0,,,,,,,,,,,,,19.0,5.0,,,,,,,,1.0,,,,,,,2.0,,,,
Gallium Nitride semiconductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,2.0,1.0,,,3.0,,,,,,,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,
Gas generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,
Gasification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,3.0,5.0,,,1.0,2.0,,,,1.0,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,,5.0,1.0,,1.0,10.0,15.0,,2.0,1.0,1.0,1.0,,1.0,2.0,3.0,3.0,,,2.0,,,,1.0,,,,,2.0,,1.0,,,,,,1.0,,,,
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,5.0,,1.0,1.0,,,,1.0,,,,,3.0,2.0,3.0,,3.0,,1.0,1.0,3.0,2.0,,,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,,2.0,2.0,,2.0,4.0,,,2.0,,,,1.0,,6.0,,,,,,2.0,,,4.0,,3.0
Genetically modified food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetically modified organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,8.0,,,2.0,1.0,,2.0,,,2.0,2.0,,,6.0,,2.0,,3.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,
Graphene,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,2.0,,2.0,,,,1.0,25.0,1.0,8.0,1.0,2.0,1.0,5.0,,10.0,20.0,2.0,9.0,2.0,4.0,14.0,14.0,3.0,3.0,5.0,2.0,5.0,5.0,10.0,1.0,11.0,4.0,4.0,2.0,,3.0,4.0,12.0,11.0,1.0,8.0,6.0,18.0,8.0,11.0,4.0,5.0,4.0,6.0,3.0,7.0,5.0,9.0,7.0,11.0,8.0,4.0,5.0,4.0,,5.0,2.0,1.0,9.0,,8.0,1.0,4.0,5.0,,2.0,1.0,3.0,,,1.0,4.0
Grid energy storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,8.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Haptic technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,3.0,,,,,,,,,,,,,4.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Head transplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,1.0,,,
High Entropy Alloys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holographic data storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,4.0,1.0,,2.0,2.0,,,,1.0,4.0,,,,3.0,,1.0,5.0,3.0,,1.0,,,1.0,1.0,1.0,,3.0,,3.0,3.0,2.0,5.0,,2.0,,,,1.0,1.0,,,,,,,,,,2.0,,,,,
Hoverbike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hovertrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,15.0,,2.0,3.0,,2.0,2.0,6.0,2.0,8.0,,,2.0,3.0,,1.0,1.0,2.0,2.0,,3.0,,1.0,1.0,,7.0,,4.0,,,1.0,,5.0,3.0,4.0,10.0,4.0,4.0,7.0,4.0,1.0,2.0,3.0,1.0,1.0,5.0,1.0,4.0,7.0,5.0,15.0,7.0,1.0,2.0,1.0,,2.0,,,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,5.0,,4.0
Hydrogen vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,
Hyperloop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,3.0,,,,,,1.0,2.0,3.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,1.0
Hypersonic weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,
Intelligent toilet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,2.0,,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,3.0,,,,,,2.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,
Intelligent transportation system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,3.0,2.0,,1.0,9.0,2.0,4.0,1.0,1.0,5.0,2.0,,3.0,2.0,1.0,1.0,2.0,2.0,6.0,1.0,4.0,,1.0,1.0,3.0,2.0,,1.0,,,2.0,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,2.0,2.0,7.0,5.0,4.0,4.0,4.0,353.0,11.0,10.0,9.0,15.0,2.0,4.0,7.0,3.0,16.0,6.0,8.0,19.0,6.0,5.0,7.0,10.0,15.0,10.0,30.0,28.0,17.0,15.0,9.0,23.0,27.0,15.0,16.0,15.0,9.0,14.0,23.0,26.0,49.0,21.0,7.0,15.0,11.0,7.0,12.0,12.0,30.0,25.0,6.0,1.0,2.0,6.0,5.0,1.0,,6.0,4.0,2.0,2.0,2.0,3.0,4.0,5.0,21.0,3.0,12.0,3.0,3.0
Ion thruster,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet injector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Jetpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,
Lab-on-a-chip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,1.0,,,,2.0,,,3.0,,,,1.0,,1.0,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,2.0,,,1.0,,,3.0
Learning Management System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
Li-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,3.0,,,,,,,,,2.0,,,,,5.0,,1.0,,3.0,,,2.0,4.0,5.0,5.0,,,,1.0,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,
Lidar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,4.0,1.0,,,1.0,,3.0,,1.0,,1.0,4.0,,6.0,4.0,,1.0,1.0,1.0,2.0,12.0,,1.0,,1.0,2.0,,,8.0,4.0,,4.0,2.0,1.0,,1.0,3.0,9.0,,1.0,1.0,,1.0,14.0,10.0,3.0,10.0,6.0,1.0,2.0,3.0,,,1.0,,1.0,9.0,2.0,2.0,1.0,,,,2.0,,1.0,,2.0
Life-cycle assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
Liquid Crystal Elastomers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithium ion battery,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,9.0,1.0,8.0,7.0,,1.0,1.0,7.0,,,1.0,2.0,,1.0,10.0,5.0,5.0,2.0,1.0,1.0,3.0,86.0,1.0,2.0,3.0,3.0,3.0,,,,2.0,7.0,2.0,1.0,5.0,3.0,6.0,8.0,7.0,9.0,5.0,5.0,1.0,1.0,11.0,,8.0,5.0,9.0,3.0,2.0,,1.0,2.0,1.0,1.0,15.0,2.0,2.0,,,1.0,8.0,,1.0,2.0,,1.0,3.0,,
Lithium iron phosphate battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithium-sulfur battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Machine translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,4.0,,,1.0,,,,,1.0,,1.0,2.0,,4.0,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,
Machine vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,10.0,,,,,17.0,,1.0,11.0,,1.0,6.0,2.0,8.0,4.0,1.0,,7.0,5.0,,7.0,3.0,9.0,6.0,2.0,,,4.0,10.0,5.0,10.0,4.0,9.0,1.0,1.0,1.0,1.0,3.0,2.0,,8.0,6.0,3.0,7.0,4.0,7.0,19.0,1.0,,,,2.0,,,1.0,2.0,4.0,2.0,,,1.0,3.0,,,,
Maglev,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,3.0,,,,1.0,,,,,1.0,1.0,,1.0,,1.0,,13.0,1.0,22.0,2.0,1.0,,2.0,13.0,,1.0,1.0,1.0,,,2.0,18.0,6.0,,2.0,2.0,7.0,2.0,2.0,4.0,,,,1.0,2.0,,2.0,2.0,12.0,2.0,1.0,3.0,,,,1.0,,,4.0,5.0,,1.0,,7.0,,14.0,,2.0,,4.0,1.0,,,2.0,,,,,,2.0,1.0,,2.0,9.0,
Magnetic nanoparticles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,
Magnetorheological fluid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memristor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metamaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,3.0,,,5.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Microelectromechanical systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
Microfluidics,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,2.0,9.0,1.0,,1.0,,,,,,,,1.0,,,4.0,,,1.0,,,1.0,,,1.0,,,3.0,,,,,,,
Microreactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniaturized satellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,2.0,,,,1.0,3.0,2.0,2.0,1.0,,1.0,2.0,,1.0,,,,,,,,1.0,,,3.0,,,2.0,3.0,,1.0,,,2.0,6.0,,,,,1.0,,,
Mobile learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,2.0,,,,,,,2.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
Modular Reactors,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,
Molecular electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Molten salt reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanocrystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanoelectromechanical systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanorobotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
Nanosensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanowire battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,8.0,,,,,,,,,,,,,,5.0,,,,3.0,,3.0,2.0,1.0,1.0,,2.0,1.0,,3.0,2.0,3.0,1.0,4.0,2.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0
