source,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,2010-04-01T00:00:00Z,2010-06-01T00:00:00Z,2010-08-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-02-01T00:00:00Z,2011-05-01T00:00:00Z,2011-06-01T00:00:00Z,2011-09-01T00:00:00Z,2011-11-01T00:00:00Z,2011-12-01T00:00:00Z,2012-05-01T00:00:00Z,2012-06-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-02-01T00:00:00Z,2013-03-01T00:00:00Z,2013-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-07-01T00:00:00Z,2013-09-01T00:00:00Z,2013-10-01T00:00:00Z,2013-11-01T00:00:00Z,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,2014-03-01T00:00:00Z,2014-05-01T00:00:00Z,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
Intelligent toilet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligent transportation system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,6.0,1.0,4.0,,4.0,2.0,2.0,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,12.0,8.0,9.0,25.0,5.0,5.0,8.0,1.0,1.0,1.0,7.0,5.0,7.0,4.0,17.0,14.0,5.0,6.0,4.0,5.0,2.0,6.0,10.0,2.0,11.0,2.0,9.0,4.0,13.0,22.0,6.0,5.0,2.0,7.0,8.0,11.0,2.0,2.0,2.0,4.0,1.0,9.0,4.0,13.0,3.0,1.0,4.0,9.0,3.0,11.0,21.0,6.0,11.0,5.0,,,2.0,7.0,,7.0,,12.0,,,,3.0,,7.0,,6.0,,1.0,2.0
Ion thruster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab-on-a-chip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Laser weapon,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Learning Management System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Li-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidar,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,,1.0,,1.0,1.0,,,1.0,,,4.0,,1.0,,4.0,,1.0,,1.0,4.0,1.0,,1.0,4.0,,9.0,,1.0,5.0,,1.0,4.0,,,,,11.0,11.0,3.0,2.0,5.0,9.0,3.0,,7.0,1.0,1.0,12.0,7.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,,,,,,,2.0,,,,4.0
Life-cycle assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithium ion battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,3.0,,1.0,,5.0,,,,,,3.0,,2.0,,3.0,1.0,,3.0,1.0,,,,1.0,4.0,2.0,3.0,5.0,2.0,13.0,1.0,1.0,,1.0,3.0,1.0,1.0,2.0,6.0,5.0,2.0,4.0,10.0,2.0,,7.0,3.0,3.0,10.0,18.0,3.0,2.0,4.0,2.0,6.0,,4.0,,1.0,6.0,,14.0,,2.0,1.0,1.0,1.0,,
Lithium-sulfur battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,4.0,,,1.0,11.0,,3.0,,10.0,18.0,1.0,1.0,2.0,4.0,,4.0,,6.0,5.0,,,6.0,,2.0,3.0,2.0,2.0,2.0,1.0,1.0,,5.0,9.0,1.0,6.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,6.0,,3.0,1.0,2.0,3.0,,5.0,1.0,,,1.0,1.0,,,,2.0,,,,,4.0,4.0,,,3.0,
Maglev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,1.0,2.0,4.0,,1.0,,,,,,,,,2.0,,1.0,,,,,,,,,7.0,,1.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,
Magnetic nanoparticles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Metal foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metamaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,1.0,,,3.0,1.0,1.0,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Microelectromechanical systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Microfluidics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,9.0,3.0,,1.0,4.0,,,,,2.0,2.0,,,7.0,1.0,2.0,,,,,,,1.0,,,3.0,,,,,,,
Microneedle drug delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microreactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,
Mobile learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,
Modular Reactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Molecular electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Nanocrystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanoelectromechanical systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanosensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanowire battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,1.0,,
Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,4.0,,,,1.0,,2.0,,1.0,,1.0,1.0,,,,,1.0,,,4.0,1.0,7.0,,5.0,1.0,,1.0,9.0,4.0,,1.0,,,,2.0,,,1.0,,,,,,3.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,
Neuroprosthetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,
Oncolytic virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,
Optical coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,
Organ-on-a-Chip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
Organic solar cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
Perovskite solar cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photoacoustic imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma Medicine,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable water purification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power-to-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,1.0,2.0,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,
Precision livestock farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,
Predictive maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Quadcopter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,6.0,,,5.0,1.0,,,,2.0,,4.0,,9.0,7.0,16.0,5.0,5.0,2.0,10.0,,11.0,9.0,7.0,4.0,10.0,,15.0,2.0,4.0,,,,,3.0,1.0,1.0,,,,,,,,,,,,
Quantum algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum computing hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,
Quantum cryptography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,1.0,,1.0,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
Quantum dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,4.0,1.0,1.0,,1.0,,2.0,1.0,,,13.0,,,,,,,1.0,,,,1.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,1.0,,,
Quantum radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Radio-frequency identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
Rapid transit,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,8.0,,,,,,
Regenerative Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,5.0,,1.0,,6.0,,2.0,2.0,5.0,,,,5.0,3.0,,,1.0,1.0,,,,,5.0,7.0,,1.0,2.0,6.0,,1.0,1.0,,,,,4.0,1.0,1.0,1.0,,2.0,4.0,2.0,,,5.0,,6.0,7.0,2.0,4.0,1.0,,1.0,,2.0,2.0,,,,1.0,2.0,4.0,7.0,,,5.0,6.0
Robot end effector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
Semantic Web,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shape Memory Polymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shape-memory alloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
Silicene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Cell Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,
Smart grid,,,,,,,,,,1.0,,,,,,,1.0,,2.0,,,3.0,,,,,,,,,,,2.0,1.0,,,,,,,1.0,3.0,1.0,,7.0,1.0,3.0,,2.0,1.0,5.0,1.0,,,,3.0,,,,2.0,7.0,2.0,4.0,2.0,,4.0,4.0,1.0,1.0,,2.0,3.0,3.0,,2.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,,3.0,8.0,8.0,1.0,5.0,3.0,1.0,4.0,,7.0,,,,,,1.0,,5.0,,,,,,,2.0,,,,
Smartphone,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,4.0,,,1.0,1.0,,1.0,1.0,,,,,2.0,14.0,5.0,17.0,41.0,2.0,7.0,6.0,19.0,12.0,2.0,3.0,2.0,10.0,6.0,8.0,2.0,24.0,3.0,4.0,7.0,5.0,4.0,8.0,3.0,2.0,19.0,10.0,12.0,7.0,9.0,8.0,1.0,6.0,8.0,9.0,1.0,5.0,7.0,1.0,6.0,3.0,5.0,9.0,3.0,9.0,2.0,9.0,5.0,23.0,4.0,3.0,2.0,7.0,,,,4.0,3.0,,26.0,,7.0,3.0,29.0,8.0,2.0,5.0,5.0,1.0,2.0,2.0,13.0
Sodium-cooled fast reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Solid-state transformer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,
Spaceplane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spintronics,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Stem-cell therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,8.0,,1.0,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,
Structural health monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
Superalloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercapacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
Targeted drug delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Translucent concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0
VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,1.0,1.0,,,,,,,,1.0,,,,3.0,,2.0,,,,1.0,1.0,2.0,,,,,,,,3.0,,,,,1.0,,,,,,,,,,1.0,,,,
Vehicular communication systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,2.0,,1.0,3.0,
Virotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual power Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,,10.0,
Virtual reality,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,8.0,9.0,,4.0,4.0,2.0,3.0,15.0,,4.0,,3.0,2.0,7.0,2.0,6.0,2.0,2.0,5.0,6.0,1.0,10.0,7.0,3.0,5.0,2.0,1.0,2.0,10.0,2.0,4.0,5.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,10.0,2.0,4.0,4.0,2.0,3.0,2.0,,4.0,1.0,1.0,,1.0,3.0,,,1.0,,,1.0,1.0,1.0,3.0,1.0
Virtual reality applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Virtual retinal display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visible Light Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,1.0,,,,,1.0,,,1.0,2.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
