source,2010-04-01T00:00:00Z,2011-03-01T00:00:00Z,2011-05-01T00:00:00Z,2011-08-01T00:00:00Z,2012-07-01T00:00:00Z,2012-09-01T00:00:00Z,2013-02-01T00:00:00Z,2013-05-01T00:00:00Z,2013-07-01T00:00:00Z,2013-08-01T00:00:00Z,2013-11-01T00:00:00Z,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-06-01T00:00:00Z,2014-08-01T00:00:00Z,2014-09-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
Biosensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brain-computer interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
Cancer biomarker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Carbon capture and storage,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,1.0,,,,,,,,,,,
Carbon sequestration,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,1.0,,,,,,,,,,,,,,,,1.0,5.0,,,5.0,,,,1.0,9.0,1.0,1.0,,,1.0,3.0,,,,,2.0,,,1.0,,1.0,,,3.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,,2.0,2.0,,1.0,4.0,1.0,,1.0,,,4.0,,1.0,,,,,,,,2.0,1.0,,,,,,4.0,1.0,1.0,,,1.0,
Cryptocurrency,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,2.0,3.0,1.0,10.0,3.0,1.0,3.0,7.0,4.0,10.0,4.0,7.0,6.0,2.0,13.0,10.0,2.0,13.0,3.0,4.0,6.0,9.0,4.0,2.0,1.0,3.0,3.0,,3.0,,1.0,2.0,,4.0,,7.0,3.0,4.0,,1.0,1.0
Cultured meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,1.0,,,1.0,1.0,1.0,8.0,1.0,1.0,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,
Digital scent technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distributed ledger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,3.0,1.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
Drug-eluting stent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Edge Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,2.0,,,2.0,,1.0,,1.0,,1.0,1.0,,,1.0,2.0,,2.0,1.0,4.0,,1.0,1.0,2.0,2.0,2.0,2.0,,,,1.0,,3.0,2.0,2.0,,3.0,1.0,,3.0,1.0,,,,1.0,1.0,
Electronic cigarette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Electronic nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Energy harvesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extended Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flexible display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Flywheel energy storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Force Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel cell,,1.0,,,,,,,,,,,,2.0,1.0,,1.0,1.0,,10.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,3.0,,1.0,,,8.0,12.0,,,2.0,,2.0,,4.0,1.0,2.0,,3.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,2.0,,1.0,,4.0,,,3.0,,,,,1.0,1.0,,,,,,,,2.0,,1.0,1.0,,3.0
Fuel cell vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,
Gasification,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,1.0,,,,,,1.0,,,,3.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,6.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,
Genetically modified crops,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetically modified food,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
Holography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,,1.0,,,,,,,,,,,1.0,,8.0,,,,,3.0,,1.0,2.0,,1.0,,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,1.0,,
Hydrogen vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperloop,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Intelligent transportation system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,9.0,1.0,4.0,1.0,,,,,10.0,,,1.0,,,,2.0,,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,,,2.0,1.0,1.0,1.0,2.0,3.0,6.0,4.0,,2.0,2.0,4.0,4.0,9.0,5.0,,2.0,,,,,1.0,1.0,,1.0,,,,1.0,,,,
Laser weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning Management System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
Lidar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,2.0,2.0,,,4.0,2.0,1.0,3.0,1.0,,,,,,,1.0,,1.0,,,,,,,
Life-cycle assessment,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithium ion battery,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,2.0,1.0,,,,,,4.0,,,,,,,,2.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,
Machine translation,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Machine vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Magnetic nanoparticles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicinal fungi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metamaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Microfluidics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Mixed Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Mobile learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
Modular Reactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,
Natural Language Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Neuroprosthetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oncolytic virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photoacoustic imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Quantum cryptography,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Radio-frequency identification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,,,,,,,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid transit,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,8.0
Regenerative Medicine,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,1.0,,,1.0,1.0
Shape-memory alloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Cell Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart grid,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Smart highway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,2.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,2.0,3.0,6.0,10.0,6.0,5.0,,2.0,,15.0,3.0,7.0,1.0,1.0,8.0,19.0,2.0,6.0,2.0,8.0,2.0,,2.0,2.0,6.0,1.0,7.0,,2.0,5.0,4.0,,,2.0,3.0,4.0,,3.0,3.0,11.0,2.0,,7.0,,6.0,7.0,2.0,4.0,2.0,1.0,6.0,3.0,3.0,2.0,3.0,,3.0,2.0,10.0,2.0,,,4.0,,,2.0,1.0,1.0,,,,2.0,2.0
Spintronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
Stem-cell therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Streaming television,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Superalloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Supercapacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Urban mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,
Vertical farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual power Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,2.0,,,,,,1.0,1.0,,,1.0,3.0,,,,,,,,1.0,,
Visible Light Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,1.0,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquaponics,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,1.0,,1.0,,1.0,2.0,1.0,,4.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,
concentrated solar power,,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,2.0,,,5.0,,2.0,,,27.0,,,,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,7.0,7.0,10.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,2.0,,3.0,,3.0,,,,,,,,,,,,,,,,3.0,,,,
