,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question
0,"At the core, Bitcoin reflects founding American values and ideals that have been constantly eroded by central banks.U.S. President & Principal author of the Declaration of Independence, Thomas Jefferson: “U.S. President & Founding Father James Madison: “At the core, Bitcoin reflects founding American values and ideals that have been constantly eroded by central banks.U.S. President & Principal author of the Declaration of Independence, Thomas Jefferson: “U.S. President & Founding Father James Madison: “The Federal Reserve still gives out a risk-free dividend of 6%That’sWith those returns, central banks don’t want the gravy train to stop.Examine a central banker’s opinion:I address the bubble statement on the bottom of my answer. Bitcoin is not a Ponzi scheme (see for yourself - the transparent, open source code shows it’s not a ponzi) and a lot of the major mining facilities run on clean energy - hydroelectric (China/Washington/Canada), geothermal (Iceland) or solar (China/Texas/Arizona). I could also say that printing money and maintaining the banking system causes massive environmental problems, but that’s another story.It’s just another way the media and central bankers want to incite public fear and distort facts on Bitcoin because it takes away some power from “They have a vested interest in their business. That’s not to say they cannot be open-minded and some bankers have already changed their minds about it.When you dissect what all money is based on, it’s down to belief. We don’t use “real assets” like back in the olden days. Barley isn’t a currency anymore. Global derivatives market is $1,200 trillion USD (To show you how many zeros - $1,200,000,000,000,000) as one estimate suggests, while the global GDP is $78.28 trillion USD.What’s the inherent value of these derivatives butThe US Dollar and other fiat currencies are backed only by theA “central bwanker” confirmed this “parody” is real. See Investopedia:One could argue I have interest in my business too. And to that, I concede that I can or may be biased. That being said, I would suggest examining my arguments for biases and reviewing Bitcoin’sI do not see pundits providing the same level ofIn fact, it is widely known in the financial industryYellen battles congressman over Fed independenceI’ve addressed most of the common arguments with strong evidence or reliable data references:To the argument “Bitcoin is a bubble”:To the argument “Bitcoin is going to be banned”:To the argument “Bitcoin is used for tax evasion”:To the argument “Bitcoin is used for money laundering”:An independent analysis of Bitcoin valuation from a institutional investor and former McK alumni:",2 followers,Kelly Pearson,1K,0,0,https://www.quora.com/Are-financial-pundits-biased-towards-undervaluing-the-potential-value-of-cryptocurrency
1,"Financial pundits are not biased, they simply do not have a rational basis by which to value the space, the technology or the companies.Three elements:Failure to see the potential reach of the technology.Failure to see the intrinsic value of disrupting an industry.Failure to realize that intrinsic value to others is more important than a balance sheet valuation.When the internet became main stream, the same thing happened because nobody really knew what the value ofWhen Google was operating without a revenue stream the financial pundits would screaFinancial pundits are not biased, they simply do not have a rational basis by which to value the space, the technology or the companies.Three elements:Failure to see the potential reach of the technology.Failure to see the intrinsic value of disrupting an industry.Failure to realize that intrinsic value to others is more important than a balance sheet valuation.When the internet became main stream, the same thing happened because nobody really knew what the value ofWhen Google was operating without a revenue stream the financial pundits would scream about the valuation “This is outrageous for a company without revenue…”Its not a matter of right or wrong butWhen Apple entered theSo I don’t think they are undervaluing the technology, but rather they have not understood the potential for blockchain technologies. Of course news outlets operate on the premise thatToken values bleed, blockchain they fail to comprehend, because they think as consumers and view a consumer item sale as a singular event, instead of seeing it in terms of a supply chain, with hundreds of vendors and thousands of sub assemblies.Any large consumer item is a thousand transactions upstream of the marketing fetish creation. Those thousand transactions can be clockchained.There is a second dimension to this.A tech company is intrinsically worth nothing. You could claim earnings has a bearing on stock price. But at the end of the day its the future potential of the technology that commands the highest prices.The fact that this week Twitter had their first profitable quarter and that its stock price went up is a testament to the failure to imagine the future potential of the company.Elon Musk flying to Mars has imaginative potential. Delivery delays because they have to source 30,000 components from 3000 suppliers and assemble the kit with JIT manufacturing principles is instead a GM play at your marginal utility rate.Token or blockchain have zero intrinsic value. That does not mean the future potential of the technology is not the same as HTML technology circa 1995.The true value has a third dimension in as much as a company might have value to a third party.Corporate culture does not allow for innovation or entrepreneurship. They are allergic to it. They can on the other hand throw massive resources at a problem and reverse engineer technology. They are not on the other hand always capable of capturing market share, or capturing the brand equity some other company has already pegged to the technology. Its risky business, and corporations shun risk in any form.If you have to duplicate a technology, duplicate a marketing strategy, do a brand extension, and capture a market, a corporate acquirer might value a company not in terms of its intrinsic value,There is a time dimension to that, in as much as if the process will take three years, they are forfeiting three years worth of revenue at their scale.Their scale might be worldwide with massive ad spend in all world markets. Their dimension might be 50X somebody selling a tech solution in Silicon Valley.Which means you need to qualify the intrinsic value at 50X because that is what that company or technology is worth to a large transnational corporation right now.Microsoft bought Skype because they needed to know who was doing business with who. They bought LinkedIn because they needed to put a name on those connections. In sales parlance they are qualifying the sales lead. If I am selling to “company xyz” I need to know who I am pitching and everybody else they interact with.That is the value that a company like WhatsApp had for Facebook.There is more to valuation than intrinsic value. For a tech startup, the value is the potential at full scale.Google did not create Adsense or the concept of purchased key word rankings, they purchased the companies that pioneered those technologies. AndValue like beauty, is in the eye of the beholder…Thanks for the ask!",22 followers,Aneel Sharma,1.4K,70,257.4K,https://www.quora.com/Are-financial-pundits-biased-towards-undervaluing-the-potential-value-of-cryptocurrency
2,"There are alot books on Crypto, as it is a hot topic now a days. But I found great list of books which easy to read and understand. Plus you will find verse discussion on crypto and crypto mining. So if you are planning to invest on crypto then gathering knowledge is a must.Learn all the pros and cons of crypto mining and how to do it properly from experts. 3 best books that you should follow before starting crypto mining.Find the books here 👉","84,490 followers",Adam Fayed,1.4K,0,0,https://www.quora.com/Are-financial-pundits-biased-towards-undervaluing-the-potential-value-of-cryptocurrency
3,"For any traditional asset class such as stocks, there are two primary branches of studyAn ideal analysis should combine the two. Buy value assets at a discount (cheaper than intrinsic value) at the right time. Having said that, proponents of both the branches have their own theories backing their choice of research.Fundamentalists believe in value more than price. They are generally long term players.Must Reads:For any traditional asset class such as stocks, there are two primary branches of studyAn ideal analysis should combine the two. Buy value assets at a discount (cheaper than intrinsic value) at the right time. Having said that, proponents of both the branches have their own theories backing their choice of research.Fundamentalists believe in value more than price. They are generally long term players.Must Reads:On the contrary, Technical Analysts believe in price,price and price. They leverage works of statisticians to recognize pattern in price movements (time series) to forecast the near future. They generally have short term positions.Must Reads:Both the studies/branches have their pros and cons. Please remember that investing in these asset classes have an inherent underlying risk and these tools/concepts are mere facilitators to help you sail through the uncertainties in a probabilistic time frameNow to answer your query on Crypto. These coins work mostly on a demand and supply equation and fundamental analysis do NOT apply to these asset classes. Most people trade on the basis of technical analysis. I am not a luminary in the field of block chain and coins to comment on what fundamentals drive their price. I will leave this part of your query open for other commentators to opine. So, if you want to learn more about crypto, try listening to some experts or experienced people.I don't claim to be an expert, but if you want, I can give you a few pointers. Well, I did a lot of digging from other questions related to this topic and noticed that recently people are interested in some of the following cryptocurrencies: USDP, Velas, Luminos... seem to have a lot of potentials. I’m really into Luminos these days. This is a project with a very good foundation. They also try hard to develop more in many other fields such as gaming (VICE) or platform called Fandoms that lets artists, singers, and other content creators market and sell their digital work and services to their audience, earning money through the site's subscription service, auction, or NFT sale.One feature of this project that I really enjoy is that it safeguards any information posted to the blockchain from censorship or removal by any central authority, allowing freedom of production and distribution through decentralized blockchain technology that is currently unavailable elsewhere. Isn't it worth taking a look at?",2 followers,Kelly Pearson,1K,0,0,https://www.quora.com/Are-financial-pundits-biased-towards-undervaluing-the-potential-value-of-cryptocurrency
4,"Recently I’m readingIt is an informative book to read when it comes to cryptocurrency, especially when you want to equip yourself with knowledge to better your decision-making when it comes to invesRecently I’m readingIt is an informative book to read when it comes to cryptocurrency, especially when you want to equip yourself with knowledge to better your decision-making when it comes to investment. I have read that book and do some research about crypto market, moreover I have found the crypto for myself, SENA token. SENA Group is a solid company with many big projects in the past. And their token, SENA token has multiple utilities, good use cases and is bringing utility to the space.","1,716 followers",Wilfred Edmund,926,65,879.6K,https://www.quora.com/Whats-a-good-book-to-read-on-crypto-currencies
5,There’s a selection to be going on with.There’s a selection to be going on with.,UNKNOWN,Shreyas Patel ( श्रेयस पटेल ),7.6K,174,1.8M,https://www.quora.com/Whats-a-good-book-to-read-on-crypto-currencies
6,"First off, let me commend you for your motivation to read crypto literature when it is still a relatively new field. It's always nice to see someone who wants to educate themselves on new technologies and economic systems.To clarify, I assume that you are looking for books to read on Cryptocurrencies (mainlyFirst off, let me commend you for your motivation to read crypto literature when it is still a relatively new field. It's always nice to see someone who wants to educate themselves on new technologies and economic systems.To clarify, I assume that you are looking for books to read on Cryptocurrencies (mainlyThis is a short ~30 minute read by Robert Breedlove, a guy who's played a big part in the rise and popularity of Bitcoin. The main premise of his article focuses on the problem of people having their valuable, hard-earned time stolen away by corrupt monetary systems. He cites examples from the 16th century to teach lessons that may be more relevant than you might think in the near future.The other sound recommendation I have is by another pioneer in the field, the Lebanese economist Dr. Saifedean Ammous. Here's a picture of the nice hardback edition below.Now this is a very popular book on the topic - you'll find this title appears near the top of many Bitcoin enthusiasts' must-read lists. What's great about it is it's not limited to just Bitcoin, it explains what sound money is and what properties it should carry. The front cover depicts the different mediums of exchange human civilization has adopted throughout its history - an emphasis on how these concepts have remained relevant even as humanity changed. Dr. Saifedean goes into great depth exploring the importance Bitcoin has in today's world and how early adopters can expect to benefit when the Bitcoin standard inevitably comes to fruition. While the book is available in 25 other languages, the Arabic version is free on his website for those of you who are proficient. There have also been several occasions when the author has given away the PDF to followers for free.","102,563 followers",Andrew Weill,729,24.3K,175.1M,https://www.quora.com/Whats-a-good-book-to-read-on-crypto-currencies
7,"Judging by your answer, I can’t know the following things:A good financial plan is bespoke to your circumstances - not what the latest news headlines show.The biggest reasons people fail in investing are analyzing and watching fear-mongering news too much, getting emotional, and also taking random advice from friends.People who succeed in investing tend to do the following things:Judging by your answer, I can’t know the following things:A good financial plan is bespoke to your circumstances - not what the latest news headlines show.The biggest reasons people fail in investing are analyzing and watching fear-mongering news too much, getting emotional, and also taking random advice from friends.People who succeed in investing tend to do the following things:2. Focus on the long-term. A long-term plan shouldn’t be affected by stocks rising or falling, by 20%.3. Diversify both in terms of time diversification, as it is safer as per the charts below, and asset diversification - not putting all your eggs in one basket.The last point is especially the case for middle-aged and older investors.4. Take advice where needed. This could be to do with tax, investing, or other issues.The more complicated your situation, the greater chance that advice will add some benefits.5. Don’t try to time the perfect time to buy assets, also known as market timing, which doesn’t work.And finally, they don’t stay in cash. Cash is a 100% guaranteed inflation loss.What’s more, this year, inflation is due to top 10% in the UK according to the Bank of England’s forecasts, with banks paying 1%. That is a 9% loss to inflation.If you buy assets, they will go up and down, but even if they go down, you don’t face a loss (only a decline) unless you sell out.Nobody “lost” money investing one day before the stock and real estate crash in 2007-2008, if they kept their nerve. Prices recovered within 3 years.In comparison, cash lost to inflation can never be recovered.Worried about the fall in the Pound or other currencies or inflation? Join me for my free webinar next Tuesday by registering below!Pained by financial indecision?Some Reading","358,063 followers",Sean Kernan,2.5K,5.6K,722.9M,https://www.quora.com/Whats-a-good-book-to-read-on-crypto-currencies
8,"""The Crypto-Millionaire Handbook: How You Can Turn a $1,000 investment into over $1 Millionaire by Trading and Investing in Cryptocurrencies"" is the ultimate guide that will teach you the ins and outs of investing in and trading cryptocurrencies for profit.",UNKNOWN,"L. Sebastian Purcell, PhD",740,376,38.5M,https://www.quora.com/Whats-a-good-book-to-read-on-crypto-currencies
9,"23 Books Every Crypto Trader, Investor and Enthusiast Should ReadTopics are multidisciplinary and range from economics, trading, network theory, technology, futurism, finance, sociology and the history of money.Let’s get to it!1. Trading in the Zone: Mastering the Market with Confidence, Discipline and a Winning AttitudeTrading in the Zone23 Books Every Crypto Trader, Investor and Enthusiast Should ReadTopics are multidisciplinary and range from economics, trading, network theory, technology, futurism, finance, sociology and the history of money.Let’s get to it!1. Trading in the Zone: Mastering the Market with Confidence, Discipline and a Winning AttitudeTrading in the Zone“Trading doesn’t just reveal your character,” Douglas says, “it also builds it if you stay in the game long enough.” His lessons helped me identify many of my own mental biases, better manage my emotions, and ultimately led to more confidence in trading highly volatile crypto markets.2. What I Learned Losing a Million DollarsJim Paul was raised in a small town in Northern Kentucky and eventually moved to become governor of the Chicago Mercantile Exchange. His story is a rollercoaster ride of success and failure. At the pinnacle of his trading career he blew $1.6 million, not just $1 million… in one trade.He paints a cautionary tale of hubris and getting caught up in our own thoughts, disregarding clear warning signs and what happens when we get too greedy (sound familiar?).While he was focusing on commodities, the lessons apply across any financial asset and where high-stakes decisions are being made. I read it before the crypto bubble burst (and before I lost a lot of money) so it’s taken on new meaning for me in the past year, as it might for you.3. Thinking, Fast and SlowThinking, Fast and SlowAll of this applies directly to how you trade and invest. Concepts that fascinated me: the peak end rule, regression to the mean, priming effects, anchoring, saliency — being aware of these and how they operate are the firsts steps to protect yourself against your own (potentially) self-destructive instincts.4. Ego is the Enemy: The Fight to Master our Greatest OpponentEgo is the EnemyFrom Persian King Xerxes to Steve Jobs, there are plenty of examples that illustrate the dangers of ego run amuck; in some cases the protagonists emerge victorious after realizing their wrongdoings, in other situations they dig their own grave. Each chapter provides a good antidote for those who feel like they’re on their high horse and need to be brought down to earth, and equally for those who are paralyzed to the point of inaction by their own self-criticism and fear.5. Thinking in Bets: Making Smarter Decisions When You Don’t Have all the FactsAnnie Duke graduated university with plans to become a psychologist, but after her brother invited her for a poker night, she fell in love with the game and went on to become a World Series Poker champion. She draws on examples from business, sports, politics, and of course poker to share tools anyone can use to embrace uncertainty and make better decisions. Annie makes the point that our life is not like chess — we don’t have all of the pieces in front of us.An important less from the book:Instead of trying to make the market fit your financial goals, the wiser choice is to create systems that allow you to make higher-probability winning trades. It could be as simple as setting a stop-loss, or always writing down your trades before executing.6. The Power of Habit: Why We Do What We Do in Life and BusinessIt’s pretty hard to build a good habit, like doing 100 pushups a day, eating a healthy amount of broccoli, or listening before you speak. Once temptation comes calling, it’s easy to slip back into bad habits, like stuffing my mouth with hazelnut chocolate or not shutting up when I should.The fascinating part is that the mechanism for habit building is the same, whether good or bad. I never really understood this until I read this book, and it helped de-mystify a lot about my own behavior. For anybody looking for a practical guide to break bad habits, and build new ones — this is it.7. The Third Industrial Revolution: How Lateral Power Is Transforming Energy, the Economy, and the WorldThe third industrial revolution goes something like this: Rather than have centralized power plants and grids (both fossil and renewable), we develop a decentralized power grid. Every house and every building would have their own solar panels/renewable energy; each building thus effectively turns into its own little power plant. Energy that isn’t used can be stored using hydrogen fuel cells and distributed/shared/sold on a decentralized grid to other people who want energy. It’s what the internet did for information, except for energy.Topics that are covered in the book which fascinated me:Decentralization is at the core of the 3rd industrial revolution and there’s no doubt that blockchain technology will be the backbone of the infrastructure required to make it happen. (great video you can8. Rich Dad, Poor DadRich Dad Poor DadKiyosaki starts the book off telling two parallel stories; the rich dad and the poor dad. The poor dad works every day, equates time with money, and thinks money is dirty. He pays his bills first and has a mortgage and is deep in credit card debt. He works for money. The rich dad, on the other hand, gets his paycheck and reinvests it in real estate and other businesses. He pays himself first. He diversifies in stocks. He is a savvy investor, and money works for9. Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class PerformersNo book list would be complete without mentioningWhat I find most interesting is that everybody’s routines are different. You would think that the ultra-productive and mega-successful would have an organized and OCD routine, planning their lives down to the minute. But mostly they don’t. They just drink a cup of coffee, take a shower, and get started. Day by day they chip away at their goals.While they’ve all achieved extraordinary feats compared to most, their accomplishments are incremental — and eventually extraordinary. There are no “overnight successes.”10. Out of Your Mind: Tricksters, Interdependence, and the Cosmic Game of Hide-and-SeekThis is a distillation of Watts’s best talks and ideas, pulling the practical out of Eastern philosophy into an easy digestible form even if you’re not familiar with Buddhism or Hinduism. He asks some big questions like “what is the universe? How do we change the past? What are you going to buy with your money? And most importantly, how do we take ourselves less seriously?” It gets deep, sure, but it remains witty and relatable and practical.One big takeaway is the idea of11. The Inevitable: Understanding the 12 Technological Forces that will Shape our FutureCo-founder of Wired Magazine,Recommended reading for anyone who feels like I do about the future — concerned and excited. Also, for those scoping out business ideas (in crypto and elsewhere), this will help unearth idea nuggets.12. Antifragile: Things That Gain from DisorderNassim Nicholas Taleb (author)The most pernicious type of middleman is what Taleb refers to as theAnother important concept: the13. The Internet of Money, Volume I and IIAndreas M. Antonopoulos is a pioneer. He’s been living off of bitcoin for the past several years and has real skin in the game. He’s got a great way of simplifying complicated ideas and this eBook is one of the best primers you’ll get on the topic, ranging from history to economics and the technical fundamentals of blockchain.When I’m feeling in the slumps during a bear market, or when I want to get inspired, this is what I read.Andreas is realistic about the limitations of progress and also takes his time to explain his reasoning in a level-headed, easy to understand way — a testament to his level of understanding and expertise. I gift frequently to those who are just getting started. Highly recommended.By the way…14. The Choose Yourself Guide to WealthWhileOne of my favorite routines he outlines is the “daily habit.” Write down ten ideas every day. Most of them will be bad, but that’s ok. You’re flexing your idea muscle. “When you have ideas, you’ll quickly get freedom. When you get freedom, you’ll have the energy to build more ideas, to generate more abundance, to live the life you want to live.”Other ideas from the book 1) connecting two people every day 2) don’t stay at a job just for salary increases 3) don’t do something just for money. A lot of the advice is tried and true (and basic), but it’s reframed to give you a quick jolt in the butt if you’re in a funk.15. Zero to One: Notes on Startups and How to Build the FutureBillionaire Peter Thiel is the co-founder of Paypal, founder ofThiel’s clarity in thought and execution can help any crypto enthusiast investor who is looking for an edge. It starts by always asking good questions and questioning the status quo.16. The Intelligent Investor: The Definitive Book on Value InvestingI’d reckon that most crypto traders haven’t read this. It’s not the easiest read, yes, but it’s a classic, foundational work. The new and revised edition has commentary after every chapter that explains the concepts in laymen’s terms, which I found extremely valuable and much easier to digest.A lot of the principles — particularly in terms of risk management— are timeless. Paul Graham reminds us that there is a way to be both an intelligent traderThe intelligent investor will, first and foremost, differentiate between both types of activities. Then, they’ll consider all of the factors that might affect both strategies. One of my biggest mistakes has been confusing the two, and then getting upset when I lost money on a trade. Upon further reflection, I was treating it as if it were an investment.Hodling17. Nomad Capitalist: How to Reclaim Your Freedom with Offshore Bank Accounts, Dual Citizenship, Foreign Companies, and Overseas InvestmentsYou have a little bit of money that you are willing to invest/spend. The question is how to“Go where you are treated best”18. Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent MoneyEven though so much has happened in the past 10 years of bitcoin’s existence, this book remains a true gem. Many of the crypto books published in the last few years are poorly written — Popper’s book is an exception. He does a great job of telling the story in a narrative form and it feels less like a non fiction and more like a thriller.Popper charts the rise of the Bitcoin through the eyes of the movement’s colorful central characters, including an Argentinian millionaire, a Chinese entrepreneur, Tyler and Cameron Winklevoss, the eccentric Roger Ver, and Bitcoin’s elusive creator, Satoshi Nakamoto.I gift this book often to friends who are just starting out and what to get a good primer on the backdrop of bitcoin.19. CryptoAssets: The Innovative Investor’s Guide to Bitcoin and BeyondChris BurniskeTopics explored in the book:The big thing to keep in mind when approaching the valuation topic is that nobody really has a solid understanding of this yet — it’s like trying to figure out that Apple would be worth $1T from 1994. That said,20. The Book Of Satoshi: The Collected Writings of Bitcoin Creator Satoshi NakamotoWe still don’t know who Satoshi is, whether he’s one person or a group of people — and in fact, from what we know he’s never even spent a single bitcoin. His anonymity is probably for the better, but the appeal of mystery is hard to forego. This is an interesting compilation of Satoshi’s emails and posts on forums over the years. It provides a convenient way to parse through what Bitcoin’s creator wrote over the span of the two years that constituted his “public life” before he disappeared. Overall it’s a fun read and will probably be referenced as a history book by future generations. :)21. The Robber Barons: The Classic Account of the Influential Capitalists Who Transformed America’s FutureRockefeller, Morgan, Vanderbilt, Carnegie, Harriman, Gould, Frick…If you are interested in how these men manipulated everything to their advantage, and what the costs were to the country’s economy, banks, stockholders —  this is the book to buy.The most admirable baron bribed politicians, abused their workers, and cheated ordinary investors by manipulating their own stock. Many of their actions would be illegal today….or would they? An interesting question to ask is,(Shout out to22. The Great Crash 1929Reading this story felt hauntingly familiar, like I’d been there, standing at the top of a roof ready to jump off. Like it was back to the future, early 2017 in the crypto-sphere. It’s funny how some things don’t change and how some lessons go unlearned.The book starts with the enormous optimism of the 1920s in the USA and runs through the excitement in investment opportunities from Florida land speculation. People were buying stocks on margin — that is, borrowing money in order to invest larger sums. It was a time when people felt the rollercoaster could climb higher and higher.It’s frightening to hear the number of times ‘experts’, such as Hoover are quoted as saying the same sorts of phrases we’re sick of hearing today…“the fundamentals of the economy are all essentially sound” or “this is just a minor correction from which the economy will bounce back stronger than ever.”When it all came crashing down, it crashed hard. The story of the Great Depression serves as a stark reminder to the consequences of blind optimism and power plays within the financial community. (P.S. you can also just watch the23. The Ascent of Money: A Financial History of the WorldBread, cash, dosh, dough, loot, lucre, moolah, money. WhatWant all of these books? I’m giving away all of them for free this Christmas!",991 followers,Brandon Redlinger,820,109,1.2M,https://www.quora.com/Whats-a-good-book-to-read-on-crypto-currencies
