,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question
0,"Of course, the Chinese very much hope that he will be re-elected.You may not know how much Chinese people like Trump.China never worries about foreign aggression, and its biggest enemy is always the Chinese.* Trump has killed the power that can really subvert ChinaBefore Trump took office, the United States controlled and squeezed China step by step. At that time, there were many pro-American faOf course, the Chinese very much hope that he will be re-elected.You may not know how much Chinese people like Trump.China never worries about foreign aggression, and its biggest enemy is always the Chinese.* Trump has killed the power that can really subvert ChinaBefore Trump took office, the United States controlled and squeezed China step by step. At that time, there were many pro-American factions within the CCP, not only within the Party but also quite a few intellectuals outside the Party who supported the United States.If Obama is given another eight years, it is really possible that China will be exterminated by the United States. This practice is very clever. The United States did not invade China, but the United States keeps exporting values to China, which will constantly subvert the Chinese people's views on the Communist Party and the Chinese government. Similar to the color revolution.In China, the pro-American faction has a special name called ""public intellectuals""（公知）, which is a neutral word in itself, but many pro-American people call themselves ""public intellectuals"", and now this group is almost equal to the treason group in China. At first, it was regarded as the light of civilization, but now it is regarded as a traitor to treason.But don't underestimate the pro-Americans. Many of them are rich, hold important positions in China, and have contacts with the United States. They are really likely to subvert the country. After Trump took office, Trump's successive trade wars and scientific and technological wars against China strengthened the Chinese Communist Party's determination to resist the United States and strengthened the Chinese people's determination. The former pro-Americans have become people abandoned by the times.* Trump forced China to embark on the road of further industrial localizationOnce China didn't have many high-tech products, so it could only complete basic assembly. With the development of China, China has continuously increased the research and development of high-tech products. But Trump sees the danger that China may bring. Therefore, various restrictions and attacks were imposed on Chinese enterprises. Trade war and science and technology war started three years ago.If it weren't for Trump's fierce offensive, Chinese enterprises would still have illusions about the US government. It is precise because of the various unequal treaties listed by Trump that Chinese enterprises have further realized the ideas of the US government. Now all Chinese enterprises regard the core technology as their life and are determined to overcome it. The idea of Chinese enterprises has been supported by the CPC and the Chinese people. It is very difficult to tackle technical problems, but abandoning fantasy to tackle technical problems will surely succeed one day.* Trump and Pompeo constantly confronted China on Hong Kong and Taiwan issues, which accelerated China's management of Hong Kong and now accelerated the process of China's unification of Taiwan by force.Former American politicians are very talented people.First of all, they know that Hong Kong and Taiwan issues are the core issues of China, and secondly, they know that Hong Kong and Taiwan issues can become a bargaining chip against China when necessary.China also knows what the US government thinks.Therefore, instead of taking over Hong Kong substantively, the CCP has given Hong Kong a high degree of autonomy. This is because the United States does not confront China on the Hong Kong issue. Before Trump took office, the CCP did not accelerate the deterioration of the Taiwan issue. On the contrary, before that, the CCP was vigorously promoting cross-strait exchanges. As the United States, they admit the fact of one China, but they have a vague attitude on the issues of Hong Kong and Taiwan in private. This practice is used to check and balance China.The American model once made it very difficult for China. On the one hand, the Chinese government cannot completely realize reunification. On other hand, patience is the only way to exchange for friendly relations between China and the United States. Only China-US friendship can promote China's construction and development. The United States is also very smart. On the one hand, it uses Hong Kong and Taiwan to check and balance China; on the other hand, its friendly relationship with China can also benefit the United States.But Trump broke the balance when he came to power. Trump underestimated the CCP's bottom line on Hong Kong and Taiwan issues. Trump believes that as long as China is completely suppressed, China will definitely bow its head. If Trump doesn't do this, maybe China will really bow its head.It's like if you want to kill 10 people, the best way is to threaten them with guns and say, ""You kill each other, and the last one who survives will not be killed"". At this time, these ten people will kill each other. If you point a gun at 10 people and say, ""I will kill you."" The final result may be 10 people pouncing on you and killing you.China is a nation with strong patience. As long as the Chinese can live, they will not riot easily. But if the Chinese can't stand it, there will be an uncontrollable counterattack.After Trump broke this tacit understanding and consensus. China can't endure any longer.First of all, China promulgated the National Security Law in Hong Kong. Now Hong Kong is an isolated island. All those who tried to make Hong Kong independent were all trapped in Hong Kong. Because Hong Kong is surrounded by Chinese territory, airspace, and territorial waters. The CCP can arrest these peopl...",0 followers,Ezio Yao,788,209,5.9M,https://www.quora.com/Does-China-prefer-Donald-Trump-in-2020
1,"祸兮福所倚，福兮祸所伏 —-Laozi (Founder of the Taoist)It refers to the interdependence and transformation of blessing and misfortune. Metaphor bad things can lead to good results, and good things can lead to bad results. It implies that people should be modest and prudent in prosperity, and guard against arrogance and rashness; Complacency and arrogance breed disaster instead, turning good fortune into evil; Perseverance in adversity, hard work, variable adversity for prosperity, by bitter and sweet truth.Trump has helped China make this transition and his anthem is super good",0 followers,Samuel Billings,9.1K,1.7K,2.2M,https://www.quora.com/Does-China-prefer-Donald-Trump-in-2020
2,"Yes. Donald Trump is the best thing happened to China since sliced bread.China wants to turn their economy from an investment-driven, infrastructure-building, export-oriented economy to a consumption-driven innovation economy. Due to the trade war that USA puts on Chinese export, China is forced to consume more domestically and rely less on exports. Trump also wants USA stop supplying critical hi-tech components to Chinese industry. This will force China to be self-reliant in hi-tech sooner than planned. The story of how China producing indigenous chips to replace Intel products for their supeYes. Donald Trump is the best thing happened to China since sliced bread.China wants to turn their economy from an investment-driven, infrastructure-building, export-oriented economy to a consumption-driven innovation economy. Due to the trade war that USA puts on Chinese export, China is forced to consume more domestically and rely less on exports. Trump also wants USA stop supplying critical hi-tech components to Chinese industry. This will force China to be self-reliant in hi-tech sooner than planned. The story of how China producing indigenous chips to replace Intel products for their super computers, or building their own space station as a result of US forbidding China to use ISS, will be repeated in all industrial segments in coming years.China wants to make their currency RMB a world reserve currency. Donald Trump is also helping China to accelerate this goal. His sanctions toward many countries such as Iran, Venezuela will force them to use RMB instead of USD as their foreign reserve. Russia also has plans to replace USD with RMB.",9 followers,Amy King,3.8K,0,0,https://www.quora.com/Does-China-prefer-Donald-Trump-in-2020
3,"YES.If I were China, I ONLY want Trump to get reelected.Trump made China GREAT again MUCH faster than any other US president imaginable by alienating and bullying their allies, radicalizing and dividing his own country further, reducing and withdrawing their participation as a leader in world affairs, and damaging their credibility and believability in anything they do domestically and internationally.",156 followers,Devin deWeil,11K,78,324.7K,https://www.quora.com/Does-China-prefer-Donald-Trump-in-2020
4,I’ve heard that China feels Comrade Trump is doing an excellent job as part of the CCP North American Branch. Gordon Chang and Western Media outlets as well.,0 followers,Yin Cao,714,57,402.7K,https://www.quora.com/Does-China-prefer-Donald-Trump-in-2020
5,"I think so. But Chinese government can’t say so to avoid ‘interfering’ with US election. If you look at Chinese social media’s posts, you might conclude that contradicts to my assessments because there are a lot of anti-Trump’s talks due to his attacks on China like China virus. The key question for China is will (a) the rise of China inevitably leads to US’s containment? or (b) US recognize the complexities of US & China’s relationships are both competitive and cooperative and engage accordingly?I think Xi prefers non-confrontational scenario (b) but is preparing for (a). As the negative viewI think so. But Chinese government can’t say so to avoid ‘interfering’ with US election. If you look at Chinese social media’s posts, you might conclude that contradicts to my assessments because there are a lot of anti-Trump’s talks due to his attacks on China like China virus. The key question for China is will (a) the rise of China inevitably leads to US’s containment? or (b) US recognize the complexities of US & China’s relationships are both competitive and cooperative and engage accordingly?I think Xi prefers non-confrontational scenario (b) but is preparing for (a). As the negative views of China continue to grow in US, it looks like (a) is inevitable. With a cold war type of relationship, it unfortunately becomes a zero-sum game. In that case, I believe China would rather pay the short terms price in exchange for long terms success. The following are my reasons why China favors 4 more years of Donald Trump:(1) Republicans vs. Democrats(2) Transactional vs. Ideological BasePeople may disagree with my arguments by pointing out that Trump actually imposes tough sanctions against China high tech companies like Huawei and SMIC. That is the the same contraction when he favors relationship with Putin while impose tough sanctions on Russia. My opinion is that there are China hawks in Trump’s administration like Wilbur Ross, John Bolton or Peter Navarro believe in tech cold war to contain China. Trump is taking advantage of those sanctions as bargaining chips. A good example is Trump commented that he could intervene in the arrest of Huawei CFO Meng Wanzhou if it helps the trade deal negotiation. He does not care that implies US is holding hostage for ransom money! To Trump, he does not think of moral principles much. If a deal is good enough, he can let go those sanctions.(3) Trump’s Pacifism(4) Damage to Global Alliance RelationshipsThe hardline former Trump’s National Security Adviser, John Bolton, recently said in an interview that he is not going to vote for Trump. I am not a fan of Bolton, but he said 4 more years of Trump will do so much more damage to US alliance relationship to the point of irreversible.(5) Leaving Multi-Lateral organizationsTrump withdraw from TPP (Trans-Pacific Partnership) which is a free-trade zone that specifically excludes China. Trump does not believe in free trade and he probably does not understand Obama’s China containment strategy either. Then he withdraws from WHO in the middle of pandemic crisis which makes no sense to anyone. The withdraw from Paris accord makes China becoming the climate change leader. He actively undermines WTO, NATO and UN to the point that US is consistently out voted on issues related to China. Trump’s actively leaving or undermining multi-lateral organizations is becoming a perfect gift to China.Conclusions",1 follower,Mary Lynch,1.5K,7.2K,11.4M,https://www.quora.com/Does-China-prefer-Donald-Trump-in-2020
6,"Totally. This may seem paradoxical, because it was Donald Trump who started the trade war against ChinaHowever, Donald Trump's behavior, even if it seems erratic, remains rather predictable. China knows how to deal with Donald Trump.It does not suffer so much from this trade war. The balance of payments between China and the United States is still largely in China's favorDonald Trump's attitude hasn't changed that. He made a lot of noise for not much. It's still the same with him. He talks, and wants us to talk about his actions, but when we dig, we realize that the results are non-existent.Continue ReadingTotally. This may seem paradoxical, because it was Donald Trump who started the trade war against ChinaHowever, Donald Trump's behavior, even if it seems erratic, remains rather predictable. China knows how to deal with Donald Trump.It does not suffer so much from this trade war. The balance of payments between China and the United States is still largely in China's favorDonald Trump's attitude hasn't changed that. He made a lot of noise for not much. It's still the same with him. He talks, and wants us to talk about his actions, but when we dig, we realize that the results are non-existent.On the other hand, the withdrawal of the United States with Donald Trump has benefited ChinaChina is taking full advantage of this attitude to gradually become a global superpower like the United States.With four more years of Donald Trump's tenure in the White House, China could move even closer to its great goal of becoming the world's leading superpower by 2030An election of Joe Biden would create uncertainty. This is something Xi Jinping does not like. It would reshuffle the cards, because Joe Biden will try to put the United States back at the center of the game at the global level by improving relations with the European Union, Canada, or Mexico.All that China does not want in the end.",4 followers,Randy Weir,2K,13K,70M,https://www.quora.com/Does-China-prefer-Donald-Trump-in-2020
7,"One thing for certain: China always prefer Republican, not Democrat, running the White House. While both hate China the same, Democrats are far more sneaky, and Republicans are blunt and frontal.Care to guess who makes the “easier to deal with” scenario?Right now, the Republicans can’t roll out anyone to compete with Trump, and it’ll be a while before we know who runs for the Democrats, so…",0 followers,Victor Liu,22.7K,0,0,https://www.quora.com/Does-China-prefer-Donald-Trump-in-2020
8,"Many people say they prefer Trump to be elected again. Please ignore such irresponsible speeches. A bunch of monkeys climb on a tree for the fruits. One incompetent monkey got left behind so he set fire on the tree. What does the monkey on top say? More fire so I can climb higher?What Trump did has been undermining the globalization, peace and global cooperation regarding crisis such as weather warming. All these are of great concern and interests of China. He is the one setting fire on the tree. It’s extremely stupid and ignorant to hope him elected again.And I know most Chinese saying this aMany people say they prefer Trump to be elected again. Please ignore such irresponsible speeches. A bunch of monkeys climb on a tree for the fruits. One incompetent monkey got left behind so he set fire on the tree. What does the monkey on top say? More fire so I can climb higher?What Trump did has been undermining the globalization, peace and global cooperation regarding crisis such as weather warming. All these are of great concern and interests of China. He is the one setting fire on the tree. It’s extremely stupid and ignorant to hope him elected again.And I know most Chinese saying this are just to show their sarcasm and confidence in the government. Be careful of what you wish for, because the US people aren’t comprehending you and they do have the right to vote.",0 followers,Marc Ross,4.4K,1.4K,1.3M,https://www.quora.com/Does-China-prefer-Donald-Trump-in-2020
9,"China didn’t ask for this trade war, Trump started it so that he could appear tough, but it backfired for several reasons. First, he’s an idiot who doesn’t read or do research and never listens to his advisers except Stephen Miller. Mr. Art of the Deal started imposing tariffs on Chinese goods without realizing that to force them into a trade deal he needed leverage. He already pulled out of the TPP which lost us about a dozen countries who would have stood with us against China’s unfair trade practices, and he didn’t seem to know that the US is more reliant on China than China is on the US. WChina didn’t ask for this trade war, Trump started it so that he could appear tough, but it backfired for several reasons. First, he’s an idiot who doesn’t read or do research and never listens to his advisers except Stephen Miller. Mr. Art of the Deal started imposing tariffs on Chinese goods without realizing that to force them into a trade deal he needed leverage. He already pulled out of the TPP which lost us about a dozen countries who would have stood with us against China’s unfair trade practices, and he didn’t seem to know that the US is more reliant on China than China is on the US. We outsource a good chunk of our labor to China, but a lot of the goods they were buying from us can be imported from other countries without the tariffs. Trump’s administration is filled with incompetent sycophants, President Xi’s government may be ruthless, but far from incompetent. They knew exactly what retaliatory tariffs would hurt Trump’s voters the most, so they went after the agricultural industry. Farmers lost their soybean market and their other commodity exports are down 40%. Even if a trade deal was reached, China wouldn’t go back to buying US goods at the same volume as before the trade war. Trump has to worry about reelection, among other things, President Xi doesn’t. It’s unusual for a GOP administration to oppose free trade, but like I said before, Trump is an idiot. China can wait this out until a mentally stable president represents the US, which shouldn’t be too far away, but the damage caused by Trump’s trade war may be permanent for farmers.Imagine growing up on a farm that’s been in your family for generations. Imagine working on that farm since you were a kid and continuing to work on it as an adult knowing that as long as the weather doesn’t get too bad, your hard work will be rewarded come harvest time. Then imagine Trump starting a trade war with our biggest trading partner and because of retaliatory tariffs, it would cost Chinese importers 15–25% more to buy your goods. You can lower your prices and say goodbye to most of your profits or have no market to sell your goods to. Chinese importers don’t really care if they get their soybeans from you or Brazil or Russia, they’ll go wherever they can get a better deal for the same quality product. Now imagine the money from the subsidies is running out because you used it to maintain your farm, the bills are piling up, and you have no other source of income. Eventually you may have to sell the farm that your grandparents used to work on because Trump is an idiot. This isn’t just a hypothetical, it’s a reality for farmers across the country.",782 followers,Aart Strong,2.2K,258,2.8M,https://www.quora.com/Does-China-prefer-Donald-Trump-in-2020
