"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Modelling dynamic behaviour of agents in a multiagent world: Logical analysis of Wh-questions and answers","M. Číhalová; M. Duží","Department of Philosophy, Palacký University of Olomouc, 771 80 Olomouc, Czech Republic; martina.cihalova@upol.cz; Department of Computer Science FEI, VSB-Technical University of Ostrava, 708 33 Ostrava, Czech Republic; marie.duzi@vsb.cz","Logic Journal of the IGPL","2 Mar 2023","2020","31","1","140","171","In a multiagent and multi-cultural world, the fine-grained analysis of agents’ dynamic behaviour, i.e. of their activities, is essential. Dynamic activities are actions that are characterized by an agent who executes the action and by other participants of the action. Wh-questions on the participants of the actions pose a difficult particular challenge because the variability of the types of possible answers to such questions is huge. To deal with the problem, we propose the analysis and classification of Wh-questions apt for agents’ communication in a multiagent system (MAS). Our proposal of such a system consists of agents who communicate with their fellow agents by messaging so that each autonomous agent, though resource-bounded, can make less or more rational decisions to meet its own and collective goals. In addition, by communicating with other fellow agents and their environment, agents can learn new concepts and enrich their ontology so that their behaviour is dynamic. We aim to make a general proposal of the system so that the ‘envelope’ of agents’ messages can be formalized in any MAS standard, be it The Foundation for Intelligent Physical Agents - Agent Communication Language (FIPA-ACL) or Knowledge Query and Manipulation Language (KQML). Yet, the content of messages is encoded in a formalized natural language. To this end, we apply Transparent Intensional Logic (TIL) with its procedural semanticswhich is particularly apt for a fine-grained analysis in which all the semantically salient features of natural language can be plausibly formalized. In this paper, we concentrate on analysing the content of query messages, particularly the content of those that encode Wh-questions and the answers to them. We also summarize TIL deduction system that makes it possible to answer such questions in an intelligent way. Linguists distinguish several subtypes of Wh-questions. Though the linguistic classification is helpful, it is not always suitable for agents’ communication and reasoning. We need the classification based on a logical analysis of Wh-questions so that the agents can infer possible answers to such questions rather than only looking for them by keywords. This paper aims to apply an appropriate classification of the logical types of Wh-questions and the analysis of such questions; we concentrate in particular on questions concerning the participants of activities. The application of these results to the analysis of processes and events based on verb valency frames is another novelty of the paper.","1368-9894","","10.1093/jigpal/jzab034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057255","activity;communication of agents;ontology;Transparent Intensional Logic;Wh-questions and answers","","","","","","","","","2 Mar 2023","","","OUP","OUP Journals"
"Complexity of the interpretability logics ILW and ILP","L. Mikec","Department of Mathematics, Faculty of Science, University of Zagreb; lmikec@math.hr","Logic Journal of the IGPL","2 Mar 2023","2020","31","1","194","213","The interpretability logic ILP is the interpretability logic of all sufficiently strong $\varSigma _1$-sound finitely axiomatised theories, such as the Gödel-Bernays set theory. The interpretability logic ILis a strict subset of the intersection of the interpretability logics of all so-called reasonable theories, IL(All). It is known that both ILP and ILW are decidable, however their complexity has not been resolved previously. In [10] it was shown that the basic interpretability logic IL is PSPACE-complete. Here we prove the same for ILP and ILW.","1368-9894","","10.1093/jigpal/jzac042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057257","modal logic;interpretability logic;complexity;PSPACE;Veltman semantics","","","","","","","","","2 Mar 2023","","","OUP","OUP Journals"
"Linear temporal justification logics with past and future time modalities","M. Ghari","Department of Philosophy, Faculty of Literature and Humanities, University of Isfahan, Postal Code: 8174673441, Isfahan, Iran and School of Mathematics, Institute for Research in Fundamental Sciences (IPM), P.O.Box: 19395-5746, Tehran, Iran; ghari@ipm.ir","Logic Journal of the IGPL","2 Mar 2023","2020","31","1","1","38","Temporal justification logic is a new family of temporal logics of knowledge in which the knowledge of agents is modelled using a justification logic. In this paper, we present various temporal justification logics involving both past and future time modalities. We combine Artemov's logic of proofs with linear temporal logic with past, and we also investigate several principles describing the interaction of justification and time. We present two kinds of semantics for our temporal justification logics, one based on interpreted systems and Fitting models and the other based on Mkrtychev models, and further, we establish soundness and completeness. We show that the internalization property holds in some of the temporal justification logics. We further investigate the two well-known epistemic-temporal notions of no forgetting and no learning in the framework of justification logics. Finally, we present temporal justification logics that avoid the logical omniscience problem.","1368-9894","","10.1093/jigpal/jzab027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057250","justification logic;temporal logic;past modalities;completeness;internalization","","","","","","","","","2 Mar 2023","","","OUP","OUP Journals"
"On weak filters and ultrafilters: Set theory from (and for) knowledge representation","C. D. Koutras; C. Moyzes; C. Nomikos; K. Tsaprounis; Y. Zikos","College of Engineering and Technology, American University of the Middle East, Egaila 54200, Kuwait; Konstantinos.Koutras@aum.edu.kw; Knowledge Representation Group, Department of Computer Science, University of Liverpool, Liverpool L69 7ZF, UK; Department of Computer Science & Engineering, University of Ioannina, Ioannina 45110, Greece; Department of Mathematics, University of the Aegean, Karlovassi, Samos 83200, Greece; Graduate Programme in Algorithms, Logic, & Discrete Mathematics, Department of Informatics & Telecommunications, National and Kapodistrian University of Athens, Athens 15784, Greece","Logic Journal of the IGPL","2 Mar 2023","2020","31","1","68","95","Weak filters were introduced by K. Schlechta in the ’90s with the aim of interpreting defaults via a generalized ‘most’ quantifier in first-order logic. They arguably represent the largest class of structures that qualify as a ‘collection of large subsets’ of a given index set $I$, in the sense that it is difficult to think of a weaker, but still plausible, definition of the concept. The notion of weak ultrafilter naturally emerges and has been used in epistemic logic and other knowledge representation (KR) applications. We provide a comprehensive exposition of weak filters and ultrafilters, comparing them with their classical counterparts that have found very important applications in logic, set theory and topology. Weak (ultra)filters capture the ‘majorities’ of social choice theory (which coincide with the commonsense understanding of a ‘large subset’) and in that respect, they outperform classical (ultra)filters in their role as ‘collections of large subsets’. Yet, they lack some of the elegant properties of classical (ultra)filters that make them an almost perfect match for logical theories. We investigate the extent to which some important classical results carry through in this new setting, and we focus on genuinely weak filters and genuinely weak ultrafilters. For weak ultrafilters, we proceed to provide concrete examples, answer questions of existence and characterize their construction. The class of weak (ultra)filters represents a genuine contribution of KR to set theory that might be of some interest to set theorists too and we initiate this study by providing a glimpse on natural set-theoretic questions.","1368-9894","","10.1093/jigpal/jzab030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057252","Knowledge representation;default reasoning;set theory;ultrafilters","","","","","","","","","2 Mar 2023","","","OUP","OUP Journals"
"Remarks about the unification types of some locally tabular normal modal logics","P. Balbiani; Ç. Gencer; M. Rostamigiv; T. Tinchev","Toulouse Institute of Computer Science Research, CNRS-INPT-UT3, Toulouse University, 31062 Toulouse, France; philippe.balbiani@irit.fr; Toulouse Institute of Computer Science Research, CNRS-INPT-UT3, Toulouse University, 31062 Toulouse, France and Faculty of Arts and Sciences, Istanbul Aydın University, 34295 Istanbul, Turkey; cigdem.gencer@irit.fr; Toulouse Institute of Computer Science Research, CNRS-INPT-UT3, Toulouse University, 31062 Toulouse, France; maryam.rostamigiv@irit.fr; Faculty of Mathematics and Informatics, Sofia University St. Kliment Ohridski, 1164 Sofia, Bulgaria; tinko@fmi.uni-sofia.bg","Logic Journal of the IGPL","2 Mar 2023","2020","31","1","115","139","It is already known that unifiable formulas in normal modal logic $\textbf {K}+\square ^{2}\bot $ are either finitary or unitary and unifiable formulas in normal modal logic $\textbf {Alt}_{1}+\square ^{2}\bot $ are unitary. In this paper, we prove that for all $d{\geq }3$, unifiable formulas in normal modal logic $\textbf {K}+\square ^{d}\bot $ are either finitary or unitary and unifiable formulas in normal modal logic $\textbf {Alt}_{1}+\square ^{d}\bot $ are unitary.","1368-9894","","10.1093/jigpal/jzab033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057254","Normal modal logics $\textbf {K}+\square ^{d}\bot$ and $\textbf {Alt}_{1}+\square ^{d}\bot$;unification types","","","","","","","","","2 Mar 2023","","","OUP","OUP Journals"
"Logic of informal provability with truth values","P. Pawlowski; R. Urbaniak","Institute of Philosophy, University of Gdansk and CLPS, Ghent University; haptism89@gmail.com; Institute of Philosophy, University of Gdansk","Logic Journal of the IGPL","2 Mar 2023","2020","31","1","172","193","Classical logic of formal provability includes Löb's theorem, but not reflection. In contrast, intuitions about the inferential behavior of informal provability (in informal mathematics) seem to invalidate Löb's theorem and validate reflection (after all, the intuition is, whatever mathematicians prove holds!). We employ a non-deterministic many-valued semantics and develop a modal logic T-BAT of an informal provability operator, which indeed does validate reflection and invalidates Löb's theorem. We study its properties and its relation to known provability-related paradoxical arguments. We also argue that T-BAT is a fairly sensible candidate for a formal logic of informal provability.","1368-9894","","10.1093/jigpal/jzab035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057256","Informal provability;many-valued logic;non-deterministic semantics;paradoxes of provability","","","","","","","","","2 Mar 2023","","","OUP","OUP Journals"
"Algorithmic correspondence for hybrid logic with binder","Z. Zhao","School of Mathematics and Statistics, Taishan University, Tai'an, 271000, China; zhaozhiguang23@gmail.com","Logic Journal of the IGPL","2 Mar 2023","2020","31","1","39","67","In the present paper, we develop the algorithmic correspondence theory for hybrid logic with binder $\mathcal {H}(@, \downarrow )$. We define the class of Sahlqvist inequalities for $\mathcal {H}(@, \downarrow )$, and each inequality of which is shown to have a first-order frame correspondent effectively computable by an algorithm $\textsf {ALBA}^{\downarrow }$.","1368-9894","","10.1093/jigpal/jzab029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057251","Correspondence theory;hybrid logic with binder;ALBA algorithm","","","","","","","","","2 Mar 2023","","","OUP","OUP Journals"
"Corrigendum for ""Truth in a logic of formal inconsistency: How classical can it get?""","L. Picollo",NA,"Logic Journal of the IGPL","2 Mar 2023","2020","31","1","214","217","","1368-9894","","10.1093/jigpal/jzaa053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057249","","","","","","","","","","2 Mar 2023","","","OUP","OUP Journals"
"The relevance logic of Boolean groups","Y. Weiss","The Saul Kripke Center, The Graduate Center, CUNY, Room 7118, 365 Fifth Ave., New York, NY 10016, USA; yweiss@gradcenter.cuny.edu","Logic Journal of the IGPL","2 Mar 2023","2020","31","1","96","114","In this article, I consider the positive logic of Boolean groups (i.e. Abelian groups where every non-identity element has order 2), where these are taken as frames for an operational semantics à la Urquhart. I call this logic BG. It is shown that the logic over the smallest nontrivial Boolean group, taken as a frame, is identical to the positive fragment of a quasi-relevance logic that was developed by Robles and Méndez (an extension of this result where negation is included is also discussed). It is proved that BG satisfies the variable sharing property and is Halldén complete, while failing to satisfy the disjunction property. Sound and complete subscripted tableaux are presented for BG. An axiomatization (in the positive language extended with fusion) is presented, which is sound with respect to BG and, with respect to a related ternary relational semantics, complete; the problem of identifying a complete axiomatization for BG itself is left open. Connections between BG and the quasi-relevance logic KR are also discussed.","1368-9894","","10.1093/jigpal/jzab031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10057253","Abelian groups;Boolean groups;operational semantics;relevance logic;tableaux","","","","","","","","","2 Mar 2023","","","OUP","OUP Journals"
"Exploiting flexibility of end-users at DSO-TSO levels acting in dynamic coalitions","F. Lezama; T. Pinto; R. Faia; Z. Vale","Polytechnic of Porto, Portugal; Polytechnic of Porto, Portugal; Polytechnic of Porto, Portugal; Polytechnic of Porto, Portugal","2020 IEEE Power & Energy Society General Meeting (PESGM)","13 Feb 2023","2020","","","1","5","In this paper, we propose and analyze a coalitional game in which end-users with different characteristics and preferences can cooperate to offer their flexibility to upper-level entities such as the DSO and TSO. We formulate the problem as a cooperative game in which users need to decide the percentage of flexibility they want to offer to DSO and TSO, while searching for the coalition structures that maximize their utilities. Finding the optimal coalition structure that maximizes the sum of payoffs (i.e., social welfare) is a complex combinatorial problem that cannot be efficiently solved for large instances. Therefore, we evoke the use of computational intelligence algorithms to find near-optimal solutions that can provide higher pay-offs in acceptable times than, for example, the grand coalition and independent coalitions.","1944-9933","978-1-7281-5508-1","10.1109/PESGM41954.2020.10041864","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10041864","","Heuristic algorithms;Tariffs;Games;Switches;Evolutionary computation;Search problems;NP-complete problem","combinatorial mathematics;game theory","coalition structures;coalitional game;complex combinatorial problem;dynamic coalitions;exploiting flexibility;grand coalition;independent coalitions;optimal coalition structure;upper-level entities","","","","18","IEEE","13 Feb 2023","","","IEEE","IEEE Conferences"
