"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The 2015–2017 Pamir earthquake sequence: foreshocks, main shocks and aftershocks, seismotectonics, fault interaction and fluid processes","W. Bloch; S. Metzger; B. Schurr; X. Yuan; L. Ratschbacher; S. Reuter; Q. Xu; J. Zhao; S. Murodkulov; I. Oimuhammadzoda","GFZ German Research Centre for Geosciences, 14473 Potsdam, Germany; Department of Earth, Ocean and Atmospheric Sciences, University of British Columbia, Vancouver V6T 1Z4, Canada; wbloch@eoas.ubc.ca; GFZ German Research Centre for Geosciences, 14473 Potsdam, Germany; GFZ German Research Centre for Geosciences, 14473 Potsdam, Germany; GFZ German Research Centre for Geosciences, 14473 Potsdam, Germany; Geologie, Technische Universität Bergakademie Freiberg, 09599 Freiberg, Germany; Geologie, Technische Universität Bergakademie Freiberg, 09599 Freiberg, Germany; Key Laboratory of Continental Collision and Plateau Uplift, Institute of Tibetan Plateau Research, Chinese Academy of Sciences, Beijing 100101, China; CAS Center for Excellence in Tibetan Plateau Earth Sciences, Beijing 100101, China; Key Laboratory of Continental Collision and Plateau Uplift, Institute of Tibetan Plateau Research, Chinese Academy of Sciences, Beijing 100101, China; CAS Center for Excellence in Tibetan Plateau Earth Sciences, Beijing 100101, China; Institute of Geology, Earthquake Engineering and Seismology, National Academy of Sciences, Dushanbe, Tajikistan; Department of Geology under the Government of the Republic of Tajikistan, Dushanbe, Tajikistan","Geophysical Journal International","17 Mar 2023","2022","233","1","641","662","A sequence of three strong (MW7.2, 6.4, 6.6) earthquakes struck the Pamir of Central Asia in 2015–2017. With a local seismic network, we recorded the succession of the foreshock, main shock and aftershock sequences at local distances with good azimuthal coverage. We located 11 784 seismic events and determined 33 earthquake moment tensors. The seismicity delineates the tectonic structures of the Pamir in unprecedented detail, that is the thrusts that absorb shortening along the Pamir's thrust front, and the strike-slip and normal faults that dissect the Pamir Plateau into a westward extruding block and a northward advancing block. Ruptures on the kinematically dissimilar faults were activated subsequently from the initial MW 7.2 Sarez event at times and distances that follow a diffusion equation. All main shock areas but the initial one exhibited foreshock activity, which was not modulated by the occurrence of the earlier earthquakes. Modelling of the static Coulomb stress changes indicates that aftershock triggering occurred over distances of ≤90 km on favourably oriented faults. The third event in the sequence, the MW 6.6 Muji earthquake, ruptured despite its repeated stabilization through stress transfer in the order of –10 kPa. To explain the accumulation of MW > 6 earthquakes, we reason that the initial main shock may have increased nearby fault permeability, and facilitated fluid migration into the mature fault zones, eventually triggering the later large earthquakes.","1365-246X","","10.1093/gji/ggac473","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076387","Asia;Earthquake interaction;forecasting and prediction;Seismicity and tectonics;Continental neotectonics;Dynamics: seismotectonics;Dynamics and mechanics of faulting","","","","","","","","","17 Mar 2023","","","OUP","OUP Journals"
"The neglected Istanbul earthquakes in the North Anatolian Shear Zone: tectonic implications and broad-band ground motion simulations for a future moderate event","O. Tan; Ö. Karagöz; S. Ergintav; K. Duran","Department of Geophysical Engineering, Faculty of Engineering, İstanbul University – Cerrahpaşa, 34320 Istanbul, Turkey; onur.tan@iuc.edu.tr; Department of Geophysical Engineering, Faculty of Engineering, Çanakkale Onsekiz Mart University, 17100 Çanakkale, Turkey; Department of Geodesy, Kandilli Observatory and Earthquake Research Institute, Boğaziçi University, 34684 Istanbul, Turkey; Department of Soil and Earthquake Research, Istanbul Metropolitan Municipality, 34440 İstanbul, Turkey","Geophysical Journal International","17 Mar 2023","2022","233","1","700","723","İstanbul (Marmara Region, NW Turkey) is one of the megacities in the world and suffered from destructive earthquakes on the North Anatolian Fault, a member of the North Anatolian Shear Zone, throughout history. The 1999 Kocaeli and Düzce earthquakes emphasize the earthquake potential of the fault, crossing the Sea of Marmara, and the importance of seismic hazards in the region. The studies in the last 20 yr have concentrated on the main fault and its future destructive earthquake potential. In this study, unlike the previous ones, we focus on the two main topics about the earthquakes not interested previously in İstanbul: (1) Investigating recent earthquake activity masked by the blasts in the metropolitan area and its tectonic implications, (2) revealing their effects in İstanbul utilizing numerical ground motion simulations for a future moderate event (Mw 5). First, the 386 earthquakes from 2006 to 2016 are relocated with the double-difference method using the dense seismic network operated in the same period. The source mechanisms of the events (ML ≥ 3), including the most recent 2021 Kartal–İstanbul earthquake (ML 4.1), are determined. In addition to the analysis of the recent seismic activity, the location of the two moderate and pre-instrumental-period İstanbul earthquakes, which occurred in 1923 (Mw 5.5) and 1929 (Mw 5.1), are revised. Using the relocated epicentres outside of the principal deformation zone and the fault plane solutions, the roles of the earthquakes in the stress regime of the Marmara region are explained. The epicentres on the Cenozoic or Palaeozoic formation in the Istanbul–Zonguldak Zone are interpreted as the re-activation of the palaeo-structures under the recent tectonic stresses, and their fault plane solutions agree with the synthetic/antithetic shears of a transtensional regime corresponding to the right lateral strike-slip system with mainly N–S extension in the Marmara Region. In the second part, we investigate the effects of moderate scenario events (Mw 5) considering the current earthquake epicentres in the İstanbul metropolitan area, using characterized earthquake source model and 1-D velocity structure verified with the broad-band (0.1–10 Hz) numerical ground motion simulation of the 2021 Kartal–İstanbul earthquake. The simulated PGAs agree with the ground-motion prediction equations for short epicentral distances (<30 km). Furthermore, according to the empirical relation for Turkish earthquakes, the maximum PGA value of the synthetic models (∼0.3 g) corresponds to the felt intensity of MMI IX. The simulated spectral accelerations for the Mw 5 earthquake scenarios may exceed the design spectrum between 0.2 and 0.6 s given in the Turkish Building Earthquake Code (2018). In addition, certain models also generate spectral accelerations close to the design-level spectrum between 0.4 and 1 s, leading to resonance phenomena. The results indicate that a moderate event (Mw 5) in the İstanbul metropolitan area is capable of damage potential for the mid-rise buildings (4–10 stories) because of the site condition with resonance phenomena and poor construction quality.","1365-246X","","10.1093/gji/ggac477","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076391","Numerical modelling;Earthquake ground motions;Earthquake hazards;Seismicity and tectonics","","","","","","","","","17 Mar 2023","","","OUP","OUP Journals"
"Integrated seismic source model of the 2021 M 7.1 Fukushima earthquake","Y. Zhang; H. Bao; Y. Aoki; A. Hashima","Earthquake Research Institute, The University of Tokyo, 1-1 Yayoi 1, Bunkyo-ku, Tokyo 113-0032, Japan; Innovation Academy for Precision Measurement Science and Technology, Chinese Academy of Sciences, Wuhan 430077, China; yijun@eri.u-tokyo.ac.jp; Earth, Planetary and Space Sciences, University of California, Los Angeles, CA 90095, USA; Earthquake Research Institute, The University of Tokyo, 1-1 Yayoi 1, Bunkyo-ku, Tokyo 113-0032, Japan; Research Institute for Marine Geodynamics, Japan Agency for Marine-Earth Science and Technology, Yokohama, Kanagawa 237-0061, Japan","Geophysical Journal International","17 Mar 2023","2022","233","1","93","106","We constructed an integrated rupture model of the 2021 Mw 7.1 Fukushima earthquake, an intraplate earthquake, by resolving both its spatiotemporal distribution of slip-rate and high-frequency (∼1 Hz) radiations. We analysed near-field seismic observations using a novel finite-fault inversion method that allows automatic parametrization and teleseismic data from multiple arrays using the MUSIC backprojection (BP) method that enhances imaging resolution. The inverted slip distribution obtained from waveforms filtered in the frequency band of 0.02–0.2 Hz showed that the kinematic rupture propagated along both the strike (∼35 km) and dip directions (∼85 km), and that the large-slip area was located southwest to the hypocentre with a maximum slip of ∼1.03 m. Overall, no obvious frequency-dependent rupture behaviours occurred during the rupture process due to the deep nucleation of the Fukushima earthquake on a heterogeneous fault where sizes of asperities do not monotonically increase with depth, which sheds light on understanding the rupture dynamics of intraplate earthquakes in subduction zones. Both the slip inversion and BP revealed the general rupture feature of this earthquake with southwestward and updip directivity. A comparison of BPs between multiple arrays indicates that the source–receiver geometry and the directivity effect of an earthquake may cause critical discrepancies in BPs of different arrays. From the temporal change of stress around the hypocentre of the 2021 Fukushima earthquake due to the 2011 Tohoku-Oki Mw 9.1 earthquake, the long-term dominance of viscoelastic relaxation increased the Coulomb failure function (CFF) by 0.3–0.7 MPa, indicating that the occurrence of the Fukushima earthquake has been likely promoted by the post-seismic deformation due to the Tohoku-Oki earthquake.","1365-246X","","10.1093/gji/ggac433","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076354","Body waves;Earthquake source observations;Seismicity and tectonics","","","","","","","","","17 Mar 2023","","","OUP","OUP Journals"
"Comparisons between non-interferometric and interferometric passive surface wave imaging methods—towards linear receiver array","F. Cheng; J. Xia; Z. Xu; J. B. Ajo-Franklin","School of Earth Sciences, Zhejiang University, 38 Zheda Rd., Hangzhou, Zhejiang 310027, China; Department of Earth, Environmental, and Planetary Sciences, Rice University, 6100 Main St., Houston, TX 77005, USA; marscfeng@rice.edu; School of Earth Sciences, Zhejiang University, 38 Zheda Rd., Hangzhou, Zhejiang 310027, China; Institut de Physique du Globe de Paris, 75205 Paris Cedex 13, France; Department of Earth, Environmental, and Planetary Sciences, Rice University, 6100 Main St., Houston, TX 77005, USA; Lawrence Berkeley National Laboratory, 1 Cyclotron Rd., Berkeley, CA 94720, USA","Geophysical Journal International","17 Mar 2023","2022","233","1","680","699","Passive seismic methods in highly populated urban areas have gained much attention from the geophysics and civil engineering communities. Linear arrays are usually deployed for passive surface wave investigations because of their high convenience, and passive surface wave imaging methods commonly used for linear arrays can be grouped as non-interferometric methods (e.g. passive multichannel analysis of surface wave, refraction microtremor) and interferometric methods (e.g. multichannel analysis of passive surface waves and spatial autocorrelation). It is well known that the seismic interferometry method is able to retrieve Green's function between inter-station pairs based on passive seismic data and that is how interferometric methods work. Although non-interferometric methods are also popular and effective in near-surface seismic imaging, particularly in the geotechnical industry, there is no theoretical proof to clarify the accuracy and/or the bias of these methods. In this study, we use numerical derivations and simulations to demonstrate the underlying physics for both non-interferometric and interferometric methods, under two common noise source environments including a homogeneous source distribution and a dominant in-line source distribution. We also prove the strength of interferometric methods for accurate dispersion imaging over the non-interferometric methods, and provide a way to estimate the biases in non-interferometric measurements. Finally, we present comprehensive comparisons between different passive surface wave methods with three typical field examples considering various observation systems.","1365-246X","","10.1093/gji/ggac475","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076389","Seismic interferometry;Seismic noise;Surface waves and free oscillations;Wave propagation","","","","","","","","","17 Mar 2023","","","OUP","OUP Journals"
"Crustal structure and magmatism of the Marvin Spur and northern Alpha Ridge, Arctic Ocean","T. Funck; J. Shimeld","Department of Geophysics and Sedimentary Basins, Geological Survey of Denmark and Greenland (GEUS), Øster Voldgade 10, 1350 Copenhagen K, Denmark; tf@geus.dk; Natural Resources Canada, Geological Survey of Canada, PO Box 1006, Dartmouth, NS, B2Y 4A2, Canada","Geophysical Journal International","17 Mar 2023","2022","233","1","740","768","The Marvin Spur is a 450-km-long east–west trending escarpment along the northernmost periphery of the Alpha Ridge, starting about 500 km from the coasts of Ellesmere Island and Greenland off the Arctic Ocean margin of North America and running subparallel to the Amerasian margin of the continental Lomonosov Ridge. This region was investigated as part of the Canada–Sweden Polar Expedition in 2016, from which two seismic profiles are presented. The first is a 165-km-long line along the crest of the Marvin Spur. The second is a 221-km-long line extending southwestward from the spur to the northern flank of the Alpha Ridge within the Cretaceous High Arctic Large Igneous Province (HALIP). Multichannel seismic reflection data were acquired along both lines using a 100-m-long streamer, and the airgun shots were also recorded using 16 sonobuoys and 5 stations on the sea ice to calculate a velocity model for the crust from forward modelling of seismic traveltimes. The Marvin Spur profile reveals up to 1100 m of sedimentary rocks on top of a 1-km-thick series of basalts (4.5–5.1 km s−1). Upper and lower crust have velocities of 5.8–5.9 km s−1 and 6.2–6.3 km s−1, respectively, with the upper crust being 1–2 km thick compared to around 13 km for the lower crust. A wide-angle double seismic reflection manifests the top and base of a 6-km-thick lower crustal layer that we interpret as magmatic underplating beneath the continental crust of the Marvin Spur. We correlate a high-amplitude magnetic anomaly on Marvin Spur with a comparable anomaly on Lomonosov Ridge by invoking 110 km of dextral strike-slip motion. Assuming that HALIP-related magmatic deposits generate these anomalies, the strike-slip motion pre-dates the main phase of magmatism (latest Cretaceous, 78 Ma). On the northern Alpha Ridge, sediments are around 1-km-thick and cover a 700 to 1700-m-thick series of basalts with velocities of 4.4–4.8 km s−1. Below is a 3-km-thick layer with intermediate velocities of 5.6 km s−1 and a lower crust with a velocity of 6.8 km s−1. Moho depth is not resolved seismically, but gravity modelling indicates a total thickness of 13 or 18 km for the igneous crust except for the Fedotov Seamount where Moho deepens by about 5 km. Construction of the seamount occurred in multiple magmatic phases, including flow eruptions during deposition of the Cenozoic sedimentary succession post-dating the main HALIP magmatism.","1365-246X","","10.1093/gji/ggac480","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076393","Gravity anomalies and Earth structure;Arctic region;Controlled source seismology;Continental margins: divergent;Crustal structure","","","","","","","","","17 Mar 2023","","","OUP","OUP Journals"
"Target-oriented least-squares reverse-time migration using Marchenko double-focusing: reducing the artefacts caused by overburden multiples","A. Shoja; J. van der Neut; K. Wapenaar","Department of Geoscience and Engineering, Delft University of Technology, 2628 CN Delft, the Netherlands; s.m.a.shoja@tudelft.nl; Department of Geoscience and Engineering, Delft University of Technology, 2628 CN Delft, the Netherlands; Department of Geoscience and Engineering, Delft University of Technology, 2628 CN Delft, the Netherlands","Geophysical Journal International","17 Mar 2023","2022","233","1","13","32","Geophysicists have widely used least-squares reverse-time migration (LSRTM) to obtain high-resolution images of the subsurface. However, LSRTM is computationally expensive and it can suffer from multiple reflections. Recently, a target-oriented approach to LSRTM has been proposed, which focuses the wavefield above the target of interest. Remarkably, this approach can be helpful for imaging below complex overburdens and subsalt domains. Moreover, this approach can significantly reduce the computational burden of the problem by limiting the computational domain to a smaller area. Nevertheless, target-oriented LSRTM still needs an accurate velocity model of the overburden to focus the wavefield accurately and predict internal multiple reflections correctly. A viable alternative to an accurate velocity model for internal multiple prediction is Marchenko redatuming. This method is a novel data-driven method that can predict Green's functions at any arbitrary depth, including all orders of multiples. The only requirement for this method is a smooth background velocity model of the overburden. Moreover, with Marchenko double-focusing, one can make virtual sources and receivers at a boundary above the target and bypass the overburden. This paper proposes a new algorithm for target-oriented LSRTM, which fits the Marchenko double-focused data with predicted data. The predicted data of the proposed method is modelled by a virtual source term created by Marchenko double-focusing on a boundary above the target of interest. This virtual source term includes all the interactions between the target and the overburden. Moreover, the Marchenko double-focused data and the virtual source term are free of multiples generated in the overburden. Consequently, our target-oriented LSRTM algorithm suppresses the multiples purely generated inside the overburden. Our algorithm correctly accounts for all orders of multiples caused by the interactions between the target and the overburden, resulting in a significant reduction of the artefacts caused by the overburden internal multiple reflections and improves amplitude recovery in the target image compared to conventional LSRTM.","1365-246X","","10.1093/gji/ggac438","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076356","Inverse theory;Numerical modelling;Acoustic properties;Controlled source seismology;Wave scattering and diffraction","","","","","","","","","17 Mar 2023","","","OUP","OUP Journals"
"Empirical correlations between an FAS non-ergodic ground motion model and a GIT derived model for Central Italy","P. Morasca; M. D'Amico; S. Sgobba; G. Lanzano; L. Colavitti; F. Pacor; D. Spallarossa","Istituto Nazionale di Geofisica e Vulcanologia, Milan, Italy; Istituto Nazionale di Geofisica e Vulcanologia, Milan, Italy; maria.damico@ingv.it; Istituto Nazionale di Geofisica e Vulcanologia, Milan, Italy; Istituto Nazionale di Geofisica e Vulcanologia, Milan, Italy; Istituto Nazionale di Geofisica e Vulcanologia, Milan, Italy; Istituto Nazionale di Geofisica e Vulcanologia, Milan, Italy; Istituto Nazionale di Geofisica e Vulcanologia, Milan, Italy; Istituto Nazionale di Geofisica e Vulcanologia, INGV, Via A. Corti 12, 20133, Milan, Italy. Dipartimento di Scienze della Terra dell'Ambiente e della Vita, Università di Genova, UNIGE, Viale Benedetto XV, 5, 16132, Genoa, Italy","Geophysical Journal International","17 Mar 2023","2022","233","1","51","68","In this study, we investigate the correlation between the residuals of a neGMM (non-ergodic Ground Motion Model) and the physics-based parameters obtained using a non-parametric GIT approach (Generalized Inversion Technique) to lay the groundwork for the implementation of an ad-hoc FAS (Fourier Amplitude Spectra) neGMM for the Central Italy region. This region is particularly suitable for data-driven methodologies as those applied in this work because of the large amount of available data due to the recent multiple main shock–aftershock sequences occurred in this area. Both neGMM and GIT models are developed for Fourier spectra in the frequency range between 0.5 and 25 Hz and using the same reference sites. The comparison of the non-ergodic terms with the source, path and site spectral parameters provides interesting results. First, we find a strong correlation between the source parameters, stress drop Δσ and decay ${k}_{\mathrm{ source}}$ and the source neGMM corrective terms (the combination of the between-event δBe and the location-to-location terms δL2L). This correlation is frequency dependent and, at high frequency, is remarkably positive for Δσ and negative for ${k}_{\mathrm{ source}}$. Concerning the attenuation terms, the path-to-path residuals (δP2P) are clearly associated with the deviations from the regional Q estimates obtained from GIT analysis. This indicates that the neGMM properly captures the properties of the anelastic attenuation and that the corrective terms δP2P can be used to account for differences in travel paths across different crustal domains. Finally, adopting the same reference sites for neGMM and non-parametric GIT, we observe that the systematic site terms (δS2Ss) and the GIT-derived amplification functions are in good agreement. The next step for an appropriate modelling is to identify the physical parameters (e.g. VS,30 and ${k}_0$) describing the empirical amplification curves to be introduced as explanatory variables in the ground motion model.","1365-246X","","10.1093/gji/ggac445","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076360","Central Italy;Computational seismology;Earthquake ground motions;Generalized Inversion Technique;Seismic attenuation","","","","","","","","","17 Mar 2023","","","OUP","OUP Journals"
"Seismic wavefield reconstruction based on compressed sensing using data-driven reduced-order model","T. Nagata; K. Nakai; K. Yamada; Y. Saito; T. Nonomura; M. Kano; S. Ito; H. Nagao","Graduate School of Engineering, Tohoku University, 6-6-01, Aramaki-aza-aoba, Aoba-ku, Sendai, Miyagi 980-8579, Japan; nagata@tohoku.ac.jp; National Institute of Advanced Industrial Science and Technology,1-2-1, Namiki, Tsukuba, Ibaraki 305-8564, Japan; Graduate School of Engineering, Tohoku University, 6-6-01, Aramaki-aza-aoba, Aoba-ku, Sendai, Miyagi 980-8579, Japan; Graduate School of Engineering, Tohoku University, 6-6-01, Aramaki-aza-aoba, Aoba-ku, Sendai, Miyagi 980-8579, Japan; Graduate School of Engineering, Tohoku University, 6-6-01, Aramaki-aza-aoba, Aoba-ku, Sendai, Miyagi 980-8579, Japan; National Institute of Advanced Industrial Science and Technology,1-2-1, Namiki, Tsukuba, Ibaraki 305-8564, Japan; Earthquake Research Institute, The University of Tokyo, 1-1-1, Yayoi, Bunkyo-ku, Tokyo 113-0032, Japan; Earthquake Research Institute, The University of Tokyo, 1-1-1, Yayoi, Bunkyo-ku, Tokyo 113-0032, Japan","Geophysical Journal International","17 Mar 2023","2022","233","1","33","50","Reconstruction of the distribution of ground motion due to an earthquake is one of the key technologies for the prediction of seismic damage to infrastructure. Particularly, the immediate reconstruction of the spatially continuous wavefield is valuable for decision-making of disaster response decisions in the initial phase. For a fast and accurate reconstruction, utilization of prior information is essential. In fluid mechanics, full-state recovery, which recovers the full state from sparse observation using a data-driven model reduced-order model, is actively used. In this study, the framework developed in the field of fluid mechanics is applied to seismic wavefield reconstruction. A seismic wavefield reconstruction framework based on compressed sensing using the data-driven reduced-order model (ROM) is proposed and its characteristics are investigated through numerical experiments. The data-driven ROM is generated from the data set of the wavefield using the singular value decomposition. The spatially continuous seismic wavefield is reconstructed from the sparse and discrete observation and the data-driven ROM. The observation sites used for reconstruction are effectively selected by the sensor optimization method for linear inverse problems based on a greedy algorithm. The proposed framework was applied to simulation data of theoretical waveform with the subsurface structure of the horizontally stratified three layers. The validity of the proposed method was confirmed by the reconstruction based on the noise-free observation. Since the ROM of the wavefield is used as prior information, the reconstruction error is reduced to an approximately lower error bound of the present framework, even though the number of sensors used for reconstruction is limited and randomly selected. In addition, the reconstruction error obtained by the proposed framework is much smaller than that obtained by the Gaussian process regression. For the numerical experiment with noise-contaminated observation, the reconstructed wavefield is degraded due to the observation noise, but the reconstruction error obtained by the present framework with all available observation sites is close to a lower error bound, even though the reconstructed wavefield using the Gaussian process regression is fully collapsed. Although the reconstruction error is larger than that obtained using all observation sites, the number of observation sites used for reconstruction can be reduced while minimizing the deterioration and scatter of the reconstructed data by combining it with the sensor optimization method. Hence, a better and more stable reconstruction of the wavefield than randomly selected observation sites can be realized, even if the reconstruction is carried out with a smaller number of observations with observation noise, by combining it with the sensor optimization method.","1365-246X","","10.1093/gji/ggac443","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076358","Inverse theory;Earthquake ground motions;Site effects;Waveform inversion;Wavefield reconstruction: reduced-order model;Compressed sensing","","","","","","","","","17 Mar 2023","","","OUP","OUP Journals"
"Micromechanics of rock damage and its recovery in cyclic loading conditions","N. Brantut; L. Petit","Department of Earth Sciences, University College London, London WC1E 6BS, UK; n.brantut@ucl.ac.uk; Laboratoire de Géologie, CNRS UMR 8538, Département de Géosciences, École Normale Supérieure, PSL University, 75005 Paris, France","Geophysical Journal International","17 Mar 2023","2022","233","1","145","161","Under compressive stress, rock ‘damage’ in the form of tensile microcracks is coupled to internal slip on microscopic interfaces, such as pre-existing cracks and grain boundaries. In order to characterize the contribution of slip to the overall damage process, we conduct triaxial cyclic loading experiments on Westerly granite, and monitor volumetric strain and elastic wave velocity and anisotropy. Cyclic loading tests show large hysteresis in axial stress–strain behaviour that can be explained entirely by slip. Elastic wave velocity variations are observed only past a yield point, and show hysteresis with incomplete reversibility upon unloading. Irrecoverable volumetric strain and elastic wave velocity drop and anisotropy increase with increasing maximum stress, are amplified during hydrostatic decompression, and decrease logarithmically with time during hydrostatic hold periods after deformation cycles. The mechanical data and change in elastic properties are used to determine the proportion of mechanical work required to generate tensile cracks, which increases as the rock approaches failure but remains small, up to around 10 per cent of the net dissipated work per cycle. The pre-rupture deformation behaviour of rocks is qualitatively compatible with the mechanics of wing cracks. While tensile cracks are the source of large changes in rock physical properties, they are not systematically associated with significant energy dissipation and their aperture and growth is primarily controlled by friction, which exerts a dominant control on rock rheology in the brittle regime. Time-dependent friction along pre-existing shear interfaces explains how tensile cracks can close under static conditions and produce recovery of elastic wave velocities over time.","1365-246X","","10.1093/gji/ggac447","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076362","Elasticity and anelasticity;Friction;Geomechanics;Rheology: crust and lithosphere","","","","","","","","","17 Mar 2023","","","OUP","OUP Journals"
"Tectonic stress fields inferred from long-term CMT data ranging over different periods","T. Terakawa; M. Matsu'ura","Graduate School of Environmental Studies, Nagoya University, D2-2 (510) Furo-cho, Chikusa-ku, Nagoya 464-8601, Japan; terakawa@seis.nagoya-u.ac.jp; Institute of Statistical Mathematics, 10-3 Midori-cho, Tachikawa, Tokyo 190-8562, Japan","Geophysical Journal International","17 Mar 2023","2022","233","1","162","181","We have developed an inversion method for estimating 3-D tectonic stress fields from centroid moment tensor (CMT) data of seismic events. To obtain reliable inversion analysis results, we need to use as much data as possible, ranging over different periods. In this study, we improved the previously developed CMT data inversion method to incorporate preceding inversion analysis results into the present analysis as direct prior information about the stress field. The spatial distribution of seismic events and/or their focal mechanisms in a region would change from one period to another, reflecting temporal stress changes there. In the improved inversion method, in addition to the hyperparameter controlling the roughness of stress fields, we introduced another hyperparameter that controls the relative weight of direct prior information to the observed data to be analysed. The relative weights of direct and indirect prior information to the observed data are appropriately determined by using Akaike's Bayesian Information Criterion. We applied the improved inversion method to the observed CMT data of seismic events of 24 yr (1997−2020) in northeast Japan, where the Tohoku-oki megathrust event (Mw 9.0) occurred on 11 March 2011 at the North American–Pacific Plate boundary. To investigate temporal changes in tectonic stress orientation, we divided the target period into the inter-, pre- and post-seismic periods of the megathrust event: P1 (January 1997−January 2007), P2 (February 2007−February 2011), and P3 (March 2011−December 2020). According to successive inversion analysis results for P1 and P2, we confirmed that the tectonic stress orientation was stable for 14 yr before the megathrust event. On the other hand, successive inversion analysis results for P2 and P3 indicated a possibility that the 2011 megathrust event caused significant changes in tectonic stress orientation in three regions. However, two of them were negative in the quantitative evaluation of the reliability of detected temporal changes. In conclusion, the stress orientation change in the region off Fukushima and Ibaraki, the southern margin of the main rupture area of the megathrust event, seems to be real.","1365-246X","","10.1093/gji/ggac449","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10076364","Inverse theory;Earthquake dynamics;Seismicity and tectonics;Subduction zone processes","","","","","","","","","17 Mar 2023","","","OUP","OUP Journals"
