"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Culture of Security for All","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","187","199","For centuries, prognosticators have suggested that animals have a veritable sixth sense, capable of feeling vibrations or detecting electrical changes in the air or gas imperceptible to humans. Science has not been able to prove any such sixth sense exists. Studies abound looking for the linkage between strange animal observations and a subsequent quake. But within this research, there does appear to be evidence that animals can, in fact, sense earthquakes before they occur. There is something every employee can do and every functional leader can adopt to embed cybersecurity in the daily fabric of the workplace, to bring the might of the 12 th Man to the cybersecurity field and the sixth sense of the collective herd to the first‐order fight of the digital sphere. This chapter sums up key questions and actions for every employee, manager, executive, and board member.","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10014001.pdf&bkn=10013706&pdfType=chapter","","Earthquakes;Computer security;Animals;Organizations;Geology;Games;Behavioral sciences","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Mr./Ms. Cellophane (Reprise)","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","147","168","In 2014, enterprises were losing control. They were being engulfed by an all‐out crusade; information technology (IT) departments consumed by its fury; Security caught in its crosshairs. Chief information security officers (CISOs) have a wealth of resources on best‐in‐class practices in their trade. CISOs must ensure the basics are covered and cybersecurity hygiene is at the top of that list of “things to do.” This is a case where common sense isn't always so common. Much of the conflict arises from competing objectives between cybersecurity and IT teams. IT is about keeping critical systems running and deploying technology in support of the business. Cybersecurity is about protecting the organization's assets. Artificial intelligence is the latest buzzword technology in cybersecurity.","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10014007.pdf&bkn=10013706&pdfType=chapter","","Companies;Visualization;Measurement;Business;Music;Fans;Computer security","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Stop the Line","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","69","86","The Internet of Things is just one example of how cybersecurity permeates more than what meets the eye. Product developers are the first line of defense in embedding cybersecurity requirements in every product or service a company offers. By integrating cybersecurity concepts into tried‐and‐true design methodologies, developers play an essential role in hardening their companies'—and even their users'—cybersecurity defenses. First, in the initial phases of design, customer input is imperative. Employees notice reward and recognition in companies. It's one part of the culture that is highly visible and clearly communicates what is important to senior leadership. Companies have come a long way from the cavalier, haphazard mentality once given to product quality.","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10014011.pdf&bkn=10013706&pdfType=chapter","","Automobiles;Companies;Philosophical considerations;Fuels;Business;Production facilities;Force","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Mr./Ms. Cellophane","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","23","45","For too long, chief information security officers (CISOs) have been the metaphorical Mr./Ms. Cellophanes of cybersecurity organizations, destined to toil in virtual anonymity as they relentlessly focus on the yeoman's work of security. Many are realizing that relegating the CISO to the shadows is at their own risk. At any given time, an organization's CISO is balancing one or more of three strategic efforts: transformation, risk management, and automation and efficacy. There are multiple ways to finally notice the Mr./Ms. Cellophanes among companies and give them the credit and support of which they are so rightfully deserving. First, cybersecurity should not be a random or sporadic topic to board agendas. Boards must make cybersecurity a regular topic. The CISO is an indispensable, often underestimated, member of the executive team.","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10013995.pdf&bkn=10013706&pdfType=chapter","","Computer security;Companies;Information security;Games;Music;Ethernet;Cloud computing","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"8 Steps to Better Security","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","205","212","","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10013962.pdf&bkn=10013706&pdfType=chapter","","","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"About the Author","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","203","203","","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10013970.pdf&bkn=10013706&pdfType=chapter","","","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"“Good Morning, This Is Your Wakeup Call.”","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","47","68","Military history across millennia records that the best defense is a good offense. In business, companies seek first‐mover advantage in launching a new product or service to capture early market share. In cybersecurity, there's no such thing as a “good offense” for a company. It seems that at least some employees think cybersecurity is better left to the tools or teams within IT, if not escalated to the higher‐ups at the company. It's understandable that a pass‐the‐buck mentality for cybersecurity is so rampant in organizations. The General Data Protection Regulation applies to all companies doing business or monitoring the activities of subjects in the European Union. According to Verizon's 2018 Data Breach Investigations Report, employees are directly or indirectly responsible for over a quarter of all breaches. Social engineering is one of the adversary's clearest weapons against naive employees.","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10013968.pdf&bkn=10013706&pdfType=chapter","","Method of moments;Law enforcement;Heart;Credit cards;Computer security;Companies;Sleep","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Acknowledgments","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","201","202","","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10013984.pdf&bkn=10013706&pdfType=chapter","","","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Interesting Bedfellows","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","127","146","The cybersecurity industry has done itself no favors with the stereotypical hacker trope of a bad guy in a hoodie lurking behind a green DOS screen that appears to be from the 1980s. Cybersecurity professionals are in the risk management business. They have technical expertise and scores of products in use to defend their companies against highly organized crime syndicates. Third‐party security management is relatively new for many organizations. CFOs carry the flag for their organizations in ensuring the procurement process sufficiently vets third parties' cybersecurity posture. In particular, the areas of the security operations center most likely to be outsourced include penetration testing, threat intelligence collection and feeds, and digital and malware forensics. As the organization's key allocators of resources and budget, finance professionals have much to offer a culture of cybersecurity, specifically, help CISOs and their teams speak the language of the business.","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10013953.pdf&bkn=10013706&pdfType=chapter","","Computer crime;Companies;Dark Web;Industries;Computer hacking;Benchmark testing;Law enforcement","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Front Matter","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","i","ix","The prelims comprise: <list style=""bulleted""> <listItem>Half‐Title Page</listItem> <listItem>Title Page</listItem> <listItem>Copyright Page</listItem> <listItem>Dedication Page</listItem> <listItem>Contents</listItem> </list>","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10014004.pdf&bkn=10013706&pdfType=chapter","","","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Luck Favors the Prepared","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","109","126","The public relations battleground is littered with more bad examples than good of companies that mis‐stepped in a communications outreach following a breach. Many companies resist victim‐centricity in their communications strategy and opt to deny responsibility instead. Communications experts must anticipate how they would effectively deny culpability for blatantly falsified emails that impugn their brand's reputation lest they find their company starring in its own urban legend of their enemy's making. While cybersecurity attacks are a relatively new phenomenon for communications experts, crises are not. When precious minutes are ticking by, the last thing employees want is for their executive team to be ruled by their own hot emotions of fear or anger that can cloud rational thinking.","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10014006.pdf&bkn=10013706&pdfType=chapter","","Kidney;Law enforcement;Companies;Computer hacking;Bars;Writing;Surgery","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"The Time I Ruined Easter","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","1","21","Easter wasn't unusual, assuming it was the type of well‐wishing that happens between friends on a holiday. Personal responsibility is an uncomfortable thing. Very few members relish the thought of examining what people could have done better or differently to prevent an unfortunate event. Deflection is a much more human response. For too long, cybersecurity has been “someone else's” problem. For too many, cybersecurity is an opaque topic undeserving of their time. Cybersecurity is a team sport with everyone needing to play her or his position for every minute of the game. Tools can be tremendously helpful, but it's only when people, tools, procedures, regular reviews, and other factors work together that they form an effective defense. Cybercriminals are counting on employee apathy or disengagement to unleash havoc on their targets.","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10013959.pdf&bkn=10013706&pdfType=chapter","","Social networking (online);Companies;Computer hacking;Humanities;Servers;Birds;Time measurement","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Experiencing a Culture of Security","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","169","185","Passengers suffered a fatality rate nearly four times today's average given a “culture of security” that was anything but. This chapter explains punch list of safety concerns passengers faced at one time or another during the history of commercial airline travel. The hijacking “virus” was a raging epidemic. Media covered this dark reality of air travel with equal fervor. As psychiatrists interviewed hijackers, they discovered a mentality of one‐upmanship. It's hard to believe, but hijacking became such a common occurrence during those years that passengers simply accepted it as part of the air travel experience. Due to cost, the fake airport idea was jettisoned in favor of behavioral profiling instead.","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10013932.pdf&bkn=10013706&pdfType=chapter","","Safety;Airline industry;Airports;IEEE Fellows;Heart;Engines;Electron tubes","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Bridging the Gap","A. Cerra",NA,"The Cybersecurity Playbook: How Every Leader and Employee Can Contribute to a Culture of Security","","2019","","","87","107","Cybersecurity vendors poach talent from one another, since it is easier to pay more for someone already schooled in the industry than to attempt to recruit from a virtually bankrupt pipeline of candidates. The private sector finds itself in the same revolving door of talent. And the public sector, typically with the most to defend is left to compete in this hotly contested labor market with the toughest constraints on compensation. The demand for cybersecurity professionals far exceeds its supply. Depending on the source, women make up anywhere from 11 to 20 percent of the cybersecurity workforce. Within a few years, universities began to be flooded with applicants who wanted to pursue a career in programming—now a hot market with a bright future thanks, in large part, to the advent of personal computing. Cybersecurity is as much a psychological battle as it is a technical one.","","9781119442165","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10013973.pdf&bkn=10013706&pdfType=chapter","","Computer security;Companies;Industries;Engineering profession;Unemployment;Telecommunications;Safety","","","","","","","","10 Jan 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Design of hazardous materials transportation safety management system under the vehicle-infrastructure connected environment","X. Yang; C. Ma; C. Zhu; B. Qi; F. Pan; C. Zhu","Lanzhou Jiaotong University, School of Traffic and Transportation, Lanzhou, China; Lanzhou Jiaotong University, School of Traffic and Transportation, Lanzhou, China; Lanzhou Jiaotong University, School of Traffic and Transportation, Lanzhou, China; Lanzhou Jiaotong University, School of Traffic and Transportation, Lanzhou, China; Qingdao University of Technology, Qingdao, China; Henan Polytechnic University, Jiaozuo, China","Journal of Intelligent and Connected Vehicles","26 Dec 2022","2019","2","1","14","24","Purpose - For the purpose of reducing the incidence of hazardous materials transport accident, eliminating the potential threats and ensuring their safety, aiming at the shortcomings in the process of current hazardous materials transportation management, this paper aims to construct the framework of hazardous materials transportation safety management system under the vehicle-infrastructure connected environment. Design/methodology/approach - The system takes the intelligent connected vehicle as the main supporter, integrating GIS, GPS, eye location, GSM, networks and database technology. Findings - By analyzing the transportation characteristics of hazardous materials, this system consists of five subsystems, which are vehicle and driver management subsystem, dangerous sources and hazardous materials management subsystem, route analysis and optimization subsystem, early warning and emergency rescue management subsystem, and basic information query subsystem. Originality/value - Hazardous materials transportation safety management system includes omnibearing real-time monitoring, timely updating of system database, real-time generation and optimization of emergency rescue route. The system can reduce the transportation cost and improve the ability of accident prevention and emergency rescue of hazardous materials.","2399-9802","","10.1108/JICV-11-2018-0012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9999197","Hazardous materials;Transportation safety;Management system;GIS;Route optimization;Intelligent connected","Hazardous materials;Monitoring;Vehicles;Accidents;Roads;Real-time systems;Safety management","","","","","","","","26 Dec 2022","","","TUP","TUP Journals"
"Analysis of female drivers' ECG characteristics within the context of connected vehicles","X. Wang; Y. Guo; C. Chen; Y. Xia; Y. Liu","Tsinghua University, Beijing, China; Tsinghua University, Beijing, China; Tsinghua University, Beijing, China; Qingdao University of Science and Technology, College of Electromechanical Engineering, Qingdao, China; Shandong University of Technology, School of Transportation and Vehicle Engineering, Zibo, China","Journal of Intelligent and Connected Vehicles","26 Dec 2022","2019","2","2","55","66","Purpose - This study aims to analyze the differences of electrocardiograph (ECG) characteristics for female drivers in calm and anxious states during driving. Design/methodology/approach - The authors used various materials (e.g. visual materials, auditory materials and olfactory materials) to induce drivers' mood states (calm and anxious), and then conducted the real driving experiments and driving simulations to collect driver's ECG signal dynamic data. Physiological changes in ECG during the stimulus process were recorded using PSYLAB software. The paired T-test analysis was conducted to determine if there is a significant difference in driver's ECG characteristics between calm and anxious states during driving. Findings - The results show significant differences in the characteristic parameters of female driver's ECG signals, including (average heart rate), (atrioventricular interval), (percentage of NN intervals > 50ms), (R wave average peak), (Root mean square of successive), (Q wave average peak) and ( S wave average peak), in time domain, frequency domain and waveform in emotional states of calmness and anxiety. Practical implications - Findings of this work show that ECG can be used to identify driver's anxious and calm states during driving. It can be used for the development of personalized driver assistance system and driver warning system. Originality/value - Only a few attempts have been made on the influence of human emotions on physiological signals in the transportation field. Hence, there is a need for transport scholars to begin to identify driver's ECG characteristics under different emotional states. This study will analyze the differences of ECG characteristics for female drivers in calm and anxious states during driving to provide a theoretical basis for developing the intelligent and connected vehicles.","2399-9802","","10.1108/JICV-01-2019-0002","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9999210","Driving anxiety;Driving experiment;ECG signal characteristics;Female driver;Paired T-test","Electrocardiography;Anxiety disorders;Skin;Physiology;Roads;Correlation;Noise measurement","","","","","","","","26 Dec 2022","","","TUP","TUP Journals"
