"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Bibliography","T. Samara",NA,"ERP and Information Systems: Integration or Disintegration","","2015","","","99","118","","","9781119232728","10.1002/9781119232643.biblio","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075007.pdf&bkn=10074975&pdfType=chapter","","","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Discussion: Relationships between Evolution of ERP Systems and IS Integration or Disintegration","T. Samara",NA,"ERP and Information Systems: Integration or Disintegration","","2015","","","81","89","This chapter discusses the meaning of the relationships between the research factors, evolution of enterprise resource planning (ERP) systems and information system (IS) integration or disintegration. The analysis, interpretation, deduction and results are based on the case studies and the literature review. The positive correlation between total dependency on the ERP vendor– (TDEV–) and economic crisis and competitiveness+ (ECCO+) could not help to implement a total integration of IS (TIIS). The explored negative correlation between TDEV– and interoperability of the ERP (INTE) could encourage a kind of disintegration and lead to a disintegrated information system (DIS), especially when the unreliability of the ERP system's interoperability is important. The positive correlation between project management ERP+ (PMER+) and evolution strategy of existing systems – or + (ESES– or +) and complexity of ERP+ (COER+) could improve integration.","","9781119232728","10.1002/9781119232643.ch7","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075013.pdf&bkn=10074975&pdfType=chapter","","Interoperability;Reliability;Project management;Correlation;Information systems;Complexity theory;Investment","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Other titles from ISTE in Information Systems, Web and Pervasive Computing","T. Samara",NA,"ERP and Information Systems: Integration or Disintegration","","2015","","","121","125","","","9781119232728","10.1002/9781119232643.oth2","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10074999.pdf&bkn=10074975&pdfType=chapter","","","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Literature Review: Factors Affecting the Relationships between the ERP System's Evolution and IS Integration or Disintegration","T. Samara",NA,"ERP and Information Systems: Integration or Disintegration","","2015","","","21","48","Given that an enterprise resource planning (ERP) is an indicator of information system (IS) integration, it is important to study some interaction factors between ERP systems and the IS. This chapter proposes economic crisis and competitiveness (ECCO), total dependency on the ERP vendor (TDEV), project management ERP (PMER), complexity of ERP (COER), and evolution strategy of ERP vendors (ESEV) as factors that could guide and impact the relationship between the ERP system's evolution and IS integration or disintegration. The interoperability of the ERP (INTE) system is its ability to interact with other subsystems (applications, legacy systems, ERP systems, etc.) within the whole of the IS. When the evolution strategy of existing systems (ESES) is based on ERP implementation, it aims to evaluate the fit of the ERP system in relation to the underlying business strategy.","","9781119232728","10.1002/9781119232643.ch4","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075019.pdf&bkn=10074975&pdfType=chapter","","Costs;Training;Complexity theory;Bibliographies;Scalability;Hardware;Companies","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Conclusion","T. Samara",NA,"ERP and Information Systems: Integration or Disintegration","","2015","","","93","97","","","9781119232728","10.1002/9781119232643.oth1","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075025.pdf&bkn=10074975&pdfType=chapter","","","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"ERP: Contribution and Trends","T. Samara",NA,"ERP and Information Systems: Integration or Disintegration","","2015","","","9","14","This chapter illustrates the role and trends for enterprise resource planning (ERP) implementation within the framework of the information systems (IS). For the purpose of the research, the selection of an ERP system and then the success or the failure of its implementation by a company can be used as an indicator to measure the integration rate for its IS. Bidan identified two categories of positioning for ERP systems within the framework of the IS: the partially standardized architecture and the mixed architecture. The chapter also shows the main trends related to the evolution of ERPs toward a new generation (2nd G). ERP is the information backbone of supply chain management. The emphasis on supply chain management and the advancement of information technology created a need for enterprise‐wide integration. Firms seek to use ERP systems to establish integration with other supply chain stakeholders.","","9781119232728","10.1002/9781119232643.ch2","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075000.pdf&bkn=10074975&pdfType=chapter","","Companies;Information systems;Software;Market research;Computer architecture;Aging;Standards organizations","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Definition of Research Terms","T. Samara",NA,"ERP and Information Systems: Integration or Disintegration","","2015","","","1","8","This chapter defines the research terms and presents the definitions of the artifacts under consideration because the study of a discipline is principally the study of the language of the discipline. For the purpose of the research, the chapter distinguishes between two types of enterprise resource planning (ERP), namely ERP first or second generation. An information system (IS) could become a hybrid integration of IS (HIIS) when the architecture comprises many “Best of Breed (BoB)”︁ applications. Some organizations have developed their own customized suites of enterprise applications, an approach known as a BoB information technology (IT) strategy. Disintegrated information system (DIS) comprises disparate legacy systems including applications and ERP systems. For the purpose of the research, integration means a progression from DIS to HIIS or to total integration of information system (TIIS) and also from HIIS to TIIS.","","9781119232728","10.1002/9781119232643.ch1","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075043.pdf&bkn=10074975&pdfType=chapter","","Information systems;Software;Customer relationship management;Companies;Computer architecture;XML;Real-time systems","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Interests and Limitations of the Research","T. Samara",NA,"ERP and Information Systems: Integration or Disintegration","","2015","","","91","92","This chapter explains the strength and weakness of the research and covers the main result that might shape the relationships between the evolution of enterprise resource planning (ERP) packages and information systems (ISs). It finds that links between ERP systems and ISs are triggered by certain variables or factors: economic crisis and competitiveness, total dependency on the ERP vendors, project management, interoperability and complexity of the ERP systems, evolution strategies of existing systems and of ERP vendors. Although the ERP system's implementation is logically a factor aiming to improve the IS integration, the negative values of the research factors could prevent this integration. These negative values, that are related to the ERP system's evolution, could also cause a kind of IS regression from a state of integration toward one of disintegration. The chapter summarizes the interactions between the research factors, the evolution of ERP systems and IS integration or disintegration.","","9781119232728","10.1002/9781119232643.ch8","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075010.pdf&bkn=10074975&pdfType=chapter","","Information systems;Statistical analysis;Stakeholders;Research and development;Information technology;Enterprise resource planning;Distance measurement","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Case Studies","T. Samara",NA,"ERP and Information Systems: Integration or Disintegration","","2015","","","71","79","This chapter presents three case studies: the first two case studies analyze the information systems (IS) of Hershey and FoxMeyer Drugs, both of which have implemented enterprise resource planning (ERP) systems; while the third case study studies the strategy of Oracle as a software vendor. It briefly describes the IS evolution for each firm with an analysis of the impact of the research factors on relationships between ERP systems and IS integration or disintegration. Before the successful updating in 2001, the integration problems between the three subsystems (SAP, Siebel and Manugistics) were related to the unreliability of the interoperability and to the ERP system's complexity. Oracle seeks to promote the interoperability of the final version, which contains an application integration architecture that includes middleware interoperability. This orchestration allows the linking of functions either from the existing software package or other solutions that may or may not be Oracle software.","","9781119232728","10.1002/9781119232643.ch6","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075045.pdf&bkn=10074975&pdfType=chapter","","Software;Information systems;Companies;Interoperability;Business;Training;System implementation","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Correlation Between Research Factors","T. Samara",NA,"ERP and Information Systems: Integration or Disintegration","","2015","","","49","69","Based on the literature review and a logical deduction, this chapter explores potential relationships between the research factors. It defines two principal types of correlations: positive correlation (PC) is a direct relationship where, as the amount of one variable (factor) increases, the amount of a second variable also increases; and negative correlation (NC) describes a relationship where, as the amount of one variable goes up, the amount of another variable goes down. The complexity of enterprise resource planning (ERP) (COER), high costs and implementation problems force numerous organizations to reconsider their new plans in relation to this enterprise system. The evolution strategy of ERP vendors (ESEV) should take into account the ERP system's customization process, which is often complex and costly. The evolution strategy of existing systems (ESES) information technology (IT) is impacted by the business strategy of the firms.","","9781119232728","10.1002/9781119232643.ch5","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075008.pdf&bkn=10074975&pdfType=chapter","","Correlation;Complexity theory;Costs;Standards organizations;Information systems;Companies;Maintenance engineering","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
