,Answer,followerCount,name,upvoteCount,answerCount,answerViews,year,question
0,"Yes. Just take a look at these :China put a man into space in 2003.China sent a land rover to the moon in 2013.China launched a space lab in 2011.Chinese supercomputer has been ranked No.1 in the Top500 list beating America for 6 consecutive times up to now. China builds the fastest computer in the world.China has a strong nuclear program.China has the longest high-speed rail system in the world. The design and development of the system is indigenous to China.China is the world leader in quantum communication. The first quantum communication satellite in the world was launched by China in 2016Yes. Just take a look at these :China put a man into space in 2003.China sent a land rover to the moon in 2013.China launched a space lab in 2011.Chinese supercomputer has been ranked No.1 in the Top500 list beating America for 6 consecutive times up to now. China builds the fastest computer in the world.China has a strong nuclear program.China has the longest high-speed rail system in the world. The design and development of the system is indigenous to China.China is the world leader in quantum communication. The first quantum communication satellite in the world was launched by China in 2016/8.China has indigenous version of American C-17 heavy lifter.China is taking on Boeing and Air-bus.Sometimes Silicon valley copies China for their mobile internet ideas.China is also the world’s largest exporter of smart phones, including iPhones.Chinese Jiao Long reached deeper than 7000 meters below the sea.China built the longest bridge in the world (more than 164 kilometers)Lenovo is the world’s No.1 PC makerDJI is the world’s No.1 drone makerBaidu is testing the Chinese autonomous driving carAlibaba is the world’s largest E-commerce platformPLAN surpassed Russian navy in surface vessel quality and capabilities",469 followers,Daniel Cohort,11.9K,377,1.2M,2018,https://www.quora.com/With-all-the-advanced-technology-and-knowledge-we-possess-today-why-have-they-not-developed-an-effective-shark-repellent
1,"These Scientific Discoveries That May Change the World Soon1. The first successful head transplant surgeryYou will probably agree that this piece of news sounds like it was told by someone who returned from the future. But the future is actually now. This is what our scientists are trying to prove.Chinese surgeons, managed by Sergio Canavero, performed2.Modern medicalThese Scientific Discoveries That May Change the World Soon1. The first successful head transplant surgeryYou will probably agree that this piece of news sounds like it was told by someone who returned from the future. But the future is actually now. This is what our scientists are trying to prove.Chinese surgeons, managed by Sergio Canavero, performed2.Modern medical experts are on the way to making people forget the word “cancer.” Of course, it is impossible to cure cancer completely, but it might become as easy as curing a cold.In 2017, several ways of fighting cancer cells have been tested but the most progressive one was the method for3. Genetical editing to treat a patientIn August 2017 bioengineers changed the genes of a living person. Experts at Oregon University made their first attempt to4. Chinese scientists cloned a monkeyThe first5. Israeli eye ophthalmologists invented eye drops that restore the eye cornea.Can you imagine that very soon glasses for eyesight correction won’t be necessary anymore and their job will be done by regular6.Scientists created a vest that can warn you about a heart attack several days in advanceSmart VestThe creator of this invention says that the application can give a diagnosis and even predict serious heart issues because the abnormal activity of the heart can be noticed on the ECG 2 days before the heart attack. The vest has already been successfully tested on volunteers.Thanks for readingWith ❤️ DP ✍️",UNKNOWN,DurgaPrasad (దుర్గా ప్రసాద్),546,183,3.5M,2018,https://www.quora.com/With-all-the-advanced-technology-and-knowledge-we-possess-today-why-have-they-not-developed-an-effective-shark-repellent
2,"In order to answer that question, we should ask the one who actually did it.“I don’t. But I do keep them in the Batboat and the Batchopper, in case I every have problems in Gotham Bay.Thank God Robin was there to hand me it. Explosive sharks can be problematic.”In order to answer that question, we should ask the one who actually did it.“I don’t. But I do keep them in the Batboat and the Batchopper, in case I every have problems in Gotham Bay.Thank God Robin was there to hand me it. Explosive sharks can be problematic.”",719 followers,Sandip Bhatnagar,629,321,1.4M,2021,https://www.quora.com/With-all-the-advanced-technology-and-knowledge-we-possess-today-why-have-they-not-developed-an-effective-shark-repellent
3,"Because that would be a terrible idea, you are wiping out an entire super order of species. The effects on the ocean ecosystem are already being felt because of how many species have dropped with an average of 90% reduction in population with some species reaching a reduction of 99%. Sharks are not a threat to human life, with an average during a bad year of 100 “attacks” on humans, with a 20% death rate, leading to 20 human deaths from sharks. This is contrasted with how we kill in the range of 73–100 million each year, mostly for shark fin soup.Interestingly enough, sharks have been found toBecause that would be a terrible idea, you are wiping out an entire super order of species. The effects on the ocean ecosystem are already being felt because of how many species have dropped with an average of 90% reduction in population with some species reaching a reduction of 99%. Sharks are not a threat to human life, with an average during a bad year of 100 “attacks” on humans, with a 20% death rate, leading to 20 human deaths from sharks. This is contrasted with how we kill in the range of 73–100 million each year, mostly for shark fin soup.Interestingly enough, sharks have been found to allow sequestering of carbon in ocean ecosystems by keeping species in check. Sharks maintain the health of coral reefs, a healthy reef is one in which there is alot of apex predators who are hungry, and the smaller fish living in fear and breeding rapidly. The “perfect” reef with only a few predators and a massive population of not scared smaller fish is how reefs end up in poor health and get destroyed.https://oceana.org/sites/default/files/reports/Predators_as_Prey_FINAL_FINAL1.pdf","5,990 followers",Jens Böttiger,566,2.6K,17.6M,2020,https://www.quora.com/With-all-the-advanced-technology-and-knowledge-we-possess-today-why-have-they-not-developed-an-effective-shark-repellent
4,Image source- National GeographicImage source- Live ScienceImage source- PinImage source- National GeographicImage source- Live ScienceImage source- PinterestImage source- New Scientist:),"5,360 followers",Valerio Cietto,677,2.4K,9.1M,2021,https://www.quora.com/With-all-the-advanced-technology-and-knowledge-we-possess-today-why-have-they-not-developed-an-effective-shark-repellent
5,Develop technology for life to survive after the upcoming World War.Develop technology for life to survive after the upcoming World War.,"68,778 followers",Kanthaswamy Balasubramaniam,898,17.3K,413.3M,2021,https://www.quora.com/With-all-the-advanced-technology-and-knowledge-we-possess-today-why-have-they-not-developed-an-effective-shark-repellent
6,"You are already familiar with the advanced technologies of written language and the internet. I would say that you should get familiar with the analog technologies of past centuries. The classical theories of motion of Issac Newton that got us to the moon, the science and inventions of the 19th century that all modern technology is based on. In other words, what no one else is working on.No one knows what the future hold. That’s why it is called the future. The distant past also holds many unknowns. Humankind has been trying to predict the future ever since Stonehenge was built. The technologiYou are already familiar with the advanced technologies of written language and the internet. I would say that you should get familiar with the analog technologies of past centuries. The classical theories of motion of Issac Newton that got us to the moon, the science and inventions of the 19th century that all modern technology is based on. In other words, what no one else is working on.No one knows what the future hold. That’s why it is called the future. The distant past also holds many unknowns. Humankind has been trying to predict the future ever since Stonehenge was built. The technologies that have been used include religion and science. What you want to have is a well rounded education.If you can build a better mousetrap, the world will beat a path to your door.-Ralph Waldo Emerson.It doesn’t have to be a perfect mousetrap, just better.",78 followers,Rajan Singh,1.5K,360,25.2M,2021,https://www.quora.com/With-all-the-advanced-technology-and-knowledge-we-possess-today-why-have-they-not-developed-an-effective-shark-repellent
7,If we survive at this point we’re going to survive with advancing technology. The room and energy it takes to store most of humanities technological history is very small now. With groups of hundreds of people and knowledge we could work our way from stone axes to lathes and mills.,"5,990 followers",Jens Böttiger,566,2.6K,17.6M,2019,https://www.quora.com/With-all-the-advanced-technology-and-knowledge-we-possess-today-why-have-they-not-developed-an-effective-shark-repellent
8,"There areThe first – one that actually gets humanity somewhere. An innovation that pushes humanity in the right direction. The wheel, the alphabet, the iPhone (?). These have some great implications for the future of humanity. While some pose certain consequential repercussions, they are mostly evidences of how great the human mind is.The second –Yep, this didn’t really have to do with laziness as a consequence of innovation. What I meant to say is that inventions can be mean great things for humanity and can push usThere areThe first – one that actually gets humanity somewhere. An innovation that pushes humanity in the right direction. The wheel, the alphabet, the iPhone (?). These have some great implications for the future of humanity. While some pose certain consequential repercussions, they are mostly evidences of how great the human mind is.The second –Yep, this didn’t really have to do with laziness as a consequence of innovation. What I meant to say is that inventions can be mean great things for humanity and can push us in a way that only increases our capabilities as humans, and there are others, that, well…","246,833 followers",Dushka Zapata,1.5K,8.5K,232.4M,2019,https://www.quora.com/With-all-the-advanced-technology-and-knowledge-we-possess-today-why-have-they-not-developed-an-effective-shark-repellent
9,"Transfer learning in ML models.Humans are really good at generalizing. We only have to see a few dogs before we can recognize a dog when we see one.Machines are not. ML models require millions of examples before forming a reliable classifier, and that classifier is very specific to the data on which it was trained. If your training data doesn't include dogs with three legs, the model won't recognize them. A machine that plays Go is useless at checkers.Transfer learning is the ability to apply a model from one domain to a different one. It's hypothesized that the reason humans learn so quicklyTransfer learning in ML models.Humans are really good at generalizing. We only have to see a few dogs before we can recognize a dog when we see one.Machines are not. ML models require millions of examples before forming a reliable classifier, and that classifier is very specific to the data on which it was trained. If your training data doesn't include dogs with three legs, the model won't recognize them. A machine that plays Go is useless at checkers.Transfer learning is the ability to apply a model from one domain to a different one. It's hypothesized that the reason humans learn so quickly is that we are fitting new examples into our existing knowledge rather than forming entirely new categories. If we could teach machines to do the same, they would learn exponentially faster and apply that learning more effectively.Transfer learning is a very hot topic in AI research right now, so I expect major breakthroughs in the next few years. I think this may be sufficient to achieve artificial general intelligence, but even if not, it will dramatically extend the range of tasks that machines can accomplish.",30 followers,Vijaya Lakshmi,3.6K,1.2K,43.3M,2018,https://www.quora.com/With-all-the-advanced-technology-and-knowledge-we-possess-today-why-have-they-not-developed-an-effective-shark-repellent
