,Answer,followerCount,name,upvoteCount,answerCount,answerViews,year,question
0,"Well, we cannot say for sure what will come in market after 20 years, but one thing which will be huge is -VR is the hot topic among tech enthusiasts. During past 2 years we have seen significant changes in VR technology but it is getting bigger every day.Everyday we are getting new VR products. In CES also it was a topic of discussion.Startups which are related to VR getting fund of 6 figures.So whatever happens after 20 years, but we will see a very good development in this technology.Well, we cannot say for sure what will come in market after 20 years, but one thing which will be huge is -VR is the hot topic among tech enthusiasts. During past 2 years we have seen significant changes in VR technology but it is getting bigger every day.Everyday we are getting new VR products. In CES also it was a topic of discussion.Startups which are related to VR getting fund of 6 figures.So whatever happens after 20 years, but we will see a very good development in this technology.","5,084 followers",Bobby Tatro,3.9K,2.2K,45.6M,2016,https://www.quora.com/What-kind-of-technology-can-we-expect-in-the-next-20-years
1,Faster elevators capable of moving sideways.Faster elevators capable of moving sideways.,18 followers,Asim Qureshi,17K,996,156M,2021,https://www.quora.com/What-kind-of-technology-can-we-expect-in-the-next-20-years
2,20 years from today...20 years from today...,4 followers,Leon Brennan,24.9K,693,21.5M,2018,https://www.quora.com/What-kind-of-technology-can-we-expect-in-the-next-20-years
3,"Advances in mobile electrical energy storage technology. A graduate student in California has found a method by which to greatly increase the useable life expectancy of a small rechargeable battery . . perhaps up to 200,000 recharge and discharge cycles. Present rechargeable batteries offer 300 to 1,000 recharge cycles before expiring. Extending the service life of even small batteries (flashlight, portable radio, portable CD player, camping lanterns, electric toys, e-bikes) would greatly change the way we live . . . more people could install solar PV panels on their roofs to recharge such batAdvances in mobile electrical energy storage technology. A graduate student in California has found a method by which to greatly increase the useable life expectancy of a small rechargeable battery . . perhaps up to 200,000 recharge and discharge cycles. Present rechargeable batteries offer 300 to 1,000 recharge cycles before expiring. Extending the service life of even small batteries (flashlight, portable radio, portable CD player, camping lanterns, electric toys, e-bikes) would greatly change the way we live . . . more people could install solar PV panels on their roofs to recharge such batteries that could sustain home LED lighting.A breakthrough in polymer chemistry could construct a porous super molecule capable of holding massive amounts of static electricity . . solid state electrical storage with perhaps 1-million or more recharge cycles.",136 followers,Sakshi Mohapatra,6.1K,0,0,2016,https://www.quora.com/What-kind-of-technology-can-we-expect-in-the-next-20-years
4,"Scissors. Haven't changed in the last 70 years, won't in the next 20.Office printing. There are alternatives to laser printing, but as print declines in importance, I doubt anyone will bother with them. A4 paper going through rollers is here to stay.Lightbulbs. LED will be with us for 20 years and so will the same standard bayonet fittings and bulb sizes.Gas central heating. Burning fossil fuels to heat water and then pumping it into metal heat exchangers in each room is here to stay. Sure, brand new houses won't need it, they will be so well insulated they may not need anything. But 99% of hoScissors. Haven't changed in the last 70 years, won't in the next 20.Office printing. There are alternatives to laser printing, but as print declines in importance, I doubt anyone will bother with them. A4 paper going through rollers is here to stay.Lightbulbs. LED will be with us for 20 years and so will the same standard bayonet fittings and bulb sizes.Gas central heating. Burning fossil fuels to heat water and then pumping it into metal heat exchangers in each room is here to stay. Sure, brand new houses won't need it, they will be so well insulated they may not need anything. But 99% of houses will still use GCH.The computer mouse. It may be implemented differently but we'll still be dragging a palm sized lump to move a mouse pointer around. Oh, and the qwerty keyboard isn't going anywhere either.Turbofan engines. The electric plane is more than 20 years away. The airliner jet engine of the future will be just like the jet engines of today.Wind turbines. Will still be really big with three skinny blades.Domestic white goods. They havent changed in the last 20 years and won't in the next 20.",UNKNOWN,Bessie J. Austin,119.4K,0,0,2016,https://www.quora.com/What-kind-of-technology-can-we-expect-in-the-next-20-years
5,"This February my wife was diagnosed and given six months to live. When I heard the doctor tell her “six months”, it felt likeI met my wife, Jess, twenty-one years ago when she was nineteen.Our parents owned side-by-side cabins in the northern part of New York and we both happened to be along for the week-long hunting trip our fathers planned that year.Jess' father was a skilled hunter and could hit a headshot from a mile away — same as my dad.Jess and I didn't hunt with them — we hung out by the lake.The moment I saw Jess I fell in lThis February my wife was diagnosed and given six months to live. When I heard the doctor tell her “six months”, it felt likeI met my wife, Jess, twenty-one years ago when she was nineteen.Our parents owned side-by-side cabins in the northern part of New York and we both happened to be along for the week-long hunting trip our fathers planned that year.Jess' father was a skilled hunter and could hit a headshot from a mile away — same as my dad.Jess and I didn't hunt with them — we hung out by the lake.The moment I saw Jess I fell in love. We've been together ever since.But now, now that she has an expiration date, I just don't know what to do — I'm scared and lost.Monday morning at work I was telling my best friend and supervisor, Timmy, about my wife's condition. Timmy told me that I.T. or Intelligent Terrestrial just came out with their latest models.These models are different than those of yesteryear because they are 52% mechanical and 48% biological.Timmy said all you have to do is mail a sample of DNA to I.T. and upload a digital copy of your consciousness through an app. You can then purchase a custom made clone at an age of your choice. When the clone arrives it will turn on, study it's surroundings and await a consciousness download.“Oh my God Timmy, what's the catch?”“The price, Leon.”When I got home from work, Jess and I plugged in and uploaded a digital copy of our entire conscious catalog to I.T. and then mailed off DNA samples.Jess asked me what age I wanted her to be. It felt awkward to say “twenty”, but I did it — I was honest. I miss her smooth, youthful skin and I want her to be young and healthy — especially if I have to cash my entire 401K in to afford it.We told her parents that we were going to basically bring her back from the dead and her father threatened to shoot any abomination that we brought into this world.One month later, on a day that Jess was particularly ill, the doorbell rang.Jess and I dragged the box through the door and laid it on the living room floor. I gently cut along the lines and when I opened the flaps, there,she,was.The last time my heart fluttered like this was the day I met her.Jess helped me lift I.T. out of the box and sit I.T. up.I.T. was warm and soft. I.T. was mine. I paid for I.T. I own I.T.Machines like this don't have rights — even though they are part biological, the governments recognize them in the same way they would a lawnmower — so, as I said, I.T. is my possession.The science behind uploading a digital consciousness is so cutting edge, that the laws just haven't caught up yet.Jess turned I.T. on and I.T. looked right into my eyes. I was in love — with two women, but, it was the same woman. We hadn't uploaded Jess' consciousness yet, so, I.T. was running on basic programming, but I.T. was gorgeous.Jess asked me what I wanted to do, and for the first time in a very long time — I lied to her.I told her we should go shopping and buy I.T. some clothes.I.T. doesn't seem to have a personality yet.“Hello…. Smile…”Jess picked outfits for both of them and we went for a walk through the park together. It was amazing — I was so happy.We walked down a cozy little trail and found a tuck away to sit and talk.I.T. watched and studied every move Jess and I made. I.T. was learning and adapting.I.T. was becoming aware.At one point Jess and I got distracted and I.T. wandered off. When we found I.T., I.T. was gazing at the sky.I asked I.T. what it was doing. I.T. said, “Where do I come from?”“You come from Heaven. You are my angel.”That answer seemed to work for I.T. We all walked back to the car and headed home.When we got home, Jess immediately started coughing. She fell to the ground and I tried to help her, but I didn't know what to do.Jess passed away right then. It was finally over.I called her family and the police. It took an hour for them to remove the body. I had Jess 2.0 sitting in my back room waiting for them to leave.After the police left, I plugged I.T. into my laptop and downloaded Jess' consciousness.After the download was complete, we walked outside and I looked into her gigantic brown eyes. I asked her, “Is it you, Jess?”She smiled and said, “It is, silly — now kiss me.”Her head slammed back. I didn't know if she was glitching or what and then I heard a bang and saw a hole above her left eye.My beautiful Jessica died twice today. I was crushed.Over the next two decades, I fell into a deep, dark, alcohol-fueled depression. Although I had developed a serious alcohol problem, I was able to work and save every single penny I earned.After twenty years of saving, I decided I wanted both of them back — the twenty-year-old Jess and the forty-year-old Jess.I sent my entire life savings off to I.T. and in one month, my doorbell rang.I cut the box open and wept when I saw my angel(s).I turned them on.I also clothed them. The younger version of me may have left them in the nude, but at this age, I just want my companion(s) back.The ladies helped me back to my room to lay down. I was so tired from all the excitement.I've waited and worked an entire lifetime to be with the woman I love. And now, at long last — she is beside me.I died, on that very night as a happy man.One day later, the doorbell rang. It seems my beautiful Jessicas used my direct deposit life insurance benefit to make a purchase.They gently cut the box open.And turned me on.You ask where technology will be in 2050?We will be everywhere.LeonSpecial thanks:Cameron — Dear friend. Thank you so much for all your help with bringing this idea to life. You are awesome. I'm proud to call you friend.Kinsalynn — My sister and friend. Your help with makeup and photography was an absolute godsend — thank you so much. I love and appreciate you. P.S. you took over 300 pictures in an eight hour span. Thank you from the bottom of my heart:)Brooke — Even with a bullet hole in the head, you are deliciously gorgeous. You spent eight hours modeling for my Quora answer today and never once did you fail to impress or inspire me. I am honored to be friends with you.Jess —","2,977 followers",Siddharth Dialani,2.1K,226,1.9M,2020,https://www.quora.com/What-kind-of-technology-can-we-expect-in-the-next-20-years
6,Institution of MarriageIn twenty years there won’t be any concept of marriage .Men just are not getting married anymore because men are getting a raw deal whenever they get divorced plus you can't make a woman happy if she isn't happy with herself.﻿THERE IS NO ADVANTAGE OF BEING A MARRIED MANThis is the general consensus though bit sexist but some part of it I believe is true. .Institution of MarriageIn twenty years there won’t be any concept of marriage .Men just are not getting married anymore because men are getting a raw deal whenever they get divorced plus you can't make a woman happy if she isn't happy with herself.﻿THERE IS NO ADVANTAGE OF BEING A MARRIED MANThis is the general consensus though bit sexist but some part of it I believe is true. .,"51,709 followers",Chris Ebbert,906,11.4K,278.5M,2019,https://www.quora.com/What-kind-of-technology-can-we-expect-in-the-next-20-years
7,"This was asked in one of the interviews with Larry Page. And this is what he answered.By 2050, there will come a time when people will not need to google anything. How?This was asked in one of the interviews with Larry Page. And this is what he answered.By 2050, there will come a time when people will not need to google anything. How?Isn't it amazing?Source -Edit",17 followers,Fabius Fairchild,1.8K,0,0,2019,https://www.quora.com/What-kind-of-technology-can-we-expect-in-the-next-20-years
8,"Considering Moore’s Law relating to exponential advancements in technology, we will likely see some amazing things happen in the next decade or so.Scientists of all colors have been working for years on solutions to imminent threats to our way of life.These include, but aren’t limited to:Considering Moore’s Law relating to exponential advancements in technology, we will likely see some amazing things happen in the next decade or so.Scientists of all colors have been working for years on solutions to imminent threats to our way of life.These include, but aren’t limited to:For a more in-depth look what we can expect in the near future, I recommendIt has tons of reference material and some truly inspiring examples of what people are already doing and what our future might become.","135,529 followers",Hector Quintanilla,582,1.2K,88.6M,2021,https://www.quora.com/What-kind-of-technology-can-we-expect-in-the-next-20-years
9,"Burger flipping, especially the malingering ones who demand $15.00/hr.",UNKNOWN,Pascal Morimacil,4.4K,4.3K,34.7M,2019,https://www.quora.com/What-kind-of-technology-can-we-expect-in-the-next-20-years
