,Answer,followerCount,name,upvoteCount,answerCount,answerViews,year,question
0,"This is a keyboard.You use it to type on a computer.What happens when you type incorrectly? You pressThis is a stenotype.A(That's a better view of the keyboard.)What if they make a mistake? They have a keyThis is a keyboard.You use it to type on a computer.What happens when you type incorrectly? You pressThis is a stenotype.A(That's a better view of the keyboard.)What if they make a mistake? They have a keyNow, modern day texting.HerMeMeWhat did I do?I added an asterisk to correct my mistake.How did the use of asterisk come up?Well, it's a practice by shorthand writers to add an asterisk beside the mistake, to indicate it's a mistake and correct it later on. That's how the practice of using an asterisk while texting came up.All your life has been a lie.You'd be thanking that asterisk right now for saving you from all those embarrassing autocorrects your phone made. :)",0 followers,Balaji Kasiraj,34.1K,186,2.6M,2018,https://www.quora.com/What-are-the-mind-blowing-facts-depicting-how-computer-technology-has-evolved-tremendously-in-relatively-short-span-of-time
1,"Note: I am not a professional programmer or SE. I program in my free time as a hobby.This didn’t happen today, but yesterday.I was reading XKCD and I ran into this:xkcd: Python [ https://xkcd.com/353/ ]I have the python interpreter installed on my PC. So I brought it up, typing the words:Expecting it to return an error, I pressed enter.Well guess what: it didn’t. There is actuallNote: I am not a professional programmer or SE. I program in my free time as a hobby.This didn’t happen today, but yesterday.I was reading XKCD and I ran into this:xkcd: Python [ https://xkcd.com/353/ ]I have the python interpreter installed on my PC. So I brought it up, typing the words:Expecting it to return an error, I pressed enter.Well guess what: it didn’t. There is actuall...","6,480 followers",Michael Soareverix,28.3K,373,6.6M,2019,https://www.quora.com/What-are-the-mind-blowing-facts-depicting-how-computer-technology-has-evolved-tremendously-in-relatively-short-span-of-time
2,"Once upon a time…Somebody figured out how to make a material that is 200 times stronger than the strongest steel, transmits heat into electricity, and is extremely lightweight. Its discovery resulted in the Nobel Prize for Physics being given “for groundbreaking experiments regarding the two-dimensional material graphene.”Graphene is classified as two-dimensional: it is one atom thick (not pure two-dimensional but as close as we can come) and this form creates several fascinating properties.So why hasn’t this material exploded? It’s so useful, it could make phones last a week, charge in secondOnce upon a time…Somebody figured out how to make a material that is 200 times stronger than the strongest steel, transmits heat into electricity, and is extremely lightweight. Its discovery resulted in the Nobel Prize for Physics being given “for groundbreaking experiments regarding the two-dimensional material graphene.”Graphene is classified as two-dimensional: it is one atom thick (not pure two-dimensional but as close as we can come) and this form creates several fascinating properties.So why hasn’t this material exploded? It’s so useful, it could make phones last a week, charge in seconds, and could provide unbelievable body armor.Well, unfortunately, producing it large scale is super hard. Peeling down graphite on a nanoscale toEventually, someone is going to discover how to create graphene quickly… and when they do, I’d recommend investing. It isn’t every day that a trillion dollar market is created.",26 followers,Thomas Cormen,10.4K,827,35.4M,2017,https://www.quora.com/What-are-the-mind-blowing-facts-depicting-how-computer-technology-has-evolved-tremendously-in-relatively-short-span-of-time
3,"The difference in latency—time to access data—between RAM and disks (spinning disks, not SSDs) is five to six orders of magnitude. To understand just five orders of magnitude, it is approximately the difference betweenandDisks are a",241 followers,Sonali Kerketta,22.4K,0,0,2017,https://www.quora.com/What-are-the-mind-blowing-facts-depicting-how-computer-technology-has-evolved-tremendously-in-relatively-short-span-of-time
4,"Ever heard of Crown Shyness? If not then have a look at these pictures.If you are thinking that these images have been edited, then let me tell you one thing: that these are real.Crown shynessThe effect usually occurs between trees of the same species and sometimes between different species.One theory assumes a tree's leaves can feeEver heard of Crown Shyness? If not then have a look at these pictures.If you are thinking that these images have been edited, then let me tell you one thing: that these are real.Crown shynessThe effect usually occurs between trees of the same species and sometimes between different species.One theory assumes a tree's leaves can feel when they are approaching another tree. Once they sense a nearing neighbor, the growing process halts, ensuring that light can penetrate the canopy and photosynthesis continue.Another possible explanation is that this is a defense mechanism against leaf-eating insects. The gaps mean bugs wouldn't be able to reach other trees, impeding their spread.The next time you're out walking through the forest, take a moment to look above you and you might be pleasantly surprised by what you find.Edit 1: Thanks Robert Taylor for the correction.Edit 2: Thank you all for your love, affection, and kind comments.",UNKNOWN,Krishnakumar Shetti (ಕೃಷ್ಣಕುಮಾರ್ ಶೆಟ್ಟಿ),1.4K,293,2.2M,2017,https://www.quora.com/What-are-the-mind-blowing-facts-depicting-how-computer-technology-has-evolved-tremendously-in-relatively-short-span-of-time
5,"Which company do you think is the top contributor to the Linux kernel?RedHat? No. SUSE? No. Linaro? No.It'sYes, the top semiconductor manufacturing company is also the most active contributor to the Linux kernel, with over 10,000 commits last year. Intel's involvement in supporting Linux based Android OS is one of the major reasons for such pro-active contribution to the Linux community.Source:Intel now No. 1 sponsor of Linux contributionsWhich company do you think is the top contributor to the Linux kernel?RedHat? No. SUSE? No. Linaro? No.It'sYes, the top semiconductor manufacturing company is also the most active contributor to the Linux kernel, with over 10,000 commits last year. Intel's involvement in supporting Linux based Android OS is one of the major reasons for such pro-active contribution to the Linux community.Source:Intel now No. 1 sponsor of Linux contributions","5,214 followers",Pepper Meister,754,5K,17M,2016,https://www.quora.com/What-are-the-mind-blowing-facts-depicting-how-computer-technology-has-evolved-tremendously-in-relatively-short-span-of-time
6,"My last paper presentation to a technology conference in ’98 was laughed off podium. To be fair, I was asked to do it to give a red-herring to a competing graphics group. I did a presentation on terrains, they implemented my terrains. I did a presentation on round-earth geometry, they went from flat to round earth (which for the age was remarkable). I was asked in a hallway about my math, I admitted to using quaternions, they researched and implemented quaternions.You’d think I would learn to keep my mouth shut, except … they were government and I was contractor, I am not allowed to lie to theMy last paper presentation to a technology conference in ’98 was laughed off podium. To be fair, I was asked to do it to give a red-herring to a competing graphics group. I did a presentation on terrains, they implemented my terrains. I did a presentation on round-earth geometry, they went from flat to round earth (which for the age was remarkable). I was asked in a hallway about my math, I admitted to using quaternions, they researched and implemented quaternions.You’d think I would learn to keep my mouth shut, except … they were government and I was contractor, I am not allowed to lie to them. I am not allowed to tell them, “no.” They even clarified that with the general when my boss tried to make sure I could refuse them. They wanted free flow of informationWhen my boss loss the toss from the general on the denial of free flow of information, he wanted me to … lie.I can can’t count the number of times I have been asked to predict the future. It’s a part of my job, per se. People have made million dollar plus decisions based on it. They are educated guesses, but they are based on the course of technology.Distant is good. Make it sound like we need to prepare for it because the technology will be shifting and therefore core skills will be shifting or something.So I did a presentation in 1998 where I discussed massively cored processors requiring new language and parallel skills the like of which the industry, even High Performance Computing has not seen. I discussed the shift of the GPU to compete against large scale computing clusters. And finally I talked about ray-tracing on the GPU arriving somewhere on the scale of 15–20 years. In order to get there, we had to go through the other technologies. We had to have programs loaded onto the GPU to speed up the processes: new languages, new techniques.This means a complete revolution in computer graphics over 20 years that nothing would be recognizable compared to the graphics of “today.” (back then)In 1999 the core splits on the GPU began. They were simple shared function splits. In 2001 the GeForce 3 introduced shading languages and programmability to the GPU. I’ve been playing with the large scale GPU High Performance Computing capability for the last few years for my Bachelor’s degree. The final Theme of the paper, what I said was 15–20 years away in 1998…NVIDIA GeForce RTX 20 Series Graphics Cards2019","45,261 followers",Srinath Nalluri,15.2K,757,85.9M,2019,https://www.quora.com/What-are-the-mind-blowing-facts-depicting-how-computer-technology-has-evolved-tremendously-in-relatively-short-span-of-time
7,"This was the cover of Forbes Magazine in 2007.And 2007 was the same year when the Apple CEO said this in front of a huge audience..""Today we are introducing three revolutionary products - The first one is a ipod with touch controls. The second is a revolutionary mobile phone. And the third is a breakthrough internet communications device. So, three things. An ipod, a phone, and an internet communicator. Are you getting it? These are not three separate devices, this is one device…and we call it..’That device is iPhone.‘Today Apple is going to reinvent the phone,’ he continued.Not just reinventiThis was the cover of Forbes Magazine in 2007.And 2007 was the same year when the Apple CEO said this in front of a huge audience..""Today we are introducing three revolutionary products - The first one is a ipod with touch controls. The second is a revolutionary mobile phone. And the third is a breakthrough internet communications device. So, three things. An ipod, a phone, and an internet communicator. Are you getting it? These are not three separate devices, this is one device…and we call it..’That device is iPhone.‘Today Apple is going to reinvent the phone,’ he continued.Not just reinventing the phone, it disrupted the mobile market and became one of the most popular and sought-after smartphones on the planet.No one is too big to fall.Innovation is the major key.Hope Apple realises this.Image source: Google images.",2 followers,Suba Rajagopal,4.7K,0,0,2018,https://www.quora.com/What-are-the-mind-blowing-facts-depicting-how-computer-technology-has-evolved-tremendously-in-relatively-short-span-of-time
8,"I'm so surprised that there are so many interesting answers that hardly touch on what seems to me the obvious answer.The Enlightenment, starting about 300 years ago, was a tectonic shift in human development.   Plenty of brilliant people made connections and developed coherent understandings of how things in the world worked before then.  But the idea that you ought to go the other way - try to disprove things rather than prove them. Tie hypotheses to theories and come up with experiments to prove them wrong.  Eliminate variables.  Publish results and methods so that others can try.This metI'm so surprised that there are so many interesting answers that hardly touch on what seems to me the obvious answer.The Enlightenment, starting about 300 years ago, was a tectonic shift in human development.   Plenty of brilliant people made connections and developed coherent understandings of how things in the world worked before then.  But the idea that you ought to go the other way - try to disprove things rather than prove them. Tie hypotheses to theories and come up with experiments to prove them wrong.  Eliminate variables.  Publish results and methods so that others can try.This method didn't do much for religion or philosophy or ethics, but it did a hell of a lot for science.  As it gained steam, it provided a reliable, scientific basis for advances in technology.   People built bridges before the Enlightenment, but if they tried to build one differently than the ones that were already up, there was a good chance it would fall down.  But with the physics to understand materials and the math to manipulate the physics, you could design a different kind of bridge that you knew in advance would not fall down.There were ingenious technologies and great technical achievements before the Enlightenment, but until this current tick of human history, there was never a large and growing and accessible body of theory to enable new technology.",269 followers,Karthik Reddy L,16K,0,0,2016,https://www.quora.com/What-are-the-mind-blowing-facts-depicting-how-computer-technology-has-evolved-tremendously-in-relatively-short-span-of-time
9,"You’re mistaken. Technology is advancing very rapidly.My grandfather would have grown up in a world very similar to that of his grandfather, but in just my lifetime, there has been enormous change. When I was a student in the 1970’s, I lived in a house with no central heating, one telephone wired into the wall, and a black and white television with two channels. My Dad had a car, but it was technically not much different to the car he would have had twenty years earlier. My first flight was in an airliner with propellers.Had I been born in 1930, apart from the TV, my world would have been veryYou’re mistaken. Technology is advancing very rapidly.My grandfather would have grown up in a world very similar to that of his grandfather, but in just my lifetime, there has been enormous change. When I was a student in the 1970’s, I lived in a house with no central heating, one telephone wired into the wall, and a black and white television with two channels. My Dad had a car, but it was technically not much different to the car he would have had twenty years earlier. My first flight was in an airliner with propellers.Had I been born in 1930, apart from the TV, my world would have been very recognisable. Even around the year 2000, computers were only starting to make an impact on my industry at the time, advertising. I had one, but just for playing games on.The world has changed utterly. We are now seriously discussing AI and driverless cars. We can transplant","6,251 followers",Brett Bilbrey,23.4K,0,0,2018,https://www.quora.com/What-are-the-mind-blowing-facts-depicting-how-computer-technology-has-evolved-tremendously-in-relatively-short-span-of-time
