,Answer,followerCount,name,upvoteCount,answerCount,answerViews,year,question
0,"In Australia lockdowns, quarantine and vaccinations have resulted in 500 times fewer deaths than the USA which has 13 times as many people, 100 time fewer deaths than UK which has three times the population of Australia, 10 times fewer deaths than Sweden which has less than half as many people.The Australian economy has also held up well compared the above countries.A ten year delay in health measures would result in millions of extra deaths in these four countries.",0 followers,Clint Potts,4.6K,2.6K,8.4M,2021,https://www.quora.com/Would-it-have-been-more-prudent-to-not-authorize-emergency-use-of-Covid-19-vaccines-take-as-many-years-Or-decades-as-needed-to-throughly-examine-the-technologies-and-imposed-a-world-wide-lockdown-until-such-vaccines
1,"I’m not upset with the use of Emergency Use Authorization. I’m upset at how the specific implementation of Emergency Authorization here in the US created perverse incentives. No company or regulatory body should ever have a 100% liability shield as a part of an EUA because you have removed all incentives to properly report, recall, and remove bad products. The entire healthcare system breaks when the report/ recall system does not work properly.Have the government offer to pay 99% of the resulting liabilities if you must, but never, ever,",UNKNOWN,Chris O'Leary,1.8K,4.1K,89.3M,2021,https://www.quora.com/Would-it-have-been-more-prudent-to-not-authorize-emergency-use-of-Covid-19-vaccines-take-as-many-years-Or-decades-as-needed-to-throughly-examine-the-technologies-and-imposed-a-world-wide-lockdown-until-such-vaccines
2,"As it stands now, we have over five million dead from Covid-19, which is after vaccines were introduced, distributed and used (though not uniformly) across the world. I am positive that, were we to wait several years or decades for vaccines, the death toll would be much larger.",UNKNOWN,Franklin Veaux,13K,47.3K,783M,2021,https://www.quora.com/Would-it-have-been-more-prudent-to-not-authorize-emergency-use-of-Covid-19-vaccines-take-as-many-years-Or-decades-as-needed-to-throughly-examine-the-technologies-and-imposed-a-world-wide-lockdown-until-such-vaccines
3,"The premise of the question is totally wrong.The vaccines reduce transmission by around 80% and lower the risk of death by around 90%.It is the duty of a government to care for its people, which is generally accepted as not putting them at risk of dying or harm….","115,126 followers",Daveed Phoenix,5.1K,9.9K,160.6M,2021,https://www.quora.com/Would-it-have-been-more-prudent-to-not-authorize-emergency-use-of-Covid-19-vaccines-take-as-many-years-Or-decades-as-needed-to-throughly-examine-the-technologies-and-imposed-a-world-wide-lockdown-until-such-vaccines
4,More deadly? To a healthy person you have over a 99% chance of survival. You don't get odds that good at Vegas. This is my first week back at work after catching the Corona. Sure it felt terrible. But I wasn't even close to deaths door. People get sick. It happens.Whatever you do keep your loved ones out of the clutches of Corona Cuomo. He has a habit of killing tens of thousands of old people with Corona. You have been warned.,8 followers,Barry Goldberg,1.1K,10.8K,28.4M,2021,https://www.quora.com/Would-it-have-been-more-prudent-to-not-authorize-emergency-use-of-Covid-19-vaccines-take-as-many-years-Or-decades-as-needed-to-throughly-examine-the-technologies-and-imposed-a-world-wide-lockdown-until-such-vaccines
5,"This is correct, any one taking the Emergency Injections, is taking part in the worlds biggest ever experiment, with absolutely to comeback, when it go’s wrong, lives are being wrecked and thousands are dying.",UNKNOWN,Andrew Weill,953,24.3K,175.8M,2022,https://www.quora.com/Would-it-have-been-more-prudent-to-not-authorize-emergency-use-of-Covid-19-vaccines-take-as-many-years-Or-decades-as-needed-to-throughly-examine-the-technologies-and-imposed-a-world-wide-lockdown-until-such-vaccines
6,"What is the point of the vaccine if you can still catch COVID?Here is the typical report of someone who gets COVID without a vaccine:What is the point of the vaccine if you can still catch COVID?Here is the typical report of someone who gets COVID without a vaccine:Here are the words of a Texas State Representative interviewed in Washington, D.C. this weekend after he caught COVID despite being fully vaccinated:That’s the difference.Get the shot.Do you remember how Trump and his press people kept claiming COVID was like a cold or the flu?Well, now that we have the vaccine, that is almost true. You can survive a cold or the flu. Full-on COVID? That’s a crapshoot.Why risk that?And, let’s remember that the healthcare system in the U.S. is terribly expensive. If you catch COVID and you are admitted to the hospital, your bill is going to be astronomical. It could easily total $300–400K. If you survive, you will be saddled with that bill and potentially, a reduced capacity to earn money due to your new permanent disabilities. If you don’t survive, your family will be saddled with that debt.The shot is free.Get the shot.Update Omicron. 2/3/22. CDC reports that unvaccinated hospitalized persons are 97% more likely to die of this disease. The shots are still free.Swallow your bile and roll up your sleeve.Well, my friends, the time has come to disable comments. We’ve had a lot of good discussion but most of the comments now are rambling conspiracies by people claiming they personally know hundreds or thousands of people who died from the vaccine. These claims are, of course utter bullshit. If you can’t look at a graph and see what happened to the number of daily cases the moment the country released the first vaccines, I’m surprised you can remember to breathe without a coach and a whistle.",4 followers,Matthew Dyer,2.4K,0,0,2022,https://www.quora.com/Would-it-have-been-more-prudent-to-not-authorize-emergency-use-of-Covid-19-vaccines-take-as-many-years-Or-decades-as-needed-to-throughly-examine-the-technologies-and-imposed-a-world-wide-lockdown-until-such-vaccines
7,"You cannot.You don't have to listen to me, you don't have to listen to Dr. Fauci or the CDC, or anyone in the government.All I ask is that you don't listen to “the internet."" Ask your doctor, the one who's been taking care of you for years. Ask them any question you want to about it, even if you think it sounds stupid. My wife has been fielding questions for months now, she's happy to answer.Getting COVID from a vaccine is a 100% impossibility because the vaccines do not use whole, live viruses. The Pfizer and Moderna vaccines in fact, don’t use Covid Virus at all.Most of the vaccines being adYou cannot.You don't have to listen to me, you don't have to listen to Dr. Fauci or the CDC, or anyone in the government.All I ask is that you don't listen to “the internet."" Ask your doctor, the one who's been taking care of you for years. Ask them any question you want to about it, even if you think it sounds stupid. My wife has been fielding questions for months now, she's happy to answer.Getting COVID from a vaccine is a 100% impossibility because the vaccines do not use whole, live viruses. The Pfizer and Moderna vaccines in fact, don’t use Covid Virus at all.Most of the vaccines being administered right now are a relatively new technology called mRNA that we started studying in the early 1990s.One of the most prolific categories of misinformation about the COVID vaccines relates to mRNA, how it works, and how thoroughly tested the technology is.First, it's important to know that this is a relatively new technology, not brand new. We didn't just suddenly decide to try mRNA last year when COVID-19 started running wild. The idea has been around for almost 30 years and has been used in human trials for a number of vaccines, such as Zika, and previous coronavirus threats, like the 2003 SARS outbreak. In fact, much of the reason we were able to get a vaccine so quickly was because of the nearly 20-year head start SARS gave us.It is true that the Pfizer and Moderna COVID vaccines are the first mass-produced mRNA vaccines authorized for use with the general public.The other big category of disinformation is about how mRNA vaccines work, specifically, the idea that they “change your DNA.""Let's be clear. That is completely, categorically, 100% false. The mRNA never even comes near the nucleus of the cell where the DNA is.The way it works is “mRNA"" or ""messenger” RNA is injected into the arm with exactly that. A message. The message is an instruction.Here is what the instruction tells our cells that it encounters:“IOur immune system sees that spike protein and knows it doesn't belong, so it builds antibodies to attack it, just like if you had actually been infected. In doing so, it learns how to destroy that protein. And most importantly, it REMEMBERS. So the next time it sees that same protein, this time on an actual virus, it knows exactly what to do.The reason you get 2 doses is that researchers learned during clinical trials that your body does ok with one lesson, but 2 lessons REALLY sets it in stone.It learns the lesson so well that 9 out of 10 times, it will be able to take out the virus before it infects your body, and in the VAST majority of cases where the virus does manage to infect an immunized individual, it will fail to cause serious illness, even in the more at-risk portions of the population.The final category of disinformation is about how thoroughly tested the vaccines are. And this one worries a lot of reasonable people and fairly.What it is important to know is that these vaccines have been tested just as thoroughly as any other that hit the market. How then did they get it done so quickly?It wasWhat Operation Warp speed allowed the pharmaceutical companies to do by removing bureaucratic roadblocks was instead of being forced to do Step A first, then Step B, then Step C, it allowed for a lot of multi-tasking. In other words, we still needed to complete steps A through I, but we didn't have to wait for step A to be done while we worked on step D or G which had no need for information from Step A. We were able to test a number of factors simultaneously, and in doing so accomplish 3 years of work in less than one.It wasn't that we didn't run all four laps of the relay race. It's that all four runners were allowed to start at the same time.This allowed for complete and thorough testing to be done in record time allowing for human trials WAY faster than we had ever been able to get to human trials before. And in the case of Pfizer and Moderna, those human trials proved the safety and efficacy of their Vaccines sufficiently to gain emergency use authorizations from the FDA.That's it. Years from now, we will look back at this as a massive achievement. And years from now the success of this effort will probably lead to problems, as people use the success of this effort to try to cut corners with the development of other drugs or therapies.But the bottom line is that the development of this vaccine is a massive success story. The vaccines are safe, they are effective, and the sooner we get to herd immunity by vaccinating the vast majority of the population, the sooner we can get back to normal.The one thing I'll tell you, from my experience having had both doses of Pfizer.I have one major side effect to report.A MASSIVE weight off my shoulders.",78 followers,Jennifer Larson,1.3K,11.9K,36.1M,2021,https://www.quora.com/Would-it-have-been-more-prudent-to-not-authorize-emergency-use-of-Covid-19-vaccines-take-as-many-years-Or-decades-as-needed-to-throughly-examine-the-technologies-and-imposed-a-world-wide-lockdown-until-such-vaccines
8,"“Can undocumented immigrants with a computer science degree get jobs in the United States?”This question is based on a false premise.In the USA, all “immigrants” are both “legal” and “documented”. It happens automatically when they finish the immigration process.If someone is in the USA illegally, or if they are not documented, then they aren’t an “immigrant” - they can’t be. You have to apply for that status, you don’t get it just by walking across the border. Once you apply for the status, you have to complete the process.If an “undocumented immigrant” cannot exist, there’s no way they can g“Can undocumented immigrants with a computer science degree get jobs in the United States?”This question is based on a false premise.In the USA, all “immigrants” are both “legal” and “documented”. It happens automatically when they finish the immigration process.If someone is in the USA illegally, or if they are not documented, then they aren’t an “immigrant” - they can’t be. You have to apply for that status, you don’t get it just by walking across the border. Once you apply for the status, you have to complete the process.If an “undocumented immigrant” cannot exist, there’s no way they can get a degree or a job.",16 followers,Daniel Bourke,6.9K,178,7.7M,UNKNOWN,https://www.quora.com/Would-it-have-been-more-prudent-to-not-authorize-emergency-use-of-Covid-19-vaccines-take-as-many-years-Or-decades-as-needed-to-throughly-examine-the-technologies-and-imposed-a-world-wide-lockdown-until-such-vaccines
9,"If you want to be a good engineer then study the subjects. Don’t think of marks, but understand those subjects.. you’ll be mostly ready for everything later on. Subjects have wider coverage, so you can figure out what excites you in the meanwhile. Unless you want to start building apps, in which case, this might seem like a boring advice.",30 followers,Robin Thomas,6K,731,13.7M,2018,https://www.quora.com/Would-it-have-been-more-prudent-to-not-authorize-emergency-use-of-Covid-19-vaccines-take-as-many-years-Or-decades-as-needed-to-throughly-examine-the-technologies-and-imposed-a-world-wide-lockdown-until-such-vaccines
