,Answer,followerCount,name,upvoteCount,answerCount,answerViews,year,question
0,"Teleportation of small objects already exists, but well… it’s not quite “teleportation” in the sense that most people think of.Basically, you measure the information of a particle, and in the process this basically strips all of that information from said particle, basically destroying it. You then copy that information onto another particle somewhere else, presumably after you’ve transported the information through some other means.The basic concept scales without much issue up to the inclusion of an entire human, it’s just that there’s a few tiiiiiny little details that make this difficult aTeleportation of small objects already exists, but well… it’s not quite “teleportation” in the sense that most people think of.Basically, you measure the information of a particle, and in the process this basically strips all of that information from said particle, basically destroying it. You then copy that information onto another particle somewhere else, presumably after you’ve transported the information through some other means.The basic concept scales without much issue up to the inclusion of an entire human, it’s just that there’s a few tiiiiiny little details that make this difficult at the moment.First off, you’d need to measure each and every single atom in the person’s body… that’s an awful lot of information to store. Far more than we have the capacity to hold at the moment.Second, that whole measuring thing would have to be done quickly… or uhm, yeah, basically you’d be disintegrating the person’s body a little bit at a time. Which probably wouldn’t go over too well with the person being teleported. Nor likely all that well with any of the technicians and such involved unless you make sure the teleportation subject is in a separate room or sedated so they don’t have to listen to the screaming and such.Now, assuming you’ve gotten reaaaaally fast machines which can do all this in fractions of a second and can store it all, then we still have the tiny, tiny issue that we don’t actually really know what consciousness is. It’s difficult to even define, much less to describe it mathematically. We can assume that if we took all of the physical parts of a healthy human body and recreated them identically down to the last atom that, presumably, the consciousness would be in there somewhere intact… but we don’t really know. It might be more complex than just an energy pattern in a physical storage media. But for the sake of argument here, we’ll assume that if you copied the brain, the chemical energy within it and so on, and transported the whole of the human body over, that they wouldn’t arrive braindead.With all this in mind, basically any time you teleported someone, their original body would be destroyed and you’d be building them a new one at the destination.While that sounds preeeeetty unnerving to most people, what with the whole “you will be dead for awhile, but don’t worry, it’s only temporary, honest!” bit and all, it actually would be a bit less so in that each time you used a teleporter, if they stored the information once it was had, they could make a new copy of you at will, basically instant-cloning with memories included. Or maybe that’s more unnerving to you. I dunno, really. Honestly, having a backup you could reload if you died sounds kinda handy to me, as long as someone doesn’t just start printing off extra copies of you behind your back, so to speak.Alternative possibilities may include such things as warping space so that two points converge so you can just walk through something akin to the portals from the game Portal, or the idea of using quantum entanglement to build a copy of someone without destroying their original selves, and then severing the entanglement somehow… though then you’d have two of the person and would have to kill the original. Maybe not so good, after all.Anyway, the first one mentioned is the most likely method by which we would teleport a human and the only one we know for a fact works so far… at least upon things that aren’t alive. We’re still not really sure what would happen to the whole “life” thing through transportation, and our computers aren’t even remotely capable of testing it out even on single-celled organisms for the time being.","63,770 followers",Joshua Engel,614,15.1K,76.7M,2018,https://www.quora.com/Can-teleportation-be-made-possible-in-near-future
1,"It is implicit within the theory and practice of quantum entanglement. Whether, or not it will ever result in a practical star trek like teleportation unit is problematical. Quantum entanglement occurs when two or more particles are forced to hold mutually exclusive states, so determining one simultaneously determines the other. If we take two particles, entangle them, and send one to the moon, then we can use that property of entanglement to teleport something between them. If we have an object we want to teleport, all we have to do is include that object in the entanglement.Probably not everIt is implicit within the theory and practice of quantum entanglement. Whether, or not it will ever result in a practical star trek like teleportation unit is problematical. Quantum entanglement occurs when two or more particles are forced to hold mutually exclusive states, so determining one simultaneously determines the other. If we take two particles, entangle them, and send one to the moon, then we can use that property of entanglement to teleport something between them. If we have an object we want to teleport, all we have to do is include that object in the entanglement.Probably not ever going to happen. If a Heisenberg compensator can be devised, excepting.",4 followers,Dan Bradbury,4.2K,21.7K,235.6M,2019,https://www.quora.com/Can-teleportation-be-made-possible-in-near-future
2,"There are many physicists who believe that 2 electrons can be in phase no matter how far away they are from each other. If proven to be true, the possibility of teleportation increases.","35,159 followers",C Stuart Hardwick,1.6K,12.3K,143M,2017,https://www.quora.com/Can-teleportation-be-made-possible-in-near-future
3,"Unfortunately, no. Teleportation of anything of mass runs into a little problem calledUncertainty principleIn a nutshell, it says that “the more precisely the position of some particle is determined, the less precisely its momentum can be known, and vice versa.”So we will never be able to accurately track all the particles whizzing around inside of ant solid mass enough in order to tear that mass apart and then put it back together again.If you watch Star Trek enough, you will hear the actors refer from time to time to the Heisenberg Compensaters, which areUnfortunately, no. Teleportation of anything of mass runs into a little problem calledUncertainty principleIn a nutshell, it says that “the more precisely the position of some particle is determined, the less precisely its momentum can be known, and vice versa.”So we will never be able to accurately track all the particles whizzing around inside of ant solid mass enough in order to tear that mass apart and then put it back together again.If you watch Star Trek enough, you will hear the actors refer from time to time to the Heisenberg Compensaters, which are a part of the transporter system. This is technobabble to get around the uncertainty principle, which negates the possibility of transporters/teleportation. Which is a total bummer.",0 followers,Ashok Bishnoi,12.8K,314,7.7M,2016,https://www.quora.com/Can-teleportation-be-made-possible-in-near-future
4,"Replaceable parts. Plug in storage modules, plug in RAM, plug in cameras, plug in charging methods. The Ara project (which, as far as I know, is dead). George, where are you?","55,750 followers",Loy Machedo,1.7K,5.7K,66.3M,2018,https://www.quora.com/Can-teleportation-be-made-possible-in-near-future
5,Instant wireless charging.,33 followers,Sivaram Kumar,20.5K,174,1.6M,2018,https://www.quora.com/Can-teleportation-be-made-possible-in-near-future
6,"Do the “I’ve fallen and can’t get up” notification, without a monthly expense.",0 followers,Dylan Owens,1.8K,271,26.9M,2018,https://www.quora.com/Can-teleportation-be-made-possible-in-near-future
7,"Smart glasses.Why I am so certain Smart Glasses come next?Let’s break this down: for decades, computing devices have been getting smaller, reaching the point in the mid 2000’s where they could effectively go mobile. Steve Jobs brought together the cell-phone and the computer, and the rest is history (the iPhone, Android, and mobile revolution).Since then, devices have kept getting smaller: today we have wireless bluetooth earbudsSmart glasses.Why I am so certain Smart Glasses come next?Let’s break this down: for decades, computing devices have been getting smaller, reaching the point in the mid 2000’s where they could effectively go mobile. Steve Jobs brought together the cell-phone and the computer, and the rest is history (the iPhone, Android, and mobile revolution).Since then, devices have kept getting smaller: today we have wireless bluetooth earbuds and smart watches that were impossible to build even back when the iPhone came out in 2007.As device size has decreased, however, we’ve lost functionality as well - and the reason is that the user interface on a phone or smart-watch simply isn’t capable of displaying the full scope of a computer display, which has left us using sub-optimal UIs for complex tasks.Smart glasses change that completelyWhat I’m talking about is a massive paradigm change, not just an incremental increase in technology.The paradigm change is this:For information consumers, this unification isn’t that important: people like my wife will switch from a smartphone to smart glasses for the AR features. For others, like myself, smart glasses offer a way to do photo & video editing on a desktop scale, but with a mobile device.I don’t predict that the transition will happen instantly: the biggest challenge will be overcoming the UI issues that plagued early mobile technology - such as Microsoft’s ill-fatedThat being said, smart glasses are the only device that continues the trend of miniaturization in consumer computing, extends the paradigm of user immersion in the virtual environment, and ultimately bridges the gap between mobile & desktop computing systems.",2 followers,Suba Rajagopal,4.7K,0,0,2020,https://www.quora.com/Can-teleportation-be-made-possible-in-near-future
8,"I honestly do not know about you guys - but I genuinely miss Nokia 3310 - the original phone that started everything. It wasAnd best one - You can throw it on someone’s head if he attacks you and it will still work. There is no other phone in the world - past, present and future that was as robust & secure as this phone.Don’t you agree with me?LoI honestly do not know about you guys - but I genuinely miss Nokia 3310 - the original phone that started everything. It wasAnd best one - You can throw it on someone’s head if he attacks you and it will still work. There is no other phone in the world - past, present and future that was as robust & secure as this phone.Don’t you agree with me?Loy Machedo","220,628 followers",Franklin Veaux,588,47.3K,783M,2017,https://www.quora.com/What-features-do-you-expect-in-mobile-phones-10-years-from-now
9,"Implants - the phone will be submerged into the fabric of the human skin. The video routed to the optic nerve, 5G radio’s embedded around the flesh and batteries for enabling the circuitry that connects up directly to each other and the vast INTERNET of things and information. No more of these antiquated days of a computer on every desk.Note the smart phone revolution is roughly a decade old. Before that we had personal computers that were desktop giants, then laptops and now we have access to more compute and services capability via changes in architecture so the program and data are run at aImplants - the phone will be submerged into the fabric of the human skin. The video routed to the optic nerve, 5G radio’s embedded around the flesh and batteries for enabling the circuitry that connects up directly to each other and the vast INTERNET of things and information. No more of these antiquated days of a computer on every desk.Note the smart phone revolution is roughly a decade old. Before that we had personal computers that were desktop giants, then laptops and now we have access to more compute and services capability via changes in architecture so the program and data are run at a distance and all we need is the coms link.","246,864 followers",Dushka Zapata,2.9K,8.5K,232.5M,2019,https://www.quora.com/What-features-do-you-expect-in-mobile-phones-10-years-from-now
