,Answer,followerCount,name,upvoteCount,answerCount,answerViews,year,question
0,"With each passing day, technology is growing by leaps and bounds. And despite concerns about unemployment and over-dependence, proper use of technology holds a bright future for us, enhancing our lives through entertainment and everyday assistance. One of the most important part though is developing clean energy. Development in the field of solar power technology has drastically reduced the cost of solar cells. Generation of electricity through wind turbines has also gained a lot of momentum in the recent years. So, in the near future, technology can help us do away with dependence on fossil fWith each passing day, technology is growing by leaps and bounds. And despite concerns about unemployment and over-dependence, proper use of technology holds a bright future for us, enhancing our lives through entertainment and everyday assistance. One of the most important part though is developing clean energy. Development in the field of solar power technology has drastically reduced the cost of solar cells. Generation of electricity through wind turbines has also gained a lot of momentum in the recent years. So, in the near future, technology can help us do away with dependence on fossil fuels and embrace clean and green energy solutions, hopefully paving way for a brighter future.","246,850 followers",Dushka Zapata,1.5K,8.5K,232.4M,2019,https://www.quora.com/How-will-technology-affect-society-in-the-future
1,"No, it was the second-from-last big thing. It has reached the phase now where most of the hype has worn off, and it is another tool you can apply in a fairly specialized problem space (there really aren’t many areas where you need a fully distributed ledger with no central authority, but where there are, blockchain is now a possible solution)","135,528 followers",Hector Quintanilla,582,1.2K,88.6M,2020,https://www.quora.com/How-will-technology-affect-society-in-the-future
2,"Is Blockchain the “next big thing in technology” .Yes and No.The essence to this answer is to figure out what makes Blockhain unique? What makes it stand out from its peers? Why are people so excited about it?I made a quick diagram to show the core properites of a blockchain based system which would be more helpful in this regard.The Disruptive factor:Is Blockchain the “next big thing in technology” .Yes and No.The essence to this answer is to figure out what makes Blockhain unique? What makes it stand out from its peers? Why are people so excited about it?I made a quick diagram to show the core properites of a blockchain based system which would be more helpful in this regard.The Disruptive factor:Think of the possibilites that can open up when you reduce or eliminate the 3rd party. The world is run based on trusted 3rd parties acting as intermediaries. Any system or person or firm or litelrally anything in between can be removed by mathematics.On top of it I belive that Blockchain and its associated Tech like DAG etc are not just a technological marvel, but also an economic one. I will not dive into this here as this will unnecessarily complicate the answer.Conclusion:The world will change; money will change; democracy will change","31,158 followers",Phillip Remaker,1.7K,11K,78.8M,2018,https://www.quora.com/Is-Blockchain-the-next-big-thing-in-technology-1
3,"The future of blockchains is that we probably stop using blockchains.2017 saw a massive amount of money flooding into cryptocurrency. Almost all of this influx of capital is a result of the surging spot price of Bitcoin. The rise of overnight multimillionaires led a booming interest in the asset class as an investment, and clever teams were able to monetize that interest in the form of ICOs (Initial Coin Offerings) that enticed further investment and hype.Despite this surge in money and interest, we have yet to see any major blockchain products enter the market. Most major ICOs have been failuThe future of blockchains is that we probably stop using blockchains.2017 saw a massive amount of money flooding into cryptocurrency. Almost all of this influx of capital is a result of the surging spot price of Bitcoin. The rise of overnight multimillionaires led a booming interest in the asset class as an investment, and clever teams were able to monetize that interest in the form of ICOs (Initial Coin Offerings) that enticed further investment and hype.Despite this surge in money and interest, we have yet to see any major blockchain products enter the market. Most major ICOs have been failures or outright scams. And a significant portion of the distributed computing and cryptography community (whose technology and mathematics power blockchain tech) see most ICO tokens as a modern take on Dutch Tulip charlatanism.There are a number of reasons why blockchains have failed to deliver on the promises of the cryptocurrency community. But from a technology perspective, the answer is the simple: they can’t.Long before Satoshi wrote his white paper for Bitcoin, a cryptographer named Robert Merkle created a data structure called a Merkle Tree.Merkle is one of the earliest modern cryptographers. As an undergrad his work in secure communication led to the creation of Public Key Cryptography. Merkle has spent most of his career designing secure computing systems, and in the late 70’s this led to his creation of the Merkle Tree.A Merkle Tree is an abstract representation of data that uses cryptographic hashes (i.e.: miniaturized representations of data that have a mostly 1:1 relationship with their source) to help navigate and verify the membership and position of nodes in a structure. Like branches in a tree securely storing a register of leaves coming off them, a Merkle Tree allows programs to efficiently search a structure of data and certify that data’s position and configuration.Just like Merkle’s creation of “Merkle’s Puzzles” kicked off a revolution in Public Key Cryptography, Merkle’s new Merkle Tree ignited a boom in the field of Secure Distributed Computing (or SDC). This has become one of the hottest research areas of computing over the last 40 years, and most modern operating systems and file systems benefit from Merkle Trees and other research within SDC.One major beneficiary of SDC is Bitcoin. In the original implementation of Bitcoin, Satoshi Nakamoto used a separate hash-based system to structure their block chain. This led to serious security vulnerabilities, and a modification of the Bitcoin source led to the integration of Merkle Trees in Bitcoin to help address these issues.Since then, Bitcoin’s use of Merkle Trees has been emulated across most other cryptocurrences. From Ethereum (and it’s vagary of ICO forks) to Litecoin, seemingly all popular blockchains rely on BTC’s Merkle Tree architecture.Unfortunately it sucks.Bitcoin relies on an authentication process to ensure that a block can be added onto its chain and it’s Merkle Tree is updated. This process is known as mining. Like real mining, Satoshi designed BTC’s mining function (known as Proof of Work or PoW) to integrate commodity scarcity and incite competition in the hopes of hosting the network across a globally distributed network.PoW forces participants to struggle against an endlessly increasing difficulty to search for a hash to complete a transaction. While academically fascinating, the structure and design of Proof of Work is exceptionally flawed. Part of this is in some bad assumptions in how participants compete. But another big problem is in its implementation which is the result of shoehorning PoW into a Merkle Tree structure.Most blockchains have copied Bitcoin because Bitcoin was the first and most profitable/popular coin. But few have thought to address Bitcoin’s designs and use of Merkle Trees, owing to the technical complexity necessary to understand the subject matter and the depth of integration within BTC’s deep source.Or they’re just lazy and don’t want to spend time learning how any of this works because they’re just here to write an ICO white paper to run the crypto currency equivalent of a boiler room operation. But hey do you.Anyway, the result of all of this is that Ethereum looks like Bitcoin but with a different set of assumptions around mining. Litecoin looks like Bitcoin but with some extra features and tweaks to how mining works. Because many of these popular blockchains use the same “chassis” borrowed from Bitcoin, they all share some of the same architectural traits - and many of the same weaknesses as Bitcoin in weak computational performance and questionable security.But Bitcoin is just one take on SDC. What has the rest of the non-cryptocurrency world been working on / using instead for secure distributed computing?Meet Raft:Raft is an evolution of the Paxos algorithm that focuses on secure consensus. Consensus is a set of problems focused on verifying the correct result of a set of decisions and doing so in a probably secure and fast manner.If you’re into Bitcoin or cryptocurrencies this may sound familiar. It’s the exact same problem that algorithms like Proof of Work and Proof of Stake are trying to solve, and superficially Raft sounds a lot like an idealized Proof of ___.Though some implementations of Raft also use Merkle Trees, Raft takes a fundamentally different approach to driving consensus. Most blockchains drive consensus through majority. But Raft has nodes in its network automatically elect a leader that certifies transactions and distributes workloads to improve speed and efficiency.This makes Raft much more computationally efficient than most blockchain consensus algorithms that rely on Bitcoin’s style of architecture. It also makes Raft systems theoretically much more secure, as it intimates that you create a distributed system for authenticating nodes.Unfortunately this architecture spooks out a lot of cryptocurrency folks because of its seemingly centralized nature. Or bluntly because the word “leader” appears most blockchain enthusiast with no/minimal background in distributed computing talk (very loudly) about how it is dangerous because it isn’t “distributed.”But that contention doesn’t make sense. Raft leaders are chosenRaft proposes a fundamentally superior approach to most styles of consensus employed by Bitcoin-style blockchains. Projects like Tendermint have noticed this and started to embrace the protocol in their own mining protocols. Freed from the legacy constraints and baggage of BTC and PoW however, these solutions end up deviating so heavily from Bitcoin’s architecture that the end result is arguably no longer a blockchain.We are at a very early stage in Secure Distributed Computing. If SDC was the operating system industry, most blockchains are like 70’s-era CP/M DOS. While Raft itself is a significant improvement, it itself is just a mile marker on the beginning of a long race.There will always be a space that blockchain-esque systems. But they likely will look very different from the architecture of Bitcoin, just like Windows 10 today looks very different from its MS-DOS distant ancestor (which itself is an iteration on CP/M).Similar to how GUIs and the mouse transformed how we think about/use operating systems, something is going to transform this space. And it likely won’t be a blockchain - or at least a blockchain how we describe it today.",0 followers,Lucas Martin,6.4K,65,4.2M,2018,https://www.quora.com/Is-Blockchain-the-next-big-thing-in-technology-1
4,"Smart media tokens (SMTs)I believe reward tokens will have a significant role in how the internet works in the future.Smart Media Tokens will provide anyone the ability to create rewards tokens for their websites that is backed up by the Steem blockchain.No need to buidl your own blockchain or use a centralized database, Steem handles everything for you. Steem was the first mover for Proof of Brian (PoB) and PoB token creation.Influencers will be able to increase their brand awareness, raise capital with ease, and create an entire economy out of their business, product, and or talent.Being ablSmart media tokens (SMTs)I believe reward tokens will have a significant role in how the internet works in the future.Smart Media Tokens will provide anyone the ability to create rewards tokens for their websites that is backed up by the Steem blockchain.No need to buidl your own blockchain or use a centralized database, Steem handles everything for you. Steem was the first mover for Proof of Brian (PoB) and PoB token creation.Influencers will be able to increase their brand awareness, raise capital with ease, and create an entire economy out of their business, product, and or talent.Being able to tokenize your attention and leverage that for capital now, all while creating a speculative secondary market to drive future liquid demand to your token and business.",0 followers,Glen Boston,655,71,1.7M,2020,https://www.quora.com/Is-Blockchain-the-next-big-thing-in-technology-1
5,"No, “""block chain” is well understood in computer science. Crypto currencies, based on block chain technology, are the next big thing in finance and economics. They are curious currencies being neither fiat, ordered by a government, nor specie, backed by some commodity, typically a precious metal like gold.Fiat currencies are subject to central bank manipulation. There is a committed political class opposed to central banks.Specie currencies are subject to arbitrage: converting currency to the underlying commodity and then transporting that commodity to where the commodity has the highest valuNo, “""block chain” is well understood in computer science. Crypto currencies, based on block chain technology, are the next big thing in finance and economics. They are curious currencies being neither fiat, ordered by a government, nor specie, backed by some commodity, typically a precious metal like gold.Fiat currencies are subject to central bank manipulation. There is a committed political class opposed to central banks.Specie currencies are subject to arbitrage: converting currency to the underlying commodity and then transporting that commodity to where the commodity has the highest value.Finally, and perhaps most importantly, crypto currencies are currently free of much of the regulation and monitoring that comes with other modern banking systems.","45,629 followers",David Seidman,790,3.6K,85.1M,2017,https://www.quora.com/Is-Blockchain-the-next-big-thing-in-technology-1
6,3 defining principles here…3 defining principles here…,UNKNOWN,Bessie J. Austin,119.4K,0,0,2017,https://www.quora.com/How-will-technology-affect-society-in-the-future
7,"Continually learning.If anyone tries to tell you they know what the Big Thing will be five years from today, they're selling something. The thing may not even have been invented yet.I am constantly learning new technology to get done what needs done. And despite predictions, many skills I learned over ten years ago, like SQL, still serve me well today. Others, like Perl, are not too widely used any more. And many things I work with today didn't even exist then, not even in concept form.Always be ready to find and pick up the tool you need when you need it. Don't limit yourself to one or a fewContinually learning.If anyone tries to tell you they know what the Big Thing will be five years from today, they're selling something. The thing may not even have been invented yet.I am constantly learning new technology to get done what needs done. And despite predictions, many skills I learned over ten years ago, like SQL, still serve me well today. Others, like Perl, are not too widely used any more. And many things I work with today didn't even exist then, not even in concept form.Always be ready to find and pick up the tool you need when you need it. Don't limit yourself to one or a few only to find that the world moved on without you.",3 followers,Steve Baker,2.8K,27.4K,163.3M,2017,https://www.quora.com/Is-Blockchain-the-next-big-thing-in-technology-1
8,"First of all, we are in an age of continuous innovation and new inventions. Even when you sleep, something new is being worked upon, improvised and implemented. There is innovation happening 24x7 and most of it is happening not because of giants but despite them.Now, coming back to your question here are the ones that you might consider -First of all, we are in an age of continuous innovation and new inventions. Even when you sleep, something new is being worked upon, improvised and implemented. There is innovation happening 24x7 and most of it is happening not because of giants but despite them.Now, coming back to your question here are the ones that you might consider -",UNKNOWN,Alan Mellor,915,12.3K,63.8M,2017,https://www.quora.com/Is-Blockchain-the-next-big-thing-in-technology-1
9,"Umm yes!! why not?!🤔 A few weeks ago, I also questioned myself Is it really worth it?? But when I started making some personal projects I got my answer!!If your question is coming from the mindset that it might get automated, no code tools will take over, you don’t have to worry becauseThere are tools present that can convert an image into proper HTML code and apply CSS styling as well to some extent 😲But automating JavaScript as per your specific needs is close to impossible. As every website owner has its own particular needs and will need a specialist like you to modify the code over timeUmm yes!! why not?!🤔 A few weeks ago, I also questioned myself Is it really worth it?? But when I started making some personal projects I got my answer!!If your question is coming from the mindset that it might get automated, no code tools will take over, you don’t have to worry becauseThere are tools present that can convert an image into proper HTML code and apply CSS styling as well to some extent 😲But automating JavaScript as per your specific needs is close to impossible. As every website owner has its own particular needs and will need a specialist like you to modify the code over time.Further incorporating libraries, will be hard to automate.So, yes it is worth learning in 2022!!Learning never goes to waste ❤💡 Pro tip: Just focus on fundamentals and you will dominate any field in tech!If you find this useful, please upvote! I am a newbie Quora writer😅",UNKNOWN,Bobby Tatro,3.9K,2.2K,45.6M,2021,https://www.quora.com/Is-Blockchain-the-next-big-thing-in-technology-1
