,name,url
0,What will the world's technology be like in 50 years?,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years
1,"How long could the brain survive, theoretically, if we had the technology to replace all other body parts as you aged with functioning organs that are grown in a lab using your DNA?",https://www.quora.com/How-long-could-the-brain-survive-theoretically-if-we-had-the-technology-to-replace-all-other-body-parts-as-you-aged-with-functioning-organs-that-are-grown-in-a-lab-using-your-DNA
2,What are the top 10 emerging technologies in the next 5-10 years (2020â€“2025)?,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025
3,What are the upcoming / emerging technologies in software industry?,https://www.quora.com/What-are-the-upcoming-emerging-technologies-in-software-industry
4,What will the world's technology be like in 50 years?,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years
5,What are the most advanced technologies that people don't know about yet?,https://www.quora.com/What-are-the-most-advanced-technologies-that-people-dont-know-about-yet
6,When will Fusion reactors become a reality?,https://www.quora.com/When-will-Fusion-reactors-become-a-reality
7,In future IOT (Internet of things) is trending technology or not?,https://www.quora.com/In-future-IOT-Internet-of-things-is-trending-technology-or-not
8,What will the world's technology be like in 50 years?,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years
9,What are the solutions to emerging issues in communication?,https://www.quora.com/What-are-the-solutions-to-emerging-issues-in-communication
