,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question
0,Won’t make much difference to the lifespan or the performance. You,5 followers,Wasim Momin,1.1K,0,0,https://www.quora.com/Are-satellite-CPUs-extremely-fast-in-part-because-of-the-extremely-low-Kelvin-measure
1,Not in the least. Programming languages are written do that both programmers and computers can understand what is written. Spaces in names may make it easier for a programmer to understand (or make it more difficult). But it will make it more difficult to implement a correct compiler.,18 followers,Asim Qureshi,2.9K,996,155.4M,https://www.quora.com/Are-satellite-CPUs-extremely-fast-in-part-because-of-the-extremely-low-Kelvin-measure
2,"For me it is not a matter of whether or not spaces bother me because after all, Eng lish hasspaces to he lpusp ickoutwordstoread so we donthavetoworkashard to figureitout. ;) So if the computer has to think like a human to read the text, compile times increase, and productivity decreases. A slow compiler is what would bother me the most.Now of course you only said function names, so that might beFor me it is not a matter of whether or not spaces bother me because after all, Eng lish hasspaces to he lpusp ickoutwordstoread so we donthavetoworkashard to figureitout. ;) So if the computer has to think like a human to read the text, compile times increase, and productivity decreases. A slow compiler is what would bother me the most.Now of course you only said function names, so that might be easier to parse (just grab all text between set tokens, or just take words that are not reserved and assume) but then anywhere it could be called would also have to follow a convention of figuring out where the spaces are for the name (again, between...","8,693 followers",Mario Galindo Queralt,1.4K,637,8.8M,https://www.quora.com/Does-it-bother-you-that-some-computer-languages-do-not-allow-for-spaces-in-function-names-whereas-others-do
3,"Not really. I like it when it’s available, like in Algol 68—but Algol 68 lets you use one of several “stropping” techniques so it can distinguish language keywords from a piece of an identifier. Without that, you have the standard infamous Fortran “DO 100 I = 1.10” typo that silently turns what was intended to be the beginning of a DO loop into an assignment of 1.10 to a variable named DO100I.I’m happy to use underscores or CamelCase where needed.",95 followers,Kevin Hongtongsak,5.6K,0,0,https://www.quora.com/Does-it-bother-you-that-some-computer-languages-do-not-allow-for-spaces-in-function-names-whereas-others-do
4,"For the past 40+ years, it has been accepted that best practice in programming language design is to not allow spaces in any identifiers. It makes compilers easier (and faster!), but the bigger issue is that older languages had tendencies toward bugs. We’re hardly bug-free, but removing flexibility leads to fewer bugs, and it’s easier for students to understand and learn, as the rules are consistent. Adding a large set of rules for a rare case is usually not beneficial.","29,212 followers",Mattias Petter Johansson,1.9K,1.1K,16.1M,https://www.quora.com/Does-it-bother-you-that-some-computer-languages-do-not-allow-for-spaces-in-function-names-whereas-others-do
5,"This question really boils down to preference. I find it hard to believe that any language allows spaces in function names, I didn't know that it was a thing. Every developer has their own preference when it comes to naming things, some people like camel case or snake case and so on. Personally I'm all for language convention, if the language or framework documentation uses a certain style stick with it. I think what's more important than case or format is what you label functions. A lecturer of mine at university said that in the olden days people used to call variables or functions by theirThis question really boils down to preference. I find it hard to believe that any language allows spaces in function names, I didn't know that it was a thing. Every developer has their own preference when it comes to naming things, some people like camel case or snake case and so on. Personally I'm all for language convention, if the language or framework documentation uses a certain style stick with it. I think what's more important than case or format is what you label functions. A lecturer of mine at university said that in the olden days people used to call variables or functions by their wives / girlfriends names or even worse a letter of the alphabet only. Imagine needing to find a bug in all that mess.","1,450 followers",Max Poshusta,2.4K,860,4.8M,https://www.quora.com/Does-it-bother-you-that-some-computer-languages-do-not-allow-for-spaces-in-function-names-whereas-others-do
6,"Not only function names do not allow for spaces, many programming languages do not allow spaces in identifiers. Some exceptions such as 4D programming language allows white space in function names and variables.Spaces in function names are easy for us to read, but make compiler confusing.For example, in a JavaScript function:var obj={log: [a,b,c],get latest (){if (this.log.length==0) {return undefined} return this.log.length}If a function name allows whitespace, then it will be pretty confusing whether “get latest” is actually a function or “get“ is just a syntax that binds property “log” withNot only function names do not allow for spaces, many programming languages do not allow spaces in identifiers. Some exceptions such as 4D programming language allows white space in function names and variables.Spaces in function names are easy for us to read, but make compiler confusing.For example, in a JavaScript function:var obj={log: [a,b,c],get latest (){if (this.log.length==0) {return undefined} return this.log.length}If a function name allows whitespace, then it will be pretty confusing whether “get latest” is actually a function or “get“ is just a syntax that binds property “log” with the function “latest” that will be called when “log” is looked up? In JavaScript, the latter is true.In compiling, the parser will separate the sequence of input characters i.e. syntax of a computer program into separate tokens and build a parse tree for analysis. Tokens are identified by delimiters, regular expression etc. Whitespace is a special character used by lexers to identify and separate tokens due to their natural use in programmingIn the above example, the string “get latest ()”will be parsed as IDENTIFIER GET, IDENTIFIER LATEST, OPEN_PARENTHESIS, CLOSE_PARENTHEDIS. If the funnction name that you want is “getlatest”, then this parsing is incorrect.","1,819 followers",Panicz Godek,1K,261,1.9M,https://www.quora.com/Does-it-bother-you-that-some-computer-languages-do-not-allow-for-spaces-in-function-names-whereas-others-do
7,"Its never bothered me. It’s actually carried over into my daily life. CamelCasing is addictive! I find myself writing notes, grocery items, etc. all in camelcase.ToDoGetGroceriesFixFanOrganizeHouseIt’s efficient and after staring at it for years, I think it looks cleaner","56,374 followers",Charlie Cheever,5.9K,1.5K,9.4M,https://www.quora.com/Does-it-bother-you-that-some-computer-languages-do-not-allow-for-spaces-in-function-names-whereas-others-do
8,"Actually I’m quite sure that the extreme majority (99%) of all languages doActually, the knowledge that there even",35 followers,Akshay Chopra,805,94,524.2K,https://www.quora.com/Does-it-bother-you-that-some-computer-languages-do-not-allow-for-spaces-in-function-names-whereas-others-do
9,"Not at all. I am fine with using spaces to demarcate my tokens in the source code.I do remember that I liked about Scheme that I could use -, + and ? in my identifiers and that I could not in other languages. I was never happy with underscores to replace the spaces since I had to press the Shift key to get them, and using - this was not necessary in Scheme. Of course, you do pay a price, in that you are not allowed to write things like a+2 and instead have to write a + 2 (I know, in Scheme this would be + a 2, but I assume you get the idea).",3 followers,Steve Baker,874,27.3K,162.4M,https://www.quora.com/Does-it-bother-you-that-some-computer-languages-do-not-allow-for-spaces-in-function-names-whereas-others-do
