,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question
0,"What would you do if a man were to abuse you because of the color of your skin or your country of origin? Most of us would be very angry or sad, but what​​Ben Gallon, a homeless British man had racially abused Aminur. Aminur realized that arguing was not going to help. So he decided to reform Ben through an innovative approach.What would you do if a man were to abuse you because of the color of your skin or your country of origin? Most of us would be very angry or sad, but what​​Ben Gallon, a homeless British man had racially abused Aminur. Aminur realized that arguing was not going to help. So he decided to reform Ben through an innovative approach.Aminur made us realise that we belong to the land of Gandhi.Source:",368 followers,Parth Talsania,16.3K,0,0,https://www.quora.com/What-incidents-and-events-have-made-India-proud
1,"Incident 1:In 1988, India require supercomputers for research work, to manufacture satellites, for weather-forecasting, to manufacture military weapons. In universities, for scientists to continue their research, we required supercomputers.At that time an American companySo, India wanted to buy supercomputers from that US company for 70 crores. For a company to sell any high-technology goods to another company, it needs to take the permission of government of that country. So, CRAY company asked the permission of American government to sell supercomputersIncident 1:In 1988, India require supercomputers for research work, to manufacture satellites, for weather-forecasting, to manufacture military weapons. In universities, for scientists to continue their research, we required supercomputers.At that time an American companySo, India wanted to buy supercomputers from that US company for 70 crores. For a company to sell any high-technology goods to another company, it needs to take the permission of government of that country. So, CRAY company asked the permission of American government to sell supercomputers for India. But US government didn’t give the permission. US claimed that ‘If we give this technology for India, it will use it for military purposes, instead of educational purposes’. So, America disagreed to sell the supercomputer technology to India. But, for research purposes India require supercomputer urgently.At that time, Rajiv Gandhi was the prime minister of our country. He arranged a meeting with the scientists. In that meeting, a famous scientist namedRajiv Gandhi asked whether we can manufacture a supercomputer.Then Vijay Bhatkar answered “ I did not use a supercomputer till now. I saw CRAY supercomputer also just in a photo. But we have the capacity to manufacture a supercomputer”.Then Rajiv Gandhi asked “How long does it takes?”Vijay Bhatkar replied “ It would take less time than that of what it takes if we import it from America.”Then Rajiv Gandhi asked “ How much it costs to manufacture a supercomputer?”Vijay Bhatkar answered “ The cost of building the institute, developing the technology and manufacturing the supercomputer would take less cost than that of importing it from CRAY company.”Then Rajiv Gandhi was impressed and gave green signal for theFor this project, in 1988 an institute ‘ Centre for Development of Advanced Computing’ (C-DAC) was build. Many scientists started working on this project. Just in 3 years, Indian scientists got the fruit for their hard work. In 1991, India succeeded in manufacturing a supercomputer. It was named asBut America doubted the Indian supercomputer PARAM. It claimed that ‘it is not a supercomputer and it doesn’t have the capability’. Then India took the PARAM supercomputer to International Exhibition. PARAM was tested there. Then they came to know thatNext day in a newspaper headline, about PARAM was“Supercomputer which is manufactured by India has some special features.CRAY supercomputer costs 70 crores, but PARAM costs just 3 crores.That’s why, 14 universities belonging to Britain, Canada and Germany bought our supercomputer. By can’t withstanding the competition from India, CRAY company was forced to reduce the prices of its supercomputer. The power of PARAM was 28 times more than the supercomputer of CRAY.Like this Rajiv Gandhi and Vijay Bhatkar made India into the list of countries having a supercomputer.Incident 2:In 1929, once Bhagat Singh threw some bombs into assembly to scare Britishers. So, Bhagat Singh was arrested and was introduced in the court. And some others who were involved in this case where standing along with Bhagat Singh in the court. Among them Jatindra Nath Das was also present. To testify Fanindra Nath was standing opposite to them.The bombs which were thrown in the assembly were prepared by Fanindra Nath. But he changed as an approver and came to the court to testify. At that time many people don’t know how to prepare bombs and there was no source to collect the information. Fanindra Nath was one of the few persons who know how to prepare bombs.Lawyer came and asked Fanindra Nath whether he prepared bombs.Fanindra Nath said that he only prepared the bombs and gave it to Bhagat Singh.Bhagat Singh replied that Fanindra Nath did not prepare the bombs. He also said that Fanindra did no know how to prepare the bombs.Fanindra Nath said that Jatindra Nath Das, who was beside Bhagat Singh, taught him how to prepare the bombs.Then Jatindra Nath said that he was lying and he don’t know anything about bombs.Fanindra Nath answered that shall I say how to prepare a bomb.Jatindra Nath said that then say to the court how to prepare a bomb.Then Fanindra Nath explained the process of preparing bombs clearly in the court. All the journalists in the court wrote it.After completion of the explanation Fanindra Nath asked can you believe me now that I know how to prepare bombs.Then Bhagat Singh, Jatindra and their followers started laughing and said “ Thanks Fanindra, till now only you know how to prepare bombs. Now, journalists have written the process of preparing bomb, so tomorrow morning through newspapers everyone would know how to prepare a bomb.”All the British officers present over there were shocked. They used the court for their freedom fight. Fanindra Nath was fooled.This Jatindra Nath Das was none other than who died after a hunger-strike for 63 days for the reason that prisoners are not treated well in the prison.Incident 3:In 2014, Mangalyaan Space Vehicle, which belongs to India entered into Mars Planet Orbit. Then New York Times published the following photo:It means, in the Mars orbit already USA and Russia were present from a long time. After so much time, poor country India entered it.In 2017, ISRO created a record by launching 104 satellites. Then Times of India published the following photo:It means, American companies are coming to poor country India, for asking to launch their satellites.Lets see some facts about Mangalyaan:To launch this type of space vehicle into the Mars orbit, NASA took 5 years whereas ISRO took just 15 months to complete this mission.Until now only America, Russia and Europe have succeeded in this mission. That to in 51 times of trials, it succeeded just for 21 times. But India succeeded in its first attempt only.The total cost of this project is 74 million dollars. It means every Indian has contributed ₹ 5 for this project.For complete journey of 780 million km, it costs 6 rupees for every km. It is less than the cost charged by auto drivers per km in india.Incident 4:In 17th century, Dutch East India company was the biggest. It was nearly 10 times bigger than the present Apple company.But an Indian king collapsed such a company. In 17th century, Dutch East India company, had trading with South India for spices. It bought those spices for low prices in India and sold them for higher prices in other countries. So this company became very rich. By that richness, it occupied some kingdoms in South India. In behalf of that they also tried to occupy Travancore kingdom also. At that time, Travancore was ruled byHe did not accept to surrender his kingdom to that company. Then, that company started a war against him. Soldiers of both the kingdoms had a war. But, the Dutch company was defeated badly in this war. Then both had an agreement.By that agreement, all the properties and assets of the company in South India came to Marthanda Varma. The king became rich. He became so rich that, he frequently donated his property to the Padmanabhaswamy Temple in his kingdom. It is one of the reasons for Padnabhaswamy Temple to become rich.Incident 5:If any Indian in foreign asks for help in twitter, then Sushma Swaraj would respond very quickly. One day a person tagged Sushma Swaraj and tweeted:Once in a meeting in UNO, a Pakistan representative named India as Mother of Terrorism. Then Sushma Swaraj replied “ Yes, its true. That’s why we gave birth to a terror nation in 1947”.We have so many untold stories like this in our country…Thanks for reading…Jai Hind…Image Source: GoogleThe Little Known Story of How India's First Indigenous Supercomputer Amazed the World in 1991Battle of Colachel - WikipediaEdit 1:Edit 2:",167 followers,Saketh Ram Pullakandam,4.3K,0,0,https://www.quora.com/What-incidents-and-events-have-made-India-proud
2,"Our Indian scientists wearing gajras (flowers) and Kanjeevaram sarees can retain theirJust one among the many reasons that make me feel proud.Pic Source: The team behind India's first Mars satellite 'Mangalyaan' celebrating the successful launch.P.S. : Interesting to see some folks missing the point here and commenting on how wrong this post is! Let go of the baggage of negativity and political correctness for a while and just soak in the moment guys. :-)While we’re on the topic of making a global impact, here’s a cautionary point.A lot of foOur Indian scientists wearing gajras (flowers) and Kanjeevaram sarees can retain theirJust one among the many reasons that make me feel proud.Pic Source: The team behind India's first Mars satellite 'Mangalyaan' celebrating the successful launch.P.S. : Interesting to see some folks missing the point here and commenting on how wrong this post is! Let go of the baggage of negativity and political correctness for a while and just soak in the moment guys. :-)While we’re on the topic of making a global impact, here’s a cautionary point.A lot of folks think there are more opportunities abroad than in India. For many, going abroad for MBA/MS studies and settling there sounds like anA select few end up in good universities, get good jobs and send back foreign remittance to India. A handful of Indians end up in leadership positions in large international companies and we celebrate their success.But for a large majority, the story is very different. They end up splurging their live savings on some mediocre program, donating their life savings to a foreign institution and then wondering why there are no opportunities.I created a fun video (in Hindi, with English subtitles) to highlight what can go wrong. If you agree with the message in it, please like the video and share it.","4,981 followers",Sameer Kamat,6.6K,426,2.7M,https://www.quora.com/What-incidents-and-events-have-made-India-proud
3,Few more to add:1.2.3.4.5.6.7.Continue ReadingFew more to add:1.2.3.4.5.6.7.6.8K,758 followers,Kanishk Samota,6.8K,0,0,https://www.quora.com/What-incidents-and-events-have-made-India-proud
4,"During US President Barack Obama's visit to the country earlier this year, the incidence below filled my heart with immense pride.We all know that many Indian delegates were lined up in a queue and were introduced to Mr.Obama individually.Amongst them, was Dr. Raghunath Mashelkar, former Director General ofAmongst them, was Dr. Raghunath Mashelkar, former Director General ofDuring US President Barack Obama's visit to the country earlier this year, the incidence below filled my heart with immense pride.We all know that many Indian delegates were lined up in a queue and were introduced to Mr.Obama individually.Amongst them, was Dr. Raghunath Mashelkar, former Director General ofAmongst them, was Dr. Raghunath Mashelkar, former Director General ofDr. RAGHUNATH ANANT MASHELKAR, another pride of India.Dr. RAGHUNATH ANANT MASHELKAR, another pride of India.",UNKNOWN,Neeraj Tilekar (नीरज टिळेकर),7.8K,0,0,https://www.quora.com/What-incidents-and-events-have-made-India-proud
5,"During theDuring the Korean War in 1950, the IndiaDuring theDuring the Korean War in 1950, the Indian army had provided a medical unit to tend the sick and wounded soldiers. The 60 Parachute Field Ambulance unit comprising 346 men, including four combat surgeons, two anesthesiologists and a dentist lead byWith no other medical paratroopers available, the 60 volunteered for action and jumped into the combat zone with 4,000 U.S. infantrymen.In those three and a half years the Indians performedFor its distinguished service, the unit received citations of merit from the Korean government on a number of occasions.TheSources :India’s cheer group in Pakistan clash: Korea war veteransSix decades on, Koreans return the favour | Latest News & Updates at Daily News & AnalysisMeet Lt Col AG Rangaraj, First Indian Army PARA CommandoThe doctor-heroes of war",22 followers,Jerin Joseph,2.5K,0,0,https://www.quora.com/What-incidents-and-events-have-made-India-proud
6,"A very very few people know about this person namedThe Dua's Layer​Dr. Harminder Singh Dua​​EditA very very few people know about this person namedThe Dua's Layer​Dr. Harminder Singh Dua​​EditThank you Parth Sharma, Sam Vanderlyle and Ashish Dubey for promoting my answer :)",16 followers,Akash Menon,5.1K,113,588.9K,https://www.quora.com/What-incidents-and-events-have-made-India-proud
7,This one seriously made my day :)  Sushma ji _/\_ :D thumbs up govt of India :)​​​​This one seriously made my day :)  Sushma ji _/\_ :D thumbs up govt of India :)​​​​,508 followers,Sathya Narayanan Sridhar,5.2K,0,0,https://www.quora.com/What-incidents-and-events-have-made-India-proud
8,"Random collection of images that comes to my mind that makes me proud of India in the past century.Abdul Kalam sworn as the President (2002).AR Rahman's Vande Mataram (1997).Cricket World Cup  (1983).Random collection of images that comes to my mind that makes me proud of India in the past century.Abdul Kalam sworn as the President (2002).AR Rahman's Vande Mataram (1997).Cricket World Cup  (1983).Re-Capture of Tiger Hills (1999).Thermonuclear tests at Pokhran (1998)War to liberate Bangladesh (1971).Surrender of Pakistan during the war, which heralded the birth of a nationTryst with DestinyLaunch of India's first satellite - Aryabhatta (1975).Introduction of Green Revolution in India (1963) -Last and most important:",26 followers,Balaji Viswanathan,6.2K,5.6K,426.5M,https://www.quora.com/What-incidents-and-events-have-made-India-proud
9,"India is in the midst of one of the largest rescue missions from a foreign country.Codenamed operation RaahatOn  March 31, India sent V.K. Singh, one of its ministers and former  chief of the Indian Army, to oversee the mission and ensure safe return  of its citizens.India is in the midst of one of the largest rescue missions from a foreign country.Codenamed operation RaahatOn  March 31, India sent V.K. Singh, one of its ministers and former  chief of the Indian Army, to oversee the mission and ensure safe return  of its citizens.Some facts regarding the operation-​​Now, impressed with the evacuation procedure, 26 countries have sought India's help to evacuate their citizens from the war-torn country!!​​Edit-1:As suggested byEdit-2:A picture which compliments the description! As suggested by​Edit-4: This shows the level of commitmentEdit-4: This shows the level of commitmentMy other informative answers:Thanks for promoting!!",268 followers,Yeshwanth Raju,7.4K,71,751.2K,https://www.quora.com/What-incidents-and-events-have-made-India-proud
